title,content,genre,url,author,period,specific_genre
Chùa Hương,"(Thiên ký sự của một cô bé ngày xưa)<
>Hôm nay đi chùa Hương.<
>Hoa cỏ mờ hơi sương<
>Cùng thầy me em dậy.<
>Em vấn đầu soi gương.<
>Khăn nhỏ, đuôi gà cao;<
>Lưng đeo dải yếm đào;<
>Quần lĩnh, áo the mới ;<
>Tay cầm nón quai thao.<
>Mẹ cười: ""Thầy nó trông!<
>Chưn đi đôi dép cong<
>Con tôi xinh xinh quá!<
>Bao giờ cô lấy chồng?""<
>Em tuy mới mười lăm<
>Mà đã lắm người thăm<
>Nhờ mối mai đưa tiếng,<
>Khen tươi như trăng rằm.<
>Nhưng em chưa lấy ai,<
>Vì thầy bảo người mai<
>Rằng em còn bé lắm,<
>Ý đợi người tài trai.<
>Em đi cùng với mẹ<
>Me em ngồi cáng trẹ<
>Thầy theo sau cưỡi ngựa,<
>Thắt lưng dài đỏ hoe.<
>Thầy me ra đi đò,<
>Thuyền mấp mênh bên bờ.<
>Em nhìn sông nước chảy,<
>Đưa cánh buồm lô nhô.<
>Mơ xa lại nghĩ gần.<
>Đời mấy kẻ tri âm?<
>Thuyền nan vừa lẹ bước,<
>Em thấy một văn nhân...<
>Người đâu thanh lạ thường!<
>Tướng mạo trông phi thường.<
>Lưng cao dài, trán rộng.<
>Hỏi ai nhìn không thương?<
>Chàng ngồi bên me em<
>Me hỏi chuyện làm quen:<
>""Thưa thầy đi chùa ạ?<
>Thuyền đông giời ôi chen!""<
>Chàng thưa vâng thuyền đông<
>Rồi ngắm giời mênh mông,<
>Xa xa mờ núi biếc,<
>Phơn phớt áng mây hồng.<
>Giòng sông nước đục lờ.<
>Ngâm nga chàng đọc thơ!<
>Thầy khen hay, hay quá!<
>Em nghe ngồi ngẩn ngơ.<
>Thuyền đi, bến Đục qua,<
>Mỗi lúc gặp người ra,<
>Thẹn thùng em không nói :<
>""Nam vô Ađi-đà !""<
>Réo rắt suối đưa quanh.<
>Ven bờ, ngọn núi xanh,<
>Nhịp cầu xa nho nhỏ.<
>Cảnh đẹp gần như tranh.<
>Sau núi Oản, Gà, Xôi,<
>Bao nhiêu là khỉ ngồi.<
>Tới núi con voi phục,<
>Có đủ cả đầu đuôi.<
>Chùa lấp sau rừng cây,<
>(Thuyền ta đi một ngày)<
>Lên cửa chùa em thấy<
>Hơn một trăm ăn mày.<
>Em đi, chàng theo sau,<
>Em không dám đi mau,<
>Ngại chàng chê hấp tấp,<
>Số gian nan không giàu.<
>Thầy me đến điện thờ,<
>Trầm hương khói toả mờ<
>Hương như là sao lạc<
>Lớp sóng người lô nhô.<
>Chen vào thật lắm công.<
>Thầy me em lễ xong<
>Quay về nhà ngang bảo:<
>""Mai mới vào chùa trong""<
>Chàng hai má đỏ hồng<
>Kêu với thằng tiểu đồng<
>Mang túi thơ bầu rượu:<
>""Mai ta vào chùa trong""<
>Đêm hôm ấy em mừng!<
>Mùi trầm hương bay lừng.<
>Em nằm nghe tiếng mõ,<
>Rồi chim kêu trong rừng.<
>Em mơ, em yêu đời<
>Mơ nhiều... Viết thế thôi<
>Kẻo ai mà xem thấy,<
>Nhìn em đến nực cườị<
>Em chưa tỉnh giấc nồng,<
>Mây núi đã pha hồng.<
>Thầy me em sắp sửa<
>Vàng hương vào chùa trong.<
>Đường mây đá cheo veo,<
>Hoa đỏ, tím, vàng leo<
>Vì thương me quá mệt,<
>Săn sóc chàng đi theo.<
>Mẹ bảo: ""Đường còn lâu<
>Cứ vừa đi ta cầu<
>Quan thế âm Bồ tát<
>Là tha hồ đi mau.""<
>Em ư? Em không cầu,<
>Đường vẫn thấy đi mau.<
>Chàng cũng cho như thế.<
>(Ra ta hợp tâm đầu)<
>Khi qua chùa Giải Oan<
>Trông thấy bức tường ngang,<
>Chàng đưa tay lẹ bút<
>Thảo bài thơ liên hoàn.<
>Tấm tắc thầy khen hay<
>Chữ đẹp như rồng bay.<
>(Bài thơ này em nhớ<
>Nên chả chép vào đây)<
>Ôi! Chùa trong đây rồi!<
>Động thẳm bóng xanh ngời.<
>Gấm thêu trần thạch nhũ,<
>Ngọc nhuốm hương trầm rơi.<
>Mẹ vui mừng hả hê:<
>""Tặc! con đường mà ghê!""<
>Thầy kêu mau lên nhé,<
>Chiều hôm nay ta về.<
>Em nghe bỗng rụng rời!<
>Nhìn ai luống nghẹn lời!<
>Giờ vui đời có vậy,<
>Thoáng ngày vui qua rồi!<
>Làn gió thổi hây hây.<
>Em nghe tà áo bay,<
>Em tìm hơi chàng thở!<
>Chàng ôi, chàng có hay?<
>Đường đây kia lên giời<
>Ta bước tựa vai cười,<
>Yêu nhau, yêu nhau mãi!<
>Đi, ta đi, chàng ôi!<
>Ngun ngút khói hương vàng,<
>Say trong giấc mơ màng,<
>Em cầu xin Giời Phật<
>Sao cho em lấy chàng.",thơ tự do,https://isach.info/poem.php?poem=chua_huong__nguyen_nhuoc_phap,Nguyễn Nhược Pháp,hiện đại,
Đi Cống,"Núi cao, lửa hồng reo chói lọi,<
>Đổ vàng cây cối um tùm xanh.<
>Khi lòe nắng lóa, khi thâm tối,<
>Sườn non con đường mềm uốn quanh.<
>Hiu hắt cờ bay tua phơ phất,<
>Binh lính hò reo gầm bốn phương.<
>Nón đỏ, bao vàng, chân dậm đất,<
>Một toán đạp rừng um dẫn đường.<
>Mặc áo bào xanh, ngồi ngựa trắng,<
>Sứ nghe nhạc lắc vang bên rừng.<
>Hai bên hai lọng vàng che nắng.<
>Giời, mây, trông non nước muôn trùng!<
>Mười xe bịt đồng, trâu mập kéo,<
>Bánh sắt khi kề lên sườn non,<
>Đá đổ ầm ầm như sấm réo,<
>Gầm nhảy xuống vực sâu kêu ròn.<
>Trên xe nào mâm vàng dát ngọc,<
>Châu báu, sừng tê và ngà voi;<
>Hai pho tượng vàng đỏ đòng đọc;<
>Bào nạm kim-cương, đai đồi-mồi.<
>Binh lính hò quanh hoa giáo mác<
>Võ tướng khua đao to lầm lầm<
>Hễ thấy đường chênh kề miệng thác,<
>Bỏ giáo lên xe xoay bánh, vần.<
>Thầy nho, thầy thuốc bên thầy bói,<
>Thợ thêu, thợ chạm cùng thợ nề,<
>Mỗi người đeo một cái khăn gói<
>Đỏ, buông cương ngựa theo gần xe.<
>Lúc ấy giời xanh không u ám,<
>Đầu non không tờ mờ bóng sương,<
>Làm sao họ âu sầu thảm đạm?<
>Buồn thay! người cố phận tha hương.<
>Xe đi mỗi lúc một thêm khó.<
>Hang thâu hổ đói rên vang lừng;<
>Những con trăn xám văng như gió,<
>Quật đuôi đè gẫy bẹp cây rừng.<
>Sứ bỗng nhìn quanh buồn ủ rũ:<
>Xa xa ngọn cờ vàng phất phơ!<
>Vợ con ở chân trời mây phủ,<
>Hẳn đang nhìn bóng nhạn mong chờ...<
>Hỡi ai đi thẩn thơ miền núi!<
>Nhìn ngọn cây xanh gió thổi ào,<
>Tưởng lại cờ xưa vàng chói lọi,<
>Nên yêu người cũ hồn trên cao.",lục bát,https://isach.info/poem.php?poem=di_cong__nguyen_nhuoc_phap,Nguyễn Nhược Pháp,hiện đại,
Giếng Trọng Thủy,"Đêm khuya, gió lốc, mây đen vần,<
>Cỏ lướt gieo mình vực giếng thâm;<
>Trọng-Thủy nằm trên làn nước sủi.<
>Tiếng mõ cầm canh xa âm thầm.<
>Phơn phớt hồn ma đóm lập lòe.<
>Cú rúc. Đàn dơi bay tứ bề.<
>Răng rắc kêu như tiếng xương đập,<
>Gió rền, quỷ khóc, lay cành tre.<
>Nhấp nhoáng xiên trời chớp tóe xanh,<
>Gầm ran sấm chuyển, mây bùng phanh.<
>Mưa đập. Tù-và rên văng vẳng<
>Hiệu lính tuần kêu trên mặt thành.",lục bát,https://isach.info/poem.php?poem=gieng_trong_thuy__nguyen_nhuoc_phap,Nguyễn Nhược Pháp,hiện đại,
Mây,"Người xưa mơ, nhìn mây<
>Đen, đỏ, vàng đua bay,<
>Khi thấy nhiều ma quỷ,<
>Lời than giời lung lay;<
>Khi thấy hồn người thân<
>Nhìn mây lệ khôn cầm!<
>Trên bầy xe tứ mã,<
>Tiếng bánh lăn âm thầm;<
>Khi thấy muôn nàng tiên<
>Lồng lộng mầu thanh thiên!<
>Véo von trầm tiếng địch,<
>Lửa hồng vờn áo xiêm.<
>Ngày nay ta nhìn mây,<
>Mây đen luồng gió lay,<
>Hồn xưa tìm chẳng thấy<
>Tóc theo luồng gió bay...",thơ tự do,https://isach.info/poem.php?poem=may__nguyen_nhuoc_phap,Nguyễn Nhược Pháp,hiện đại,
Một Buổi Chiều Xuân,"* Thiên ký sự của một thư sinh đời trước.<
>Hôm đó buổi chiều xuân,<
>Trông mây hồng bay vân,<
>Liền gập pho kinh sử,<
>Lững thững khỏi lầu văn.<
>Đường leo, nhà lom khom,<
>Mái xanh, tường rêu mòn.<
>Ta nhìn, ngâm nga đọc<
>Câu đối cửa mầu son.<
>Phu khiêng kiệu ngẩn ngơ,<
>Thầy lại và thầy thơ<
>Ngồi xổm cười bên lọng,<
>Trước cửa tòa dinh cơ.<
>Cương da buộc thânc cây,<
>Vài con ngựa lắc dây,<
>Nghển đầu lên gậm lá,<
>Đập chân nghiêng mình xoay.<
>Đi vui rồi vẩn vơ,<
>Hay đâu thức còn mơ.<
>Lạc vào trong vườn mộng,<
>Mồm vẫn còn ngâm thơ!<
>Ô! Vườn bao nhiêu hồng!<
>Hương nghi ngút đầu bông.<
>Lầu xa tô mái đỏ,<
>Uốn éo hai con rồng.<
>Thoảng tiếng vàng thanh tao,<
>Bên giàn lý bờ ao,<
>Một nàng xinh như liễu<
>Ngồi ngắm bông hoa đào.<
>Tay cầm bút đề thơ,<
>Tì má hồn vẩn vơ,<
>Nàng ngâm lời thánh thót.<
>Ai không người ngẩn ngơ!<
>Ta lặng nhìn hơi lâu<
>Nhưng thì giờ đi mau<
>Đứng ngay gần non bộ<
>Có ông lão ngồi câu.<
>Nàng chợt nghiêng thân ngà;<
>Thoáng bóng người xa xa,<
>Reo kinh hoàng, e lệ,<
>Đưa rơi cành bút hoa.<
>Ta mơ chưa lại hồn,<
>Nàng lẹ gót lầu son.<
>Vừa toan nhìn nét phượng,<
>Giấy thẹn bay thu tròn...",thơ tự do,https://isach.info/poem.php?poem=mot_buoi_chieu_xuan__nguyen_nhuoc_phap,Nguyễn Nhược Pháp,hiện đại,
Mỵ Châu,"(Lẫy thần chàng đổi móng,<
>Lông ngỗng thiếp đưa đường.<
>-- Nguyễn Khắc Hiếu --)<
>Đêm hôm gió khóc thổi ru cành:<
>Núi bạc âm thầm, bể uốn xanh.<
>Hiu hắt Mỵ-Châu nằm, trăng phủ.<
>Ầm ầm sóng thảm vỗ vờn quanh.<
>Cát vàng le lói muôn hàng châu:<
>Long lanh trai tuyết nhìn canh thâu.<
>Thương ai sao biếc thầm gieo lệ.<
>Sương mờ bay tỏa bạc ngàn lau.<
>Chân nàng hoa lả nhuốm màu sương.<
>Vừng trăng lạnh lẽo, chim kêu buồn.<
>Thân ngà tóc rủ vờn man mác,<
>Thiêm thiếp em chờ ai bên đường?<
>Bơ vơ Trọng-Thủy lạc rừng hoang,<
>Vời theo lông ngỗng rơi bên đàng;<
>Đau lòng mắt nặng rùng đêm lạnh<
>Thoảng tiếng trăng thưa chen lá vàng.<
>Lẫy thần trao móng, chàng đi xa.<
>Yêu nhau sao nỡ bạc nhau mà?<
>Chàng đi - cho bao giờ gặp gỡ!<
>Phiên-ngung nước cũ, lệ chan hòa.<
>Nào lúc con thuyền sóng vỗ quanh,<
>Hiu hiu mây thoảng da trời xanh,<
>Xiêm bay theo gió, hồn vơ vẩn.<
>Gương biếc nàng xưa êm tô hình.<
>Nào lúc chiều hôm vang lửa hồng,<
>Chim bay tan tác, trời mênh mông.<
>Lẹ gót hài tiên nàng yểu điệu,<
>Bên lầu tựa cửa cuốn rèm trông.<
>Nào lúc đêm thanh mờ bóng trăng,<
>Nhìn thấy nàng gợi tiếng dương cầm.<
>Tóc liễu đua bay vờn má ngọc,<
>Lời ca thánh thót, chàng quên chăng?<
>Bơ vơ ngày cũ tưởng càng đau,<
>Tìm trông phương nào, hỡi Mỵ-Châu?<
>Lông ngỗng cầm tay nhòa ánh lệ,<
>Chàng đi man mác buồn, đêm thâu.<
>Thiêm thiếp ai bên đường, hỡi ôi!<
>Chàng ôm khóc nghẹn chẳng ra lời,<
>Đầu non mây bạc êm đềm phủ,<
>Phơn phớt hồn em bay, ngậm cười...",lục bát,https://isach.info/poem.php?poem=my_chau__nguyen_nhuoc_phap,Nguyễn Nhược Pháp,hiện đại,
Mỵ,"Buồm nhô rẽ sóng, Mỵ mơ màng,<
>Tay cuốn mền hoa, khóc gọi chàng.<
>Thân liễu gieo đưa chìm vực biếc,<
>Lời thương bay lảnh động rừng vang.<
>Hoa trôi. Thành cũ vườn mây lửa,<
>Lau gợn. Chùa cao giỏ tiếng vàng.<
>Ủ lệ, tay ngà ôm ngực huyết,<
>Mỵ vờn theo sóng dạt bờ hoang.",lục bát,https://isach.info/poem.php?poem=my__nguyen_nhuoc_phap,Nguyễn Nhược Pháp,hiện đại,
Nguyễn Thị Kim Khóc Lê Chiêu Thống,"* Triều Lê Qui có nàng tiết liệt.<
>Nhà tan, nước mất, chàng đi thôi.<
>Thiếp nén lòng đau khóc nghẹn lời,<
>Chậm bước đành nương mình bóng Phật;<
>Màng tin trông ngóng nhạn chân trời.<
>Chuông đồng cảnh vắng, hồn mơ sảng,<
>Trăng lạnh, đêm sâu, cú đổ hồi.<
>Thê thảm chàng đi, về có vậy!<
>Thiếp chờ ai nữa? Hỡi chàng ôi!",lục bát,https://isach.info/poem.php?poem=nguyen_thi_kim_khoc_le_chieu_thong__nguyen_nhuoc_phap,Nguyễn Nhược Pháp,hiện đại,
Sơn Tinh Thủy Tinh,"Ngày xưa, khi rừng mây u ám<
>Sông núi còn vàng um tiếng thần,<
>Con vua Hùng Vương thứ mười tám,<
>Mỵ Nương xinh như tiên trên trần...<
>Tóc xanh viền má hây hây đỏ,<
>Miệng nàng bé thắm như san hô,<
>Tay ngà trắng nõn, hai chân nhỏ:<
>Mê nàng, bao nhiêu người làm thơ.<
>Hùng Vương thường nhìn con yêu quá,<
>Chắp tay ngẩng lên trời tạ ân;<
>Rồi cười bảo xứng ngôi phò mã,<
>Trừ có ai ngang vì thần nhân.<
>Hay đâu thần tiên đi lấy vợ!<
>Sơn Tinh, Thủy Tinh lòng tơ vương,<
>Không quản rừng cao, sông cách trở,<
>Cùng đến Phong Châu xin Mỵ Nương.<
>Sơn Tinh có một mắt ở trán,<
>Thủy inh râu ria quăn xanh rì.<
>Một thần phi bạch hổ trên cạn,<
>Một thần cưỡi lưng rồng uy nghi.<
>Hai thần bên cửa thành thi lễ,<
>Hùng Vương âu yếm nhìn con yêu.<
>Nhưng có một nàng mà hai rể,<
>Vua cho rằng thế cũng hơi nhiều!<
>Thủy Tinh khoe thần có phép lạ,<
>Dứt lời, tay hất chòm râu xanh,<
>Bắt quyết hò mây to nước cả,<
>Dậm chân rung khắp làng gần quanh.<
>Ào ào mưa đổ xuống như thác,<
>Cây xiêu, cầu gẫy, nước hò reo,<
>Lăn, cuốn, gầm, lay, tung sóng bạc,<
>Bò, lợn, và cột nhà trôi theo.<
>Mỵ Nương ôm Hùng Vương kinh hãi.<
>Sơn Tinh cười, xin nàng đừng lo,<
>Vung tay niệm chú: Núi từng dải,<
>Nhà lớn, đồi con lổm ngổm bò<
>Chạy mưa. Vua tùy con kén chọn.<
>Mỵ Nương khép nép như cành hoa:<
>""Con đây phận đào tơ bé mọn,<
>Nhân duyên cúi để quyền mẹ cha!""<
>Vua nghĩ lâu hơn bàn việc nước,<
>Rồi bảo mai lửa hồng nhuốm sương,<
>Lễ vật thần nào mang đến trước,<
>Vui lòng vua gả nàng Mỵ Nương.<
>Bình minh má ửng đào phơn phớt,<
>Ngọc đỏ rung trên đầu lá xanh.<
>Ngọn liễu chim vàng ca thánh thót,<
>Ngự giá Hùng Vương lên mặt thành.<
>Mỵ Nương bên lầu son tựa cửa,<
>Rèm ngọc lơ thơ phủ áo hồng.<
>Cánh nhạn long lanh vờn ánh lửa,<
>Mê nàng, chim ngẩn lưng trời đông.<
>Rừng xanh thả mây đào man mác,<
>Sơn Tinh ngồi bạch hổ đi đầu<
>Mình phủ áo bào hồng ngọc dát,<
>Tay ghì cương hổ, tay cầm lau.<
>Theo sau năm chục con voi xám<
>Hục hặc, lưng cong phủ gấm điều,<
>Tải bạc, kim cương, vàng lấp loáng,<
>Sừng tê, ngà voi và sừng hươu.<
>Hùng Vương trên mặt thành liễu rủ,<
>Hớn hở thần trông, thoáng nụ cười.<
>Thần suốt đêm sao dài không ngủ,<
>Mày ngài, mắt phượng vẫn còn tươi.<
>Sơn Tinh đến lạy chào bên cửa,<
>Vua thân ngự đón nàng Mỵ Nương.<
>Lầu son nàng ngoái trông lần lữa,<
>Mi xanh lệ ngọc mờ hơi sương.<
>Quỳ lạy cha già lên kiệu bạc,<
>Thương người, thương cảnh xót lòng đau.<
>Nhìn quanh, khói tỏa buồn man mác,<
>Nàng kêu: ""Phụ Vương ôi! Phong Châu!""<
>Kiệu nhỏ đưa nàng đi thoăn thoắt,<
>Hùng Vương mơ vịn tay bờ thành.<
>Trông bụi hồng tuôn xa, xa lắc,<
>Mắt nhòa lệ ngọc ngấn đầm quanh...<
>Thoảng gió vù vù như gió bể,<
>Thủy Tinh ngồi trên lưng rồng vàng.<
>Yên gấm tung dài bay đỏ chóe,<
>Mình khoác bào xanh da trời quang.<
>Theo sau cua đỏ và tôm cá,<
>Chia đội năm mươi hòm ngọc trai,<
>Khập khiễng bò lê trên đất lạ,<
>Trước thành tấp tểnh đi hành hai.<
>Hùng Vương mặt rồng chau ủ rũ,<
>Chân trời còn phảng bóng người yêu,<
>Thủy Tinh thúc rồng đau kêu rú,<
>Vừ uất vì thương, vừa bởi kiêu.<
>Co hết gân nghiến răng, thần quát:<
>""Giết! Giết Sơn Tinh hả hờn ta!""<
>Tức thời nước sủi reo như thác,<
>Tôm cá quăng ngọc trai mà hoa.<
>Sơn Tinh đang kèm theo sau kiệu,<
>Áo bào phơ phất nụ cười bay.<
>(Vui nhỉ mê ai xinh mới hiểu)<
>Thần trông kiệu nhỏ hồn thêm say.<
>Choàng nghe sóng vỗ reo như sấm,<
>Bạch hổ dừng chân, lùi, vểnh tai.<
>Mỵ Nương tung bức rèm đỏ thắm,<
>Sơn Tinh trông thấy càng dương oai.<
>Sóng cả gầm reo lăn như chớp,<
>Thủy Tinh cưỡi lưng rồng hung hăng.<
>Cá voi quác mồm to muốn đớp,<
>Cá mập quẫy đuôi cuồng nhe răng.<
>Càng cua lởm chởm giơ như mác;<
>Tôm kềnh chạy quắp đuôi xôn xao.<
>Sơn Tinh hiểu thần ghen, tức khắc<
>Niệm chú, đất nẩy vù lên cao.<
>Hoa tay thần vẫy hùm, voi, báo.<
>Đuôi quắp, nhe nanh, giơ vuốt đồng,<
>Đạp long đất núi, gầm xông xáo,<
>Máu vọt phì reo muôn ngấn hồng.<
>Mây đen hăm hở bay mù mịt,<
>Sấm ran, sét động nổ lòe xanh.<
>Tôm cá xưa nay im thin thít,<
>Mở quác mồm to kêu thất thanh.<
>Mỵ Nương kinh hãi ngồi trong kiệu,<
>Bỗng chợt nàng kêu mắt lệ nhòa.<
>(Giọng kiêu hay buồn không ai hiểu,<
>Nhưng thật dễ thương): ""Ô! vì ta!""<
>Thủy Tinh năm năm dâng nước bể,<
>Đục núi hò reo đòi Mỵ Nương.<
>Trần gian đâu có người dai thế,<
>Cũng bởi thần yêu nên khác thường!",lục bát,https://isach.info/poem.php?poem=son_tinh_thuy_tinh__nguyen_nhuoc_phap,Nguyễn Nhược Pháp,hiện đại,
Tay Ngà,"Đêm nay chờ giăng mọc<
>Ngồi thẩn thơ trong vườn<
>Quanh lá hoa róc rách<
>Như đua bắt làn hương<
>Ta ngồi bên tảng đá<
>Mơ lều chiếu ngày xưa<
>Mơ quan Nghè, quan Thám<
>Đi có cờ lọng đưa<
>Rồi bao nàng yểu điệu<
>Ngấp nghé bay trên lầu<
>Vừa leng keng tiếng ngựa<
>Lẹ gót tiên gieo cầu<
>Tay vơ cầu ngũ sắc<
>Má quan Nghè hây hây<
>Quân hầu reo chuyển đất<
>Tung cán lọng vừa quay<
>Trên lầu mấy thị nữ<
>Cùng nhau rúc rích cười:<
>""Thưa cô đừng thẹn nữa<
>Quan Nghè trông lên rồi""<
>Cúi đầu nàng tha thướt<
>Yêu kiều như mây qua<
>Mắt xanh nhìn man mát<
>Mỉm cười vê cành hoa<
>Ta còn đang luyến mộng<
>Yêu bóng người vẩn vơ<
>Tay ngà ai phủ trán?<
>- Hiu hắt ánh trăng mờ",thơ tự do,https://isach.info/poem.php?poem=tay_nga__nguyen_nhuoc_phap,Nguyễn Nhược Pháp,hiện đại,
