content,title,url,genre,period,specific_genre,author
"Tinh hơn đồng trinh<
>Hừng qua hừng đông<
>Em mình nghe không<
>Im chưa nên đông<
>Say chưa ra lòng<
>Đều ngâm giấm cả.<
>Màu nào sắp rã<
>Vồng nào sắp cao<
>Ánh nào tương giao<
>Muôn thương đều lắng<
>Nhấn nào khăn khắn<
>Nhịp nào âu lo<
>Em hãy cầu cho.<
>Tinh hơn đồng trinh<
>Hừng quá hừng đông<
>Em mình nghe không?<
>Nhạc vàng tỏ rõ<
>Như sao trên trời<
>Đem nguyền ra phơi<
>Đem phần ra phơi<
>Ân tình tri ngộ<
>Trước đời trăng lên.<
>Em hãy làm duyên<
>Em cứ y nguyên<
>Đàn rơ tơ riết<
>Cả lòng đam mê.<
>In hình tưởng nhớ<
>Như tuồng ai ra<
>Như tuồng lân la<
>Đâu đây quyến luyến<
>Đố Nàng gần xa.<
>Màu không thấy ửng<
>Mùi qua linh thiêng<
>Những cốt cách tiên<
>Thảy đều cảm biết<
>Khi lòng xin thương<
>Lên gần đài Trăng<
>Hương ráng sức hương<
>Bừng bừng cao trăng.<
>Dâng lên quá trí<
>Quá giải Hàn Giang<
>Đố Nàng nói sao.<
>Trong nụ cười nao<
>Trong búp hoa nào<
>Có gì phôi thai.<
>Sao vấn vương hoài<
>Sao đầm hơi thở<
>Hương đầm hơi nhớ<
>Hương đầm hơi quen<
>Đố Nàng hay em.<
>(Thượng Thanh Khí)",Âm Nhạc,https://isach.info/poem.php?poem=am_nhac__han_mac_tu,thơ tự do,hiện đại,,Hàn Mặc Tử
"Anh nằm ngoài sự thực<
>Em ngồi trong chiêm bao<
>Cách nhau xa biết mấy<
>Nhớ thương quá thì sao?<
>Anh nuốt phứt hàng chữ<
>Anh cắn vỡ lời thõ<
>Anh cắn cắn cắn cắn<
>Hõi thở ðứt làm tý!",Anh Ðiên,https://isach.info/poem.php?poem=anh_ien__han_mac_tu,thơ tự do,hiện đại,,Hàn Mặc Tử
"Như song lộc triều nguyên: ơn phước cả,<
>Dâng cao dâng thần nhạc sáng hơn trăng.<
>Thơm tho bay cho đến cõi Thiên đàng<
>Huyền diệu biến thành muôn kinh trọng thể.<
>Và Tổng lãnh Thiên thần quỳ lạy Mẹ<
>Tung-hô câu đường hạ ngớp châu sa.<
>Hương xông lên lời ca ngợi sum hòa:<
>Trí miêu duệ của muôn vì rất thánh.<
>Maria! Linh hồn tôi ớn lạnh,<
>Run như run thần tử thấy long nhan,<
>Run như run hơi thở chạm tơ vàng...<
>Nhưng lòng vẫn thấm nhuần ơn trìu mến.<
>Lạy Bà là Đấng tinh tuyền thánh vẹn<
>Giàu nhânđdức, giàu muôn hộc từ bi,<
>Cho tôi dâng lời cảm tạ phò nguy<
>Cơn lâm lụy vừa trải qua dưới thế.<
>Tôi cảm động rưng rưng hai dòng lệ:<
>Dòng thao thao như bất tuyệt của nguồn thơ.<
>Bút tôi reo như châu ngọc đền vua,<
>Trí tôi hớp bao nhiêu là khí vị...<
>Và trong miệng ngậm câu ca huyền bí,<
>Và trong tay nắm một vạn hào quang...<
>Tôi no rồi ơn võ lộ hòa chan.<
>Tấu lạy Bà, Bà rất nhiều phép lạ,<
>Ngọc Như Ý vô tri còn biết cả,<
>Huống chi tôi là Thánh thể kết tinh<
>Tôi ưa nhìn Bắc đẩu rạng bình minh,<
>Chiếu cùng hết khắp ba ngàn thế giới...<
>Sáng nhiều quá cho thanh âm vời vợi,<
>Thơm dường bao cho miệng lưỡi khong khen.<
>Hỡi Sứ thần Thiên Chúa Gabriel,<
>Khi người xuống truyền tin cho Thánh nữ,<
>Người có nghe xôn xao muôn tinh tú,<
>Người có nghe náo động cả muôn trời?<
>Người có nghe thơ mầu nhiệm ra đời<
>Để ca tụng, - bằng hương hoa sáng láng,<
>Bằng tràng hạt, bằng Sao Mai chiếu rạng,<
>Một đêm xuân là rất đỗi anh linh?<
>Đây rồi! Đây rồi! Chuỗi ngọc vàng kinh.<
>Thơ cầu nguyện là thơ quân tử ý,<
>Trượng phu lời là Tông đồ triết lý,<
>Là Nguồn Trăng yêu mến Nữ Đồng Trinh<
>Là Nguồn Đau chầu lụy Nữ Đồng Trinh.<
>Cho tôi thắp hai hàng cây bạch lạp,<
>Khói nghiêm trang sẽ dân lên tràn ngập<
>Cả Hàn giang và màu sắc thiên không,<
>Lút trí khôn và ám ảnh hương lòng<
>Cho sốt sắng, cho đê mê nguyền ước...<
>Tấu lạy Bà, lạy Bà đầy ơn phước,<
>Cho tình tôi nguyên vẹn tợ trăng rằm,<
>Thơ trong trắng như một khối băng tâm,<
>Luôn luôn reo trong hồn, trong mạch máu,<
>Cho vỡ lở cả muôn ngàn tinh đẩu,<
>Cho đê mê âm nhạc và thanh hương,<
>Chim hay tên ngọc, đá biết tuổi vàng,<
>Lòng vua chúa cũng như lòng lê thứ<
>Sẽ ngây ngất bởi chưng thơ đầy ứ<
>Nguồn thiêng liêng yêu chung Mẹ Sầu Bi<
>Phượng Trì! Phượng Trì! Phượng Trì! Phượng Trì!<
>Thơ tôi bay suốt một đời chưa thấu,<
>Hồn tôi bay đến bao giờ mới đậu<
>Trên triều thiên ngời chói vạn hào quang?",Ave Maria,https://isach.info/poem.php?poem=ave_maria__han_mac_tu,bảy chữ,hiện đại,,Hàn Mặc Tử
"Để cho hoa gió thì thào<
>Để cho mây nước nôn nao<
>Quên câu thương nhớ rồi sao<
>Em ơi thế nghĩa là sao<
>Khi hương thơm kề lỗ miệng<
>Khi tình mới chạm vào nhau?<
>Em ơi thế nghĩa là sao?<
>Trăng đang nằm trên sóng cỏ<
>Cỏ đùa trăng đến bên ao<
>Trăng lại đẫm mình xuống nước<
>Trăng nước đều lặng nhìn nhau...<
>Đôi ta bắt chước thì sao?",Bắt Chước,https://isach.info/poem.php?poem=bat_chuoc__han_mac_tu,bảy chữ,hiện đại,,Hàn Mặc Tử
"Bến Hàng Giang<
>Hàn Mặc Tử<
>Tập thơ Hàn Mặc Tử:<
>Này đây lời ngọc song song<
>Xin dâng muôn sóng tơ đồng vơi vơi<
>Xin dâng này máu đang tươi<
>Này đây nước mắt giọng cười theo nhau<
>Mới hay phong vị nhiệm màu<
>Môi chưa nhấp cạn, mạch sầu đã tuôn<
>Ớ Địch ơi, lệ có nguồn<
>Hãy chia bớt nửa nỗi buồn sang tôi<
>Hôm nay trời lững lơ trời<
>Dòng sông ánh sáng sẽ trôi hoa vàng<
>Tôi ngồi ở bến Hàng Giang<
>Khóc thôi mây nước bàng hoàng suốt đêm.",Bến Hàng Giang,https://isach.info/poem.php?poem=ben_hang_giang__han_mac_tu,bảy chữ,hiện đại,,Hàn Mặc Tử
"Biển Hồn Ta<
>Hàn Mặc Tử<
>Tập thơ Hàn Mặc Tử:<
>Máu tim ta tuôn ra làm bể cả<
>Mà sóng lòng rồn rập như mây trôi<
>Sóng lòng ta tràn lan ngoài xứ lạ<
>Dâng cao lên, cao tột tới trên trời.<
>Ôi ta đã mửa ra từng búng huyết<
>Khi say sưa với lượn sóng triền miên<
>Khi nhận lấy trong thâm tâm cay nghiệt<
>Giọng hờn đau trăm vạn nỗi niềm riêng.<
>Ta muốn níu hồn ai đương hiển hiện<
>Trong lòng và đang tắm máu sông ta<
>Ta muốn vớt ai ra ngoài sóng điện<
>Để nhìn xem sắc mặt với làn da.<
>Ôi ngông cuồng! Ôi rồ dại, rồ dại!<
>Ta đi thuyền trên mặt nước lòng ta<
>Ôi ngông cuồng, ôi rồ dại, rồ dại<
>Ta cắm thuyền chính giữa vũng hồn ta.",Biển Hồn Ta,https://isach.info/poem.php?poem=bien_hon_ta__han_mac_tu,bảy chữ,hiện đại,,Hàn Mặc Tử
"Tôi làm trăng cổ độ,<
>Lượng trời rộng bao la.<
>Tôi làm Tô Đông Pha<
>Đàn tương tư lạc điệu.<
>Thơ tôi thương huyền diệu.<
>Mọc lên đạo từ bi.<
>Tôi bắt chước Hi Di<
>Ngủ một trăm ngày dậy.<
>Xem mặt trời đang cháy<
>Là điềm có tiên tri.<
>Tôi thấy nàng Tây Thi<
>Giặt sa trên bàn thạch.<
>Tôi yêu trời nguyệt bạch,<
>Tôi say màu thanh thiên,<
>Tôi ưng ả thuyền quyên<
>Ở trong pho tình sử.<
>Cho tôi hoa đền ngự,<
>Cho tôi lòng ni cô,<
>Xuân trên má nường Thơ<
>Ngon như tình mới cắn.",Cao Hứng,https://isach.info/poem.php?poem=cao_hung__han_mac_tu,thơ tự do,hiện đại,,Hàn Mặc Tử
"Chuyến Ðò Ngang<
>Hàn Mặc Tử<
>Tập thơ Hàn Mặc Tử:<
>Chẳng hẹn hò sao gặp gỡ ðây?<
>Ngýời thời nhý tỉnh, kẻ nhý say<
>Trong veo làn nýớc soi ðôi mặt<
>Xa tít quê nhà trỏ một tay.<
>Tâm sự mới trao, bờ ðã ðến<
>Nỗi niềm chýa cạn, khách về ngay.<
>Ba sinh duyên nợ âu là thế<
>Một chuyến ðò ðýa nghĩa một ngày",Chuyến Ðò Ngang,https://isach.info/poem.php?poem=chuyen_o_ngang__han_mac_tu,lục bát,hiện đại,,Hàn Mặc Tử
"Cửa Sổ Đêm Khua<
>Hàn Mặc Tử<
>Tập thơ Hàn Mặc Tử:<
>Hoa cười nguyệt rọi cửa lồng gương<
>Lạ cảnh buồn thêm nỗi vấn vương<
>Tha thướt liễu in hồ gợn bóng<
>Hững hờ mai thoảng gió đưa hương<
>Xa người nhớ cảnh tình lai láng<
>Vắng bạn ngâm thơ rượu bẽ bàng<
>Qua lại yến ngàn dâu ủ lá<
>Hòa đàn sẵn có dế bên tường.",Cửa Sổ Đêm Khua,https://isach.info/poem.php?poem=cua_so_dem_khua__han_mac_tu,lục bát,hiện đại,,Hàn Mặc Tử
"Đà-lạt Trăng Mờ<
>Hàn Mặc Tử<
>Tập thơ Hàn Mặc Tử:<
>Đây phút thiêng-liêng đã khởi đầu.<
>Trời mơ trong cảnh thực huyền mơ!<
>Trăng sao đắm đuối trong sương nhạt<
>Như đón từ xa một ý thơ.<
>Ai hãy làm thinh chớ nói nhiều,<
>Để nghe dưới đáy nưới hò reo,<
>Để nghe tơ liễu rung trong gió,<
>Và để xem trời giải nghĩa yêu.<
>Hàng thông lấp-loáng đứng trong im<
>Cành lá in như đã lặng chìm.<
>Hư-thực làm sao phân-biệt được!<
>Sông Ngân-Hà nổi giữa màn đêm.<
>Cả trời say nhuộm một màu trăng,<
>Và cả lòng tôi chẳng nói rằng.<
>Không một tiếng gì nghe động-chạm,<
>Dẫu là tiếng vỡ của sao băng...",Đà-lạt Trăng Mờ,https://isach.info/poem.php?poem=dalat_trang_mo__han_mac_tu,lục bát,hiện đại,,Hàn Mặc Tử
