title,content,genre,url,author,period,specific_genre
Ác Mộng,"Tôi mơ thấy đang nằm trên vũng máu,<
>Chống tay lên nghe tiếng những hồn kêu.<
>Khắp bốn phương lòe loẹt lửa trời chiều,<
>Muôn vật đắm trong một màu đỏ khé.<
>Tôi chợt hiểu: hình ảnh đời là thế;<
>Có phải còn vui đẹp lắm đây chăng?<
>Tôi muốn quên đi trong thú mơ màng,<
>Và gượng cất tiếng cười che tiếng khóc.<
>Nhưng số mệnh vẫn chưa vừa lòng độc,<
>Nhất định dùng quyền lực hại tôi chơi,<
>Bắt tôi hết đau khổ lại ngược xuôi,<
>Trên hòn đất, than ôi! Thân kiến muỗi.<
>Thắt lại rồi buông, tha ra mà đuổi,<
>Không sớm cho tan nát hẳn thân hèn.<
>Tôi muốn lịm đi một giấc cầu yên,<
>Thì kéo dậy, lay hồn cho mở mắt!<
>Trên vực thẳm, một ngón tay khe khắt.<
>Khiến tôi nhìn ra khắp cõi mênh mông,<
>Là chốn nhân gian đang uống máu nồng,<
>Nuốt một nửa, còn phun nhau một nửa.",bảy chữ,https://isach.info/poem.php?poem=ac_mong__the_lu,Thế Lữ,hiện đại,
Bông Hoa Rừng,"Tặng Đoàn Phú Tứ<
>Trèo lên trên đỉnh non cao<
>Nghe lời chim gọi, gió dào dạt thưa...<
>Bỗng đâu gặp gỡ tình cờ,<
>Cô nàng cao váy ỡm-ờ đứng trông,<
>Tóc cô gió lẳng lơ chòng,<
>Nắng vàng rỡn cặp má hồng hồng tươi.<
>Mắt như nước lặng in trời,<
>Cánh đào thắm nét miệng cười trong mơ.<
>Khiến ta lòng những say sưa:<
>""Phải người ta vẫn đợi chờ, đây chăng?""<
>Trái tim đếm bước ngập ngừng,<
>Lại gần ta hỏi ai rằng: ""Ai ơi!<
>Theo đường nước chẩy mây trôi.<
>Để lòng ra khắp phương trời, ta xem<
>Ở đây nhắn gió đưa chim,<
>Ở đâu thiếu-nữ trông tìm người yêu.<
>Tới đây thấy cảnh đìu-hiu,<
>Phải chăng người ở trên đèo mong ta?""<
>Bồi hồi, ta đợi lời thưa,<
>Nhưng cô sơn-nữ hững hờ trông mây...<
>Sóng rờn đôi mắt lung lay,<
>Tình xuân nồng đượm đôi mày thanh thanh,<
>Cười duyên đắm đuối trời tình<
>Lòng ta như muốn tan thành hư không.<
>Ta ôm thiếu-nữ trong lòng:<
>Người yêu thoắt biến thành bông hoa rừng.<
>Bông hoa nay vẫn còn hương,<
>Lòng ta còn vết đau thương, không cùng,<
>Đính hoa ở một bên lòng,<
>Ngàn năm tiếc giấc mơ mòng khi xưa.",bảy chữ,https://isach.info/poem.php?poem=bong_hoa_rung__the_lu,Thế Lữ,hiện đại,
Cây Đàn Muôn Điệu,"Gởi cho Tứ Ly<
>Tôi là người bộ hành phiêu lãng<
>Đường trần gian xuôi ngược để vui chơi vui chơi<
>Tìm cảm giác hay trong tiếng khóc, câu cười,<
>Trong lúc gian lao, trong giờ sung sướng,<
>Khi phấn đấu cũng như hồi mơ tưởng.<
>Tôi yêu đời cùng với cảnh lầm than,<
>Cảnh thương tâm, ghê gớm, hay dịu dàng.<
>Cảnh rực rỡ, ái ân hay dữ đội.<
>Anh dù bảo: tính tình tôi thay đổi,<
>Không chuyên tâm, không chủ nghĩa: nhưng cần chi?<
>Tôi chỉ là một khách tình si<
>Ham vẻ Đẹp có muôn hình, muôn thể.<
>Mượn lấy bút nàng Ly Tao tôi vẽ,<
>Và mượn cây đàn ngàn phím, tôi ca<
>Vẻ đẹp u trầm, đắm đuối, hay ngây thơ,<
>Cũng như vẻ Đẹp cao siêu, hùng tráng<
>Của non nước, của thi văn, tư tưởng.<
>Dáng yêu kiều tha thướt khách giai nhân;<
>Ánh tưng bừng linh hoạt nắng trời xuân;<
>Vẻ sầu muộn âm thầm ngày mưa gió;<
>Cảnh vĩ đại, sóng nghiêng trời, thác ngàn đổ;<
>Nét mong manh, thấp thoáng cánh hoa bay;<
>Cảnh cơ hàn nơi nước đọng bùn lầy;<
>Thú sán lạn mơ hồ trong ảo mộng;<
>Chí hăng hái đua ganh đời náo động:<
>Tôi đều yêu, đều kiếm, đều say mê.<
>Tôi sẵn lòng đau vì tiếng ai bi,<
>Và tôi cảm khái bởi những lời hăng hái.<
>Tôi ngợi ca với tiếng lòng phấn khởi,<
>Tôi thở than cùng thiếu nữ bâng khuâng,<
>Tôi véo von theo tiếng sáo lưng chừng,<
>Tôi yên ủi với tiếng chuông huyền diệu,<
>Với Nàng Thơ, tôi có đàn muôn điệu;<
>Với Nàng Thơ, tôi có bút muôn mầu:<
>Tôi muốn làm nhà nghệ sĩ nhiệm mầu:<
>Lấy thanh sắc trần gian làm tài liệu.",bảy chữ,https://isach.info/poem.php?poem=cay_dan_muon_dieu__the_lu,Thế Lữ,hiện đại,
Con Người Vơ Vẩn,"Tặng Trần Bình Lộc<
>Tiếng pháo rắc trong thành phố vắng.<
>Mưa phùn rây, cùng ánh đèn yên lặng<
>Gội lên mặt đường đen, loáng và xa.<
>Hai dẫy nhà kín cửa đứng trơ trơ<
>Điềm nhiên, mặc kệ con người vơ vẩn.<
>Đó là một kẻ không nơi trú ẩn,<
>Bốn phương trời xuôi ngược bấy lâu nay,<
>Tối ba mươi theo bước tới nơi đây,<
>Giữa hoan lạc, riêng thấy mình trơ trọi.<
>Chàng ta ấn hai tay vào đáy túi,<
>Túi rỗng không, mà lòng cũng rỗng không<
>Lê gót mòn trên đá, ngửng đầu trông<
>Những ảo tượng vô hình cho kẻ khác.<
>Cơn gió thổi. Lá vàng rơi lác đác,<
>Cùng rơi theo loạt nước đọng trên cành.<
>Những cây khô đã chết cả mầu xanh.<
>Trong giây phút lạnh lùng tê tái ấy.<
>Người thiếu niên chợt vô tình ngó thấy,<
>Cửa nhà ai hé mở. Liếc nom vào:<
>Dưới ánh đèn lộng lẫy khóm hoa đào;<
>Đương say đắm quyện lấy màu hương khói:<
>Nét khảm tủ trè, chữ vàng câu đối,<
>Chậu xứ cây xanh, cốc ngọc thủy tiên.<
>Thoáng hiện ra một cảm giác bình yên,<
>Và đầm ấm êm đềm và đầy đủ.<
>Mưa vẫn gội. Xa xa tràng pháo nổ<
>Bỗng phá tan bề tịch mịch đêm khuya...<
>Ngoảnh mặt đi, thầm lặng bước chân đi:<
>Hỡi người bạn! Anh định về đâu đó?",bảy chữ,https://isach.info/poem.php?poem=con_nguoi_vo_van__the_lu,Thế Lữ,hiện đại,
Đa Lượn,"Đã biết bao phen những buổi chiều thu,<
>Ta bâng khuâng tìm cảnh mộng bên hồ,<
>Nhưng ta chỉ tiếc khi ngồi lặng ngắm<
>Đôi mắt cô em như say, như đắm,<
>Như buồn in hình ảnh giấc mơ xa.<
>Vườn trần gian, dù thâu góp cả muôn hoa,<
>Lấy một nét cười mừng chim với gió,<
>Cũng không thắm tươi, say sưa, rực rỡ<
>Bằng khi cô hé cặp môi xuân<
>Mà lả lơi cười cợt với đông quân.<
>Nhưng em ơi, vẻ xanh tươi trong trời đất<
>Tuy đến hạn u tàn, song chẳng mất:<
>Đông qua, lại thấy xuân sang,<
>Còn vẻ đẹp giai nhân, đắm đuối rỡ ràng,<
>Gồm những áng tinh hoa bao cảnh sắc,<
>Phải đâu cũng lâu bền như non nước?<
>Một ngày kia, em ngắm lại dung nhan,<
>Em sẽ cùng ta buồn trách thời gian,<
>Tiếc cảnh vui qua, tiếc mầu rực rỡ<
>Của xuân đời ngàn năm không về nữa<
>Vậy thì yêu đi, vui mãi, bạn lòng ơi!<
>Để khi ánh quang minh soi má hồng phai,<
>Thấy áng tóc điểm thưa mầu sương bạc,<
>Thấy nét thắm miệng hoa dần đã nhạt,<
>Nước hồ thu đôi mắt đã mờ;<
>Em vẫn còn giữ được tấm lòng xưa.<
>Vì, em ơi, khi nặng mang tình ái.<
>Thì xuân sắc nắng sương tuy dầu giãi,<
>Ngày xuân xanh khe khắt vô tình qua,<
>Nhưng lòng xuân muôn tuổi vẫn không già.",bảy chữ,https://isach.info/poem.php?poem=da_luon__the_lu,Thế Lữ,hiện đại,
Đàn Nguyệt,"(Trên sông Hương một đêm trăng)<
>Lòng ta hỡi! Thôi đừng lên tiếng nữa!<
>Lặng mà nghe đờn nẩy khúc sầu thương.<
>Ngón tay rung, rung động cả đêm sương.<
>Khiến trăng nước đắm mơ hồ ly biệt,<
>Khiến trong gió ngưng đọng niềm thống thiết<
>Của bao nhiêu người đẹp khát tình duyên<
>Ôm nhớ nhung còn nức nở bên đèn.<
>Đêm khuya vắng thêm gợi thời xa vắng,<
>Tiếng bi ai như vẽ hình cay đắng<
>Của chia phôi, cùng thương tiếc đợi chờ<
>Trong bao thiên tình sử não nùng xưa.<
>Thấy chăng ai? trên sông khuya im sóng<
>Bâng khuâng trôi một con thuyền mơ mộng,<
>Thuyền lênh đênh gieo giữa cõi sương tan<
>Tiếng ngậm ngùi muôn thủa của thời gian.<
>Biết chăng ai? bao nhiêu điều cực khổ<
>Với bao nỗi hờn oan trong vũ trụ<
>Cùng hẹn hò thu lại một đêm nay,<
>Đương nỉ non thánh thót ở trên giây,<
>Theo ngón đê mê của bàn tay nghệ sĩ.<
>Thuốc độc êm đềm, ôi! giọng đàn kiều mị,<
>Bởi vì đâu gieo xuống mãi lòng ta<
>Những giọt nồng tê tái vị say sưa?",bảy chữ,https://isach.info/poem.php?poem=dan_nguyet__the_lu,Thế Lữ,hiện đại,
Đêm Mưa Gió,"Ta vừa đắm trong giấc mơ ghê-tởm:<
>Vừa buông tay ôm ấp gái giang hồ.<
>Đầy xác thịt, đầy tâm hồn còm lợm<
>Vị chán chường tràn lấn thú cay chua.<
>Mặc tấm thân lõa lồ say mệt ngủ,<
>Ta ngồi, đăm nghe ngóng tiếng đêm sâu;<
>Trên mái ngói cả một trời mưa gió<
>Vẫn sụt sùi dai dẳng suốt canh thâu,<
>Suốt canh thâu, đồng hồ treo bức vách<
>Thong thả đưa, thong thả đếm từng giây,<
>Rành rọt điểm trong lòng ta tịch mịch<
>Trong lòng ta u tối gió mưa bay.<
>Ta ngồi đó; mắt van lơn tha thiết<
>Thầm kêu xin buồn nản tránh xa đi;<
>Gọi khiêu khích, chúi vào trong mải miết,<
>Để cho lòng tìm lại chút đê mê.<
>Nhưng đau đớn! Tâm hồn ngao ngán quá<
>Thú vui tàn. Mà giá ngắt như băng,<
>Trái tim mỏi, không buồn sôi nổi nữa.<
>Ngoài đêm khuya mưa gió vẫn không ngừng...",bảy chữ,https://isach.info/poem.php?poem=dem_mua_gio__the_lu,Thế Lữ,hiện đại,
Đời Thái Bình,"Thủa ấy, nhiệm mầu sương gió biếc,<
>Trời mây huyền ảo đắm hồn thơ,<
>Cây im, vin bóng um tùm lá,<
>Sông chậm nguồn sâu nước đợi chờ.<
>Vì chưng ngày tháng êm đềm trô<
>Khi nắng hồng thiêng lướt cạnh đồi,<
>Khi cánh chim thần đâu vút lại,<
>Từng không dìu dặt tiếng xa xôi.<
>Ấy tiếng mơ hồ của ý Xuân,<
>Hằng năm ca ngợi đón Đông Quân.<
>Nước non trong sáng thay mầu mới;<
>Tấm áo đào tươi phủ khắp trần.<
>Cây im, sông lắng đợi Xuân về,<
>Trong lúc trần gian, dưới bóng the<
>Của buổi thanh bình thong thả sống,<
>Từ nơi thành thị tới thôn quê.<
>Quả chĩu cành xanh, lúa ngập đồng.<
>Ông già yên lặng, tóc râu bông,<
>Chiều chiều chống tuổi trên cây trúc<
>Lững thững đi nhìn giải suối trong.<
>Trên nền áng cỏ thơm mơn mởn,<
>Con trẻ cười nô hất trái đào;<
>Rũ lụa bên hồ ba bốn chị<
>Lả lơi đưa tiếng hát lên cao.<
>Từng bọn thư sinh dạo trước đền<
>Ung dung hỏi liễu, ngắm hoa quen.<
>Đón làn hương gió, nhìn mây uốn,<
>Mơ cảnh Trường An võng lọng chen...<
>Thành Đô với cảnh sắc huy hoàng<
>Cũng lặng chìm trong áng khói sương.<
>Hòa thuận yên vui đời thái-lạc.<
>Đồn xa, quân lính họa ca xang.",lục bát,https://isach.info/poem.php?poem=doi_thai_binh__the_lu,Thế Lữ,hiện đại,
Giây Phút Chạnh Lòng,"""Anh đi đường anh, tôi đường tôi,<
>Tình nghĩa đôi ta có thế thôi.<
>Đã quyết không mong xum họp mãi.<
>Bận lòng chi nữa lúc chia phôi?<
>""Non nước đang chờ gót lãng du,<
>Đâu đây vẳng tiếng hát chinh phu,<
>Lòng tôi phơi phới quên thương tiếc<
>Đưa tiễn anh ra chốn hải hồ.<
>""Anh đi vui cảnh lạ, đường xa,<
>Đem chí bình sinh dãi nắng mưa,<
>Thân đã hiến cho đời gió bụi<
>Đâu còn lưu luyến chút duyên tơ?<
>""Rồi có khi nào ngắm bóng mây<
>Chiều thu đưa lạnh gió heo may<
>Dừng chân trên bến sông xa vắng,<
>Chạnh nhớ tình tôi trong phút giây;<
>""Xin anh cứ tưởng bạn anh tuy<
>Giam hãm thân trong cảnh nặng nề,<
>Vẫn để hồn theo người lận đận;<
>Vẫn hằng trông đếm bước anh đi.<
>Lấy câu khẳng khái tiễn đưa nhau,<
>Em muốn cho ta chẳng thảm sầu.<
>Nhưng chính lòng em còn thổn thức,<
>Buồn kia em giấu được ta đâu?<
>Em đứng nương mình dưới gốc mai,<
>Vin ngành sương đọng, lệ hoa rơi,<
>Cười nâng tà áo đưa lên gió,<
>Em bảo: hoa kia khóc hộ người.<
>Rồi bỗng ngừng vui cùng lẳng lặng,<
>Nhìn nhau bình thản lúc ra đi.<
>Nhưng trong khoảnh khắc thờ ơ ấy,<
>Thấy cả muôn đời hận biệt ly.<
>Năm năm theo tiếng gọi lên đường,<
>Tóc lộng tơi bời gió bốn phương.<
>Mấy lúc thẫn thờ trông trở lại,<
>Để hồn mơ tới bạn quê hương.<
>Ta muốn lòng ta cứ lạnh lùng<
>Gác tình duyên cũ chẳng đường trông.<
>Song le hương khói yêu đương vẫn<
>Phảng phất còn vương vấn cạnh lòng.<
>Hôm nay tạm nghỉ bước gian nan.<
>Trong lúc gần xa pháo nổ ran.<
>Rũ áo phong sương trên gác trọ.<
>Lặng nhìn thiên hạ đón xuân sang.<
>Ta thấy xuân nồng thắm khắp nơi,<
>Trên đường rộn rã tiếng đua cười,<
>Động lòng nhớ bạn xuân năm ấy.<
>Cùng ngắm xuân về trên khóm mai.<
>Như cảnh trời xuân luyến nắng chiều,<
>Mắt lệ đắm trông miền cách biệt,<
>Phút giây chừng mỏi gót phiêu lưu...<
>Cát bụi tung trời - Đường vất vả<
>Còn dài - Nhưng hãy tạm dừng chân,<
>Tưởng người trong chốn xa xăm ấy<
>Chẳng biết vui buồn đón xuân?",lục bát,https://isach.info/poem.php?poem=giay_phut_chanh_long__the_lu,Thế Lữ,hiện đại,
Giục Hồn Thơ,"Nàng Thơ ơi! Nàng Thơ! - Ta buồn lắm!<
>Nắng gay gắt trên khóm sen không thắm;<
>Gió thờ ơ không động bóng tàn cây;<
>Dưới trời xanh, mây quá trắng không bay;<
>Hồ không sóng phơi mặt gương quá sáng;<
>Thời gian đứng: sắc hình trơ trẽn dáng,<
>Lòng ta không âu yếm, không vui tươi,<
>Không nhớ thương, không sôi nổi. - Than ôi!<
>Cũng không cả nỗi đắng cay tê tái:<
>Nàng Thơ ơi, tâm hồn ta trống trải.<
>Ta đứng đây, lơ láo, hững hờ trông<
>Cảnh vô duyên không gợn tiếng tơ lòng;<
>Ta đứng đây, thẫn thờ mơ bóng bạn,<
>Trông giờ khắc lặng mang niềm ngao ngán,<
>Ly Tao ơi, nương tử của lòng ta!<
>Nỡ lòng du, sơ lãng mối tình thơ?<
>Tìm đâu thấy những phút giây êm ái.<
>Những phút giây sáng lạn ánh thiêng liêng<
>Ta cùng ai để tâm hồn mê mải<
>Tung ngọc châu gieo những khúc thần tiên?<
>Đâu những buổi non sông cùng lặng lẽ<
>Đợi tay ta dìu dắt ngón tay ai.<
>Tạo nên bức tranh tuyệt trần hoàn mỹ<
>Lên không gian, thâu góp muôn màu tươi?<
>Vì bạn ơi! Những khúc đờn réo ngọc<
>Với bức tranh châu chuốt nét thanh cao<
>Là những bài thơ, nỗi tình cảm xúc<
>Của lòng ta và của bạn Ly Tao.<
>Nàng Thơ ơi! Nàng Thơ! - Ta buồn lắm!<
>Đem lại đây ánh hương hoa say đắm,<
>Đem lại đây làn sương gió mơ màng,<
>Đem lại đây, cùng với điệu du dương,<
>Những tiếng khóc than hay lời cảm khái<
>Để lòng ta thôi đừng khô héo mãi!<
>Để cho ta khi ngắm nắng, trông hoa.<
>Khi đứng bên hồ đón gió đưa qua,<
>Ta được thấy ánh lòng ta rung động,<
>Ta được thấy hồn thơ ta gợn sóng,<
>Thấy miệng cười bạn tiên tử yêu kiều<
>Và cùng ai chung giấc mộng cao siêu.",bảy chữ,https://isach.info/poem.php?poem=giuc_hon_tho__the_lu,Thế Lữ,hiện đại,
