title,author,genre,specific_genre,content,source,likes,comments
Tao không về họp lớp chẳng vì xa,Ngô Dương Hải,bảy chữ,,"Chẳng vì lương... chỉ là không thích thế<
>Không thích ai bị khinh khi bị rể<
>Cái thuở học trò... ai cũng vô tư.<
>Đứa khoe con... đứa kể chuyện đời tư<
>Từng nấc thang... chức vù vù thăng tiến<
>Đứa lại khoe... xe đắt làm phương tiện<
>Du lịch tây, Tàu... đâu biết bạn sao.<
>Chuyện tào lao những mâm cỗ bầy cao<
>Thừa mứa ra toàn sơn hào hải vị<
>Có hiểu chăng bạn mình đang suy nghĩ<
>Bữa ăn của mày... kỳ học con tao.<
>Vẫn biết rằng... có người thấp người cao<
>Học cùng nhau đừng tạo ra khoảng cách<
>Cứ vô tư như thuở tay còn sạch<
>Nắm nắm đùm đùm... cơm lẫn sắn, khoai.<
>Với bạn bè... đừng tỏ vẻ ra oai<
>Đừng dầu thơm đừng cài nơ áo véc<
>Đừng spa... kể chuyện đi làm đẹp<
>Để nhớ lại thời... chân lấm dép lê!<
>Nhớ lại nhau một thuở đã đi về<
>Nhớ lại nhau bốn bề mưa giá rét<
>Ấm sẻ chia chỗ ngồi luôn chật hẹp<
>Chung lớp chung trường... chung tấm bảng đen.<
>Tao không về... không có nghĩa là không<
>Nhớ đến nhau thuở tuổi hồng mơ ước<
>Tao không về nhưng tao luôn có được<
>Hình ảnh lớp mình trong trái tim tao...!",https://www.facebook.com/groups/486407735098594/,1,0
Nguyên Tắc Sống,Tiger Tran,lục bát,,"Cuộc sống muốn được bình yên,<
>Trước tiên phải biết kiếm tiền nuôi thân.<
>Phải biết lễ phép ân cần,<
>Chăm chỉ, nghèo khó sẽ dần vượt qua.<
>Tuổi trẻ đừng có nề hà,<
>Phải dám trải nghiệm giúp ta trưởng thành.<
>Đừng phung phí sức tranh giành,<
>Thâu đêm sống ảo, suốt ngày cày game.<
>Ở đời phải biết vươn lên,<
>Khi đã thành đạt đừng quên cơ hàn.<
>Có trí tiến thủ làm quan,<
>Có gan nhanh nhạy mới toan làm giàu.<
>Tình yêu phải chọn đúng người,<
>Đừng nuôi hy vọng nhìn đời viển vông.<
>Yêu người tử tế, thủy chung,<
>Cuộc đời sẽ bớt lạnh lùng, đắng cay.<
>Sống vui sống khoẻ mỗi ngày,<
>Tự mình gìn giữ cân bằng mà nên.<
>Ăn điều độ, ngủ cho yên,<
>Đừng chờ bệnh đến mới tìm thuốc thang.<
>Tuổi già càng sống đàng hoàng,<
>Đừng mong con cái lo toan suốt đời.<
>Ai rồi cũng bận ngược xuôi,<
>Tự lo liệu được, thảnh thơi dưỡng già.<
>Có tiền đừng sống xa hoa,<
>Biết sống vừa đủ thế là “happy”.<
>Đừng mắc bệnh “tham, sân, si”,<
>Hãy cứ đều đặn bước đi từng ngày.<
>Phải biết buông bỏ mới hay,<
>Phải luôn cố gắng vượt qua chính mình.<
>Phải biết kiểm soát tình hình,<
>Đó là nguyên tắc hành trình nhân gian.",https://www.facebook.com/groups/486407735098594/,0,0
Ước,Đan Trang Dũng,năm chữ,,"Ước gì làm làn gió<
>Vờn lên mái tóc thề<
>Ước chi làm làn gió<
>Cho tôi bớt si mê<
>Hoàng hôn mỗi khi về<
>Trái tim ai lắng đọng<
>Nguyện một đời trông ngóng<
>Gửi theo làn gió xuân<
>Ngỡ như tưởng rất gần<
>Nhưng lại xa vạn nẻo<
>Có bao giờ lạnh lẽo<
>Khi mùa hạ đã sang<
>Trong giấc mơ muôn vàn<
>Tôi mong sao đẹp mãi<
>Bình yên như hiện tại<
>Đẹp như ánh bình minh,<
>Đan Trang Dũng-22-5-2026",https://www.facebook.com/groups/486407735098594/,1,0
Xuân Tháng Năm.,Hiền Nguyễn,bảy chữ,,"Tháng năm về sao em vẫn ngủ mê,<
>Xuân chưa qua vẫn tràn trề nhựa sống,<
>Con tim yêu vẫn nuôi bao hi vọng,<
>Xuân vẫn còn sương vẫn đọng long lanh.<
>Hè đến rồi sao lộc biếc vẫn xanh,<
>Vẫn lung linh trên cành non mới nhú,<
>Xuân qua đi như ru chìm giấc ngủ<
>Sao nhẹ nhàng và quyến rũ tim yêu.<
>Tháng năm sang dù biết đã xế chiều<
>Tim yêu thương còn bao điều muốn nói,<
>Giấc mơ xuân vẫn như đang vẫy gọi,<
>Hè đâu về mà rọi nắng cho xuân.<
>Tháng năm về cũng đâu phải phân vân,<
>Tim vẫn vui cho dù xuân đã hết,<
>Hè có sang cũng đâu cần tiễn biệt,<
>Xuân vẫn còn luôn da diết trong tim.<
>Tháng năm về cũng đâu phải đắm chìm,<
>Hè có sang con tim còn thổn thức,<
>Dẫu nắng chang hay tiết trời nóng nực,<
>Xuân vẫn còn luôn rạo rực tim yêu.<
>(p/s: Xin mượn hình ảnh của mùa xuân và mùa hè để nói về hai thời điểm của người con gái đã bước sang tuổi xế chiều nhưng vẫn khao khát giấc mộng tuổi xuân.)",https://www.facebook.com/groups/486407735098594/,3,2
Bóng Chiều,Lang Truong Pham,năm chữ,,"Bóng chiều về rất nhẹ,<
>Rẽ tóc phủ bờ sông.<
>Mình ta ngồi lặng lẽ,<
>Thả hồn giữa cõi mong…<
>Mây bềnh bồng đỉnh núi<
>Như mái tóc người thương;<
>Chờ nhau về bện, búi…,<
>Tan hết dải mù sương.<
>Con đường dài diệu vợi<
>Một đời gặp lại nhau?<
>Yêu thôi, đừng ngóng đợi<
>Để lòng ít khổ đau!<
>Nhịp cầu ai bắc đó<
>Một lần lỡ bước qua<
>Buồn vui ta đã rõ<
>Cớ gì phải xót xa?!<
>Già đi từng ý nghĩ<
>Cho tâm trí nhẹ vơi.<
>Chỉ một người tri kỷ,<
>Không tiếc nuối làm người!<
>Chưa nguôi niềm mộng ước<
>Nhưng ngại bước hoàng hôn.<
>Những gì chờ phía trước<
>Là hạnh phúc? Cô đơn?<
>Ph. Lăng Trường",https://www.facebook.com/groups/486407735098594/,1,0
Đời Yêu Thương,Lang Truong Pham,năm chữ,,"Quê nhà xa tít tắp.<
>Muốn gặp khó làm sao!<
>Trời cao và đất thấp<
>Nhớ Người-nhớ biết bao!<
>Đêm nào không ngủ được<
>Ngồi thức ngắm nhìn sao.<
>Thả hồn theo sóng nước…<
>Bỗng dưng lệ muốn trào.<
>Lời ngọt ngào yêu dấu<
>Cất giấu thuở gần nhau,<
>Nay bình tâm-hiểu thấu:<
>Càng nhắc lại càng đau!<
>Biển sâu và núi cách.<
>Đừng trách cứ nhau gì!<
>Đời muôn vàn thử thách:<
>Sống độ lượng, từ bi!<
>Si tình em một kiếp.<
>Dẫu biết chẳng vuông tròn,<
>Vẫn ngày cùng tháng kiệt<
>Tới lực yếu, thân mòn!<
>Môi son còn thắm đỏ<
>Vườn xuân có bướm vàng.<
>Sẽ một hôm nào đó,<
>Anh ghé bến đò ngang.<
>Ph. Lăng Trường",https://www.facebook.com/groups/486407735098594/,3,2
Điều Giận Dỗi,Dương Hồ Xuân Sơn,bảy chữ,,"Nếu giận dỗi làm tình thêm nồng cháy<
>Em đừng dừng, cứ giận dỗi cho anh<
>Để cho anh có lúc để dỗ dành<
>Để tình ái thêm tươi xanh kết trái<
>Nếu giận dỗi không có gì nguy hại<
>Em cứ hờn như Bờ trách Biển xa<
>Để tình yêu được xích lại đậm đà<
>Cho Biển lớn không chia xa Bờ cát<
>Nếu giận dỗi ngàn năm làm Biển hát<
>Biển dỗ dành như khúc nhạc du dương<
>Như tình anh phẳng lặng lúc đêm trường<
>Em là gió chao niềm thương nỗi nhớ<
>Nếu giận dỗi hương nồng nên duyên nợ<
>Em cứ hờn như hơi thở mùa xuân<
>Để tô thêm mật ngọt ở gian trần<
>Cho nỗi nhớ thêm phân vân luyến ái<
>Nếu giận dỗi không gieo mà tồn tại<
>Tự bao giờ mê mãi ở trần gian<
>Em cứ hờn, cứ dỗi, cứ riêng mang<
>Anh là Biển... sẽ xin hàng tạ lỗi<
>Nếu giận dỗi không làm ta chia lối<
>Không muộn phiền mang nông nổi cho ai<
>Anh sẽ xin được thức trắng đêm dài<
>Ru em ngủ cho em mơ... em nhớ<
>Nếu giận dỗi là kết tinh duyên nợ<
>Gắn chúng mình muôn thuở chẳng lìa xa<
>Đẩy tình yêu về chung sống một nhà<
>Em cứ dỗi...<
>Anh sẽ là... dành dỗ...!!?",https://www.facebook.com/groups/486407735098594/,7,5
"Thơ về sông của Tạ Thăng Hùng, bài 10",Tạ Thăng Hùng,bảy chữ,,"Sông Tiên<
>Mai tôi về, sông có nhớ tôi không<
>Riêng tôi nhớ sông Tiên và em lắm<
>Nhớ mùa hạ, bạn bè ra sông tắm<
>Nước cạn dòng, giữa nắng đứng chờ nhau<
>Mùa đông sang, nước ngập bãi bờ sâu<
>Ta vẫn nhớ truyền thuyết xưa đã kể<
>Nên sông cứ một màu xanh đến thế<
>Nơi đầu nguồn, vàng bạc giữ sông ơi<
>Năm tháng bên sông, tha thiết, bồi hồi<
>Dòng nước ngược, mình hẹn hò chờ đợi<
>Em cứ thế xuôi theo chiều gió thổi<
>Tôi ngược dòng nên ta mãi xa nhau<
>Tôi dại khờ để em lạc nơi đâu<
>Đi tìm mãi suốt chiều dài nỗi nhớ<
>Những ngày nắng, những đêm mưa, giông tố<
>Lúc trăng tròn, sóng vỗ nhớ nao nao<
>Mai tôi về, tìm lại ánh trăng sao<
>Đã chứng dám một mối tình chung thuỷ<
>Trên bến vắng, cầm tay em run rẩy<
>Nói lời yêu mà chẳng nói được gì<
>Nếu biết tôi về, em nhé đừng đi<
>Em hãy đứng yên, hay ngược dòng sông chảy<
>Tôi sẽ đến xuôi dòng tìm em lại<
>Cùng nhau về tha thiết với sông Tiên...",https://www.facebook.com/groups/486407735098594/,5,0
"Thơ về sông của Tạ Thăng Hùng, bài 8",Tạ Thăng Hùng,bảy chữ,,"Bài thơ sông Lam<
>Có một ngày anh chẳng nhớ thăm em<
>Để câu đợi trôi theo dòng Lam chảy<
>Dù điệu ví vẫn nặng lòng biết mấy<
>Em hát câu chờ, mong đợi bước anh sang<
>Nhớ lại mùa xuân khi hoa cải nở vàng<
>Câu hát đã dẫn anh về bên ấy<
>Con đò nhỏ, em mơ làm bằng giấy<
>Chở anh về bến đợi thuở xa xưa<
>Chỗ hẹn ban đầu anh trở lại chưa<
>Nơi sóng hát, đôi bờ lao xao gió<
>Anh đã nói cùng em đêm trăng tỏ<
>Rằng tình ta như muối mặn, gừng cay<
>Rồi anh đi biền biệt tháng ngày<
>Có còn nhớ không dòng Lam xanh mát?<
>Cánh buồm trắng, em ghim vào câu hát<
>Đưa em về tìm lại bến bờ anh<
>Ai đặt tên cho dòng Lam xanh<
>Mà biêng biếc cả một trời thương nhớ<
>Những cầu mới mơ về con đò nhỏ<
>Nối đôi bờ xứ Nghệ yêu thương<
>Khi gió Lào cháy khát ruộng nương<
>Sông lại tưới những dòng nước mát<
>Đêm nhộn nhịp, câu đò đưa ai hát<
>Để ai về qua lối cũ vấn vương<
>Ôi sông Lam tha thiết, yêu thương<
>Đã ru trọn một mối tình chung thuỷ<
>Sông góp nhặt phù sa cho mùa màng yêu quý<
>Cho bên bồi, bên lở bén duyên nhau<
>Sông lam xanh cho đến mãi ngàn sau<
>Vẫn cứ chảy xuôi về cửa Hội<
>Người yêu hỡi triệu năm em vẫn đợi<
>Giuơng cánh buồm gom gió kiếm tìm anh..",https://www.facebook.com/groups/486407735098594/,2,2
Ừ Thì Chia Ly,Xích Lân,bảy chữ,,"Ta lặng lẽ...buông lơi đi..luyến ái<
>Miệng mĩm cười...môi mấp máy...từ ly<
>Chuyện hồng trần...cứ bỏ mặc...bước đi<
>Không luyến tiếc...những gì...không đáng tiếc.<
>Ta từ bỏ...một niềm tin...bất diệt<
>Để tìm về...chốn tịch diệt...đơn côi<
>Mất niềm tin...giữ lại cũng...vậy thôi<
>Đành buông bỏ...mọi thứ...rồi sẽ ổn.<
>Người không ta...người vẫn hoài...vui nhộn<
>Ta không người...vẫn bận rộn...mưu sinh<
>Gặp nhau đây...là thiên địa...hữu tình<
>Giờ chia cách...là duyên mình...đã cạn.<
>Mộng hồng trần...hội họp...rồi ly tán<
>Kiếp nhân sinh...lãng mạn...lẫn bi thương<
>Đành buông tay...dừng lại...lúc cuối đường<
>Hai lối rẽ...hai phương trời...ly biệt.<
>Nguyễn Nhật Anh Vương.",https://www.facebook.com/groups/486407735098594/,1,0
