title,content,genre,url,author,period,specific_genre
Cát Đợi,"Cát chiều bay sẫm bến sông<
>Thương con đò ngược mùa đông chưa về<
>Lối mòn bạc cỏ may đê<
>Chiều mòn rỗng tiếng chim gì kêu đau<
>Sóng đêm tự bến sông nào<
>Theo trăng về thức dưới màu mây xưa<
>Tôi hoang vu, cát hoang vu<
>Trăng là người khách qua đò đêm nay<
>Cô đơn xuống một đò đầy<
>Tôi chờ em phía bên này mùa đông<
>Cát còn bay trắng bến sông<
>Người còn đi trắng mùa mong ước này<
>Tôi cầm hạt cát trên tay<
>Đêm không còn ấm như ngày có em<
>Tôi cầm cả chính tôi lên<
>Câu thơ nhặt được phía miền quạnh hiu<
>Câu thơ như cát mỗi chiều<
>Đem theo chút ấm nắng nghèo vào đêm",lục bát,https://isach.info/poem.php?poem=cat_doi__nguyen_viet_chien,Nguyễn Việt Chiến,hiện đại,
Làng,"Đường làng, hoa râm bụt<
>Đỏ lơ thơ. Anh mơ<
>Trên rào cây ngai ngái<
>Mùi hương tự cổ sơ<
>Người làng, chân tay lấm<
>Từ mờ sương cuối hôm<
>Những ao chuôm phẳng lặng<
>Bèo xanh phủ váng buồn<
>Chùa làng, ông hộ pháp<
>Trợn mắt nhìn chúng sinh<
>Tiền chùa, chúng tiêu hết<
>Đêm đêm ông đứng rình<
>Ao làng, tiếng đập chiếu<
>Ngực trăng em rằm chưa<
>Eo lưng lồ lộ trắng<
>Trăng sao cũng thẫn thờ<
>Đồng làng, xê dịch mãi<
>Những chân trời chân mây<
>Lận đận thân cò vạc<
>Mải mòn chi cuốc cày<
>Tình làng, rơm rạ ủ<
>Qua mưa gió tháng năm<
>Bóng đa trong câu hát<
>Hương vối khuya xót thầm<
>Sông làng, con đò cũ<
>Buộc chèo dưới bến trăng<
>Câu thơ xưa nằm ngủ<
>Giữa cỏ cát vĩnh hằng<
>Người đi người mang cả<
>Một tiếng LÀNG rưng rưng<
>Người về sau tre trúc<
>Làng còn không, nhớ mong…",thơ tự do,https://isach.info/poem.php?poem=lang__nguyen_viet_chien,Nguyễn Việt Chiến,hiện đại,
Mưa Tháng Giêng,"Tháng giêng mưa ngoài phố<
>Mưa như là sương thôi<
>Những bóng cây dáng khói<
>Như mộng du bên trời<
>Tháng giêng ngày mỏng quá<
>Nỗi buồn nghe cũ rồi<
>Mà bên kia tờ lịch<
>Nỗi niềm mưa xót rơi<
>Tháng giêng mưa trên tóc<
>Những người đi lễ chùa<
>Theo giọt mưa cầu phúc<
>Tiếng chuông từ bi mơ<
>Tháng giêng mưa dưới bến<
>Mỏng mai cô lái đò<
>Mắt mưa em lúng liếng<
>Trói tôi bằng vu vơ<
>Tháng giêng mưa như cỏ<
>Non xanh đến tận trời<
>Trước vô cùng năm tháng<
>Thơ mình sương khói thôi",thơ tự do,https://isach.info/poem.php?poem=mua_thang_gieng__nguyen_viet_chien,Nguyễn Việt Chiến,hiện đại,
Mùa Thu Không Trở Lại,"Cô bé ấy có một lần nói khẽ<
>Anh tin không, em sẽ ngủ một tuần<
>Anh đừng đến và đừng buồn anh nhé<
>Em ngủ rồi, còn ai nữa mà mong<
>Em ngủ rồi, em có dậy nữa không?<
>Mùa thu tiễn anh qua miền phố vắng<
>Mỏng mảnh quá lời yêu không đủ ấm<
>Những đam mê ngày ấy ngỡ xa rồi<
>Nỗi buồn chiều ta uống với ta thôi<
>Em như cỏ, em làm ta cháy mất<
>Giấc ngủ ấy ai tin là có thật<
>Em một mình đốt hết cả mùa thu<
>Ở bên kia thành phố có sương mù<
>Ai hát đấy, ta buồn như cỏ dại<
>Dậy thôi em, mùa thu không trở lại<
>Giấc mơ nào trên cỏ hãy còn xanh…",bảy chữ,https://isach.info/poem.php?poem=mua_thu_khong_tro_lai__nguyen_viet_chien,Nguyễn Việt Chiến,hiện đại,
Những Ngôi Chùa Trong Đêm,"Thăm thẳm sao trời<
>Tiếng hát đều đều và chậm rãi của người<
>Như nước chảy trong đá<
>Như trăng soi trong đá<
>Như máu thức trong đá<
>Tiếng hát mệt mỏi và tha thiết của người<
>Đưa bàn tay lại gần một bàn tay<
>Đưa ánh mắt lại gần một ánh mắt<
>Đưa con người lại gần một con người<
>Và chúng ta cất bước trên đường thẳm<
>Trong tiếng hát đều đều và chậm rãi<
>Trong tiếng hát thiết tha và mệt mỏi<
>Hướng đến những ngôi chùa trong đêm<
>Nơi máu thức trong đá<
>Nơi trăng soi trong đá<
>Nơi nước chảy trong đá<
>Mẹ ngồi, hai vạt áo nâu<
>Hương ba nén thắp, khói cầu nguyện bay<
>Ngoài kia tiếng vạc khô gầy<
>Sao dăm mảnh vỡ, gió day dứt lùa<
>Nghe như vọng tự ngàn xưa<
>Trong sương khói tiếng mõ chùa đêm đêm<
>Những ai trở lại thiên nhiên<
>Lánh đời về dưới cửa thiền những ai<
>Đức tin ở một ngày mai<
>Những tượng đất hát, những đền đài thiêng<
>Đạp qua khổ nhục oán hèn<
>Đạp qua dục vọng, cháy lên Niết bàn<
>Đêm nay, ba nén hương tàn<
>Nước trong một chén, kinh ngàn lời ru<
>Mẹ tôi, vạt áo nâu xưa<
>Tay thành kính chắp, khói mờ dương gian",bảy chữ,https://isach.info/poem.php?poem=nhung_ngoi_chua_trong_dem__nguyen_viet_chien,Nguyễn Việt Chiến,hiện đại,
Phố (trích Đoạn),"Cho mây chiều cũ<
>Bay về êm mơ.<
>Thèm một ánh trăng<
>Cho lòng đỡ tối<
>Ở đâu cỏ nội<
>Ở đâu sương đồng<
>Ở đâu dáng khói<
>Tiếng gà trưa mong.<
>Thèm một ánh lửa<
>Cuối chiều đông xa<
>Vai em gầy lạnh<
>Trên thềm phố mưa.<
>Bế em tôi ủ<
>Trong vòng tay mơ<
>Đốt thơ tôi sưởi<
>Những buồn đau xưa<
>Thèm một ngụm nước<
>Nỗi lòng khát khô<
>Chảy đi giọt suối<
>Ta quên bao giờ<
>Đóng vào chai biếc<
>Cánh rừng bỏ quên<
>Những con suối điếc<
>Bóng rừng khô im<
>Thèm một tiếng đàn<
>Mơ hoang nỗi nhớ<
>Những chiều mây vàng<
>Bồng bềnh lửa phố.<
>Một tay mở cửa<
>Một tay ôm đàn<
>Còn tay nào nữa<
>Dằt dìu em sang<
>Thèm một ngọn cỏ<
>Ướt xanh mắt người<
>Bụi lùa trên phố<
>Cháy chiều hoa rơi<
>Hồ xanh một thoáng<
>Cỏ xanh không lời<
>Những tượng đá đứng<
>Bên hoàng hôn rơi<
>Thèm một tuổi thơ<
>Không bao giờ thấy<
>Trong những ngăn bàn<
>Chỉ còn bụi giấy<
>Ngoài sông cánh buồm<
>Vừa bỏ ta đi<
>Em mang theo cả<
>Những ngày tháng kia",thơ tự do,https://isach.info/poem.php?poem=pho_trich_doan__nguyen_viet_chien,Nguyễn Việt Chiến,hiện đại,
Rối Nước,"Những con rối nước xếp hàng<
>Trong điệu nhạc múa khải hoàn dưới ao<
>Cò cưa nhị trống lao xao<
>Trong đám kèn rước vua vào thủy cung<
>Ở miền đất chật dân đông<
>Rối phải xuống nước mới mong thành người<
>Ở vùng buôn ngược bán xuôi<
>Diễn trò như rối là người đó ư?<
>Những câu chuyện của ngàn xưa<
>Diễn bao Rối Tích đến giờ chửa xong",lục bát,https://isach.info/poem.php?poem=roi_nuoc__nguyen_viet_chien,Nguyễn Việt Chiến,hiện đại,
Thời Đất Nước Gian Lao,"Những người con ngỡ đã đi thật xa<
>Đang lặng lẽ trở về<
>Họ lẫn vào gió vào sương đêm<
>Không cần an ủi<
>Họ chẳng ồn ào như lời ca sôi sục ngày ra đi<
>Họ còn nguyên tuổi trẻ<
>Những người lính chưa tiêu phí một xu mơ ước<
>Chưa tiêu hoài một đồng thanh xuân<
>Họ trở về tìm lại<
>Trang sách học trò đêm đêm còn thao thức<
>Trên cánh đồng tiếng Việt ngàn năm<
>Mẹ lại thấy chúng con về<
>Như cánh cò tuổi thơ lưu lạc<
>Đã bao ngày phải xa rời thôn ổ yêu thương<
>Chúng con trở về tìm lại<
>Giọt nước mắt xót xa và đắng cay của mẹ<
>Một bên là núi sông ngăn cách<
>Còn bên kia là bóng đêm chiến tranh<
>Vẫn biết đạn bom không có mắt<
>Vẫn biết hận thù không thể phân biệt nổi<
>Đâu là hoa sen và đâu là bùn tối<
>Nhưng các anh vẫn phải ra đi<
>Các anh phải ra đi<
>Lời ru chùa Tây Phương<
>Những La Hán mặt buồn<
>Người thợ mộc xứ Đoài<
>Lấy thân xác hom hem của mình làm mẫu vẽ<
>Ba mươi sáu dẻo xương sườn<
>Réo rắt tấu lên bản đàn tam thập lục<
>Người gẩy đàn thì đau đớn<
>Mà bản nhạc viết cho đàn lại reo vui<
>Mẹ đã sống dưới mưa phùn ảm đạm<
>Những ngày dài nghèo đói quắt quay<
>Mẹ thiếu sữa sinh đứa con thiếu tháng<
>Tổ quốc xanh xao Tổ quốc hao gầy<
>Mẹ có mặt trong dòng người nhẫn nại<
>Lặng lẽ xếp hàng từ mờ sớm tới đêm hôm<
>Mẹ lần hồi thời cơm tem gạo phiếu<
>Nuôi lớn những người con<
>Rồi gửi tới chiến trường<
>Mẹ đã khóc lúc rời ga Hàng Cỏ<
>Những đoàn tầu hun hút tuổi hai mươi<
>Một thế hệ hồn nhiên không biết chết<
>Chưa từng yêu khi gục ngã cuối trời<
>Mẹ ở lại với sông Hồng tần tảo<
>Áo phù sa lam lũ tháng ngày<
>Câu quan họ cất trong bồ thóc cũ<
>Sông Cầu trôi như một tiếng thở dài…",bảy chữ,https://isach.info/poem.php?poem=thoi_dat_nuoc_gian_lao__nguyen_viet_chien,Nguyễn Việt Chiến,hiện đại,
Tổ Quốc Nhìn Từ Biển,"Nếu Tổ quốc đang bão giông từ biển<
>Có một phần máu thịt ở Hoàng Sa<
>Ngàn năm trước con theo cha xuống biển<
>Mẹ lên rừng thương nhớ mãi Trường Sa<
>Đất Tổ quốc khi chập chờn bóng giặc<
>Các con nằm thao thức phía Trường Sơn<
>Biển Tổ quốc chưa một ngày yên ả<
>Biển cần lao như áo mẹ bạc sờn<
>Nếu Tổ quốc hôm nay nhìn từ biển<
>Mẹ Âu Cơ hẳn không thể yên lòng<
>Sóng lớp lớp đè lên thềm lục địa<
>Trong hồn người có ngọn sóng nào không<
>Nếu Tổ quốc nhìn từ bao quần đảo<
>Lạc Long cha nay chưa thấy trở về<
>Lời cha dặn phải giữ từng thước đất<
>Máu xương này con cháu vẫn nhớ ghi<
>Đêm trằn trọc nỗi mưa nguồn chớp bể<
>Thương Lý Sơn đảo khuất giữa mây mù<
>Thương Cồn Cỏ gối đầu lên sóng dữ<
>Thương Hòn Mê bão tố phía âm u<
>Nếu Tổ quốc nhìn từ bao thương tích<
>Những đau thương trận mạc đã qua rồi<
>Bao dáng núi còn mang hình goá phụ<
>Vọng phu buồn vẫn dỗ trẻ, ru nôi<
>Nếu Tổ quốc nhìn từ bao hiểm họa<
>Đã mười lần giặc đến tự biển Đông<
>Những ngọn sóng hoá Bạch Đằng cảm tử<
>Lũ Thoát Hoan bạc tóc khiếp trống đồng<
>Thương đất nước trên ba ngàn hòn đảo<
>Suốt ngàn năm bóng giặc vẫn chập chờn<
>Máu đã đổ ở Trường Sa ngày ấy<
>Bạn tôi nằm dưới sóng mặn vùi thân<
>Nếu Tổ quốc neo mình đầu sóng cả<
>Những chàng trai ra đảo đã quên mình<
>Một sắc chỉ về Hoàng Sa thuở trước[1]<
>Còn truyền đời con cháu mãi đinh ninh<
>Nếu Tổ quốc nhìn từ bao mất mát<
>Máu xương kia dằng dặc suốt ngàn đời<
>Hồn dân tộc ngàn năm không chịu khuất<
>Dáng con tàu vẫn hướng mãi ra khơi<
>(Trại viết Văn nghệ Quân đội Hạ Long 4/2009)",bảy chữ,https://isach.info/poem.php?poem=to_quoc_nhin_tu_bien__nguyen_viet_chien,Nguyễn Việt Chiến,hiện đại,
Trăm Năm Mắt Huế,"Mấy cung nữ trẻ lên lầu ngắm trăng<
>Gặp Hàn Mặc Tử thi nhân<
>Người từ Vĩ Dạ về thăm hoàng thành<
>Lấy thơ làm mộng du hành<
>Lấy trăng làm chốn nhân tình ghé qua<
>Đêm nay Huế thấm vào ta<
>Một dòng lặng lẽ trăng và sông Hương<
>Mái đò đêm đã ướt sương<
>Mà em vẫn giọng Huế thương nồng nàn<
>Đêm nay ngoài cửa Thuận An<
>Sóng trăm năm cũ còn đan nhau về<
>Thuyền chúa Nguyễn căng buồm đi<
>Hồn buồm neo dưới sao khuya bời bời<
>Biển miền Trung sóng mặn mòi<
>Phú Xuân còn đó một trời nhớ thương<
>Mấy trăm năm mộng đế vương<
>Đỉnh đồng chín cõi dâng hương về nguồn<
>Đàn Nam Giao dấu chẳng mòn<
>Đền đài, lăng tẩm có còn như xưa<
>Trăm năm mắt Huế đầy mưa<
>Sông Hương giấu một trời thơ để buồn",bảy chữ,https://isach.info/poem.php?poem=tram_nam_mat_hue__nguyen_viet_chien,Nguyễn Việt Chiến,hiện đại,
