title,content,genre,url,author,period,specific_genre
Ánh Nguyệt Đời Tôi,"Ánh Nguyệt Đời Tôi<
>Mười sáu nguyệt tròn nguyệt lại ra<
>Ngày xuân nắng đến hanh chiều tà<
>Sương ngoan đọng cỏ mềm đon đả<
>Chờ ánh nguyệt tràn trải thướt tha",bảy chữ,https://isach.info/poem.php?poem=anh_nguyet_doi_toi__bac_tu,Bac Tu,hiện đại,
Câu Thề Hôm Xưa,"Câu Thề Hôm Xưa<
>Hôm nao chung bến chung bờ<
>Cùng chung mơ ước chuyến đò ra khơi<
>Lênh đênh theo cánh gió mời<
>Mái chèo khuấy nước trong ngời quyện nhau<
>Hôm nao ngọt tiếng yêu đầu<
>Điểm tô hương sắc muôn mầu lung linh<
>Cả trời ôm với tay mình<
>Trăng sao quyến luyến bóng hình đêm thơ<
>Tình ta như chẳng phai mờ<
>Gió mưa ngỡ chẳng bao giờ xa nhau<
>Rồi em lỗi hẹn lần đầu<
>Câu thề phai nhạt để sầu riêng tôi<
>Mây đen phủ kín bầu trời<
>Đem cơn mưa lũ quấn trôi chuyến đò<
>Tiễn em chốn cũ hẹn hò<
>Trông theo khuất nẻo xa mờ chân mây<
>Trăng tàn khuyết bóng đêm nay<
>Thuyền xưa rạn nứt đắng cay não nề<
>Gió đem con sóng tái tê<
>Dập vuì bến cũ câu thề hôm xưa",bảy chữ,https://isach.info/poem.php?poem=cau_the_hom_xua__bac_tu,Bac Tu,hiện đại,
Chẳng Phải Vì Tôi,"Chẳng Phải Vì Tôi<
>Vì ai, ai biết là vì ai<
>Nhất định là không phải kẻ ngoài<
>Ngày đó ấy yêu tôi vẫn bé<
>Thì nào biết chuyện tình tương lai<
>Nhưng tôi biết chắc chẳng vì tôi<
>Hôm ấy vô đây kiếm chỗ ngồi<
>Đã thấy lệ tràn dâng khoé mắt<
>Tâm tư bộc lộ đọng bờ môi …..!",lục bát,https://isach.info/poem.php?poem=chang_phai_vi_toi__bac_tu,Bac Tu,hiện đại,
Chữ Tình,"Tụng kinh gõ mõ chắc gì an<
>Lẩn quẩn trong am trí có nhàn<
>Mắt mí lim rim hình quỷ dữ<
>Miệng môi mấp máy nét chiên ngoan<
>Vào ra sớm tối thân buồn chán<
>Lui tới đêm ngày xác khóc than<
>Tưởng chạy duyên đày thêm nỗi nhớ<
>Thôi về vá lại mảnh tình tan!",lục bát,https://isach.info/poem.php?poem=chu_tinh__bac_tu,Bac Tu,hiện đại,
Dạ Nguyệt,"Nguyệt đường trải lối tỏ thênh thang<
>Lóng lánh sao khuya tỏa dịu dàng<
>Lưu luyến liễu in hồ gợn bóng<
>Thiết tha điệp tỏ mây mênh mang<
>Suối reo thánh thoát thiên thai cõi<
>Gió thoảng hương thơm hoa động vàng<
>Dạ nguyệt mộng mơ tình hữu ý<
>Hoa cười hé nhụy phủ hồn hoang",lục bát,https://isach.info/poem.php?poem=da_nguyet__bac_tu,Bac Tu,hiện đại,
Đón Tết,"Tết lại nhởn nhơ trước cổng làng<
>Người người tươm tất bước thênh thang<
>Dăm cô hớn hở cười tươi thắm<
>Vài cậu mở lòng nói toáng oang<
>Sướng trẻ hân hoan quần áo mặc<
>Vui già thơ thới dép giầy mang<
>Cùng chung tiễn biệt bần năm cũ<
>Mong sáng trong về đẹp khói nhang!",lục bát,https://isach.info/poem.php?poem=don_tet__bac_tu,Bac Tu,hiện đại,
Giao Mùa,"Xướng : Bác Từ - Họa: Vũ Kim Thanh<
>Trời đất giao mùa vạn sắc vân<
>Cỏ cây hoa lá đứng tần ngần<
>Vừa xanh ngày trước rung đầu ngõ<
>Đã đỏ hôm nay rụng kín sân<
>Chú Hạ ra đi miền xứ lạ<
>Cô Thu tìm đến chốn quê thân<
>Rộn ràng sương khói tô mờ ảo<
>Tấp lập vườn thơ cũng bám chân",lục bát,https://isach.info/poem.php?poem=giao_mua__bac_tu,Bac Tu,hiện đại,
Khi Em,"Khi em biết khóc lần đầu<
>Cho hoa uá nhạt nghiêng sầu ngẩn ngơ<
>Cho anh biết cõi bơ vơ<
>Vàng tay khói thuốc lững lờ giăng giăng<
>Hải âu bên ngọn Hải Đăng<
>Ngỡ ngàng ngóng cổ kêu văng vẳng sầu<
>Khi em lỗi hẹn lần đầu<
>Nhạt nhòa mây xám rủ nhau kéo về<
>Anh nghe tâm đọng tái tê<
>Cuối trời mù mịt con đê vắng người<
>Sông hờn con nước miệt trôi<
>Tiếng tiêu Trương khúc rã rời đời nhau<
>Khi em cất tiếng nguyện cầu<
>Hào quang rực rỡ ngọc châu rạng ngời<
>Hân hoan tiếng nhạc lên ngôi",lục bát,https://isach.info/poem.php?poem=khi_em__bac_tu,Bac Tu,hiện đại,
Lời Của Mắt,"Cái thuở ban đầu mắt liếc mau<
>Con tim lấp ló bên kia cầu<
>Mắt nai mơ mộng chiều hanh nắng<
>Ngây ngất gió chiều liễu quyện nhau<
>Mắt hỏi - Tim ơi . . ngươi vấn vương<
>Tim cười mũm mĩm – cũng bình thường<
>Mắt ơi . . .sao mắt nhìn đôi mắt<
>Em thẹn thùng quay . . . có lẽ thương !",lục bát,https://isach.info/poem.php?poem=loi_cua_mat__bac_tu,Bac Tu,hiện đại,
Mẹ Tôi,"Mẹ vỗ về tôi cả cuộc đời<
>Không màng cực nhọc đổ mồ hôi<
>Thương con tha thiết đồng lai láng<
>Lòng mẹ rạt rào nước biển khơi<
>Âu yếu giọng hò tươi khoé mắt<
>Dịu dàng tiếng hát mát vành môi<
>Quên ăn bỏ ngủ vui kham cực<
>Lo lắng gian nan chẳng thốt lời !",lục bát,https://isach.info/poem.php?poem=me_toi__bac_tu,Bac Tu,hiện đại,
