title,content,genre,url,author,period,specific_genre
Bông Hồng Đầu Năm,"Mưa chẳng nhảy valse trên đường nữa<
>Vàng chi lắm thế nắng mai ơi<
>Hình như có điệu tango mới<
>Đưa bước em qua ngõ nhà người<
>Đông biếc đã phai ngoài dậu trúc<
>Tết hồng xác pháo cuối hiên mai<
>Có chàng nghiêng ngó xuân sau trước<
>Rồi chợt thấy mình đi theo ai<
>Dòng sông uốn lượn theo chân sáo<
>Chim lợp vòm me khúc nhạc vui<
>Đi lễ chùa xa nên em vội<
>Quên cả giấu duyên trên miệng cười<
>Màu áo hoa ngâu như là sóng<
>Tóc mơ se mộng với mây trời<
>Thầm cuốn lòng ai lên tận núi<
>Chùa xa chuông điểm nhịp sương rơi<
>Lóng ngóng ẩn mình sau hương khói<
>Với cành hoa nói hộ trên tay<
>Sao anh chẳng dám trao thiên hạ<
>Để hồng úa rụng chỉ còn gai<
>Bông hồng chưa nhận em đâu biết<
>Có kẻ khật khùng suốt Tết nay<
>Trái tim thôi nhảy soul trong ngực<
>Bởi đã hoá thành bong bóng bay...",lục bát,https://isach.info/poem.php?poem=bdong_hong_dau_nam__muong_man,Mường Mán,hiện đại,
Bông Cơm Nguội,"Hái bông cơm nguội bên thềm cũ<
>Nhớ thuở quế trầm chưa mất nhau<
>Loài hoa anh tặng em ngày ấy<
>Giờ hết nguội rồi bỗng biết đau",lục bát,https://isach.info/poem.php?poem=bong_com_nguoi__muong_man,Mường Mán,hiện đại,
Chào Mưa,"Chào mưa quen chừng như bỗng lạ<
>Bầy sẻ ngoan về dưới hiên nhà<
>Tặng em chuỗi hót xanh mùa hạ<
>Thơm mơ gần và cả mộng xa<
>Chào mưa những hàng mi chớp vội<
>Rụng rất thầm kỷ niệm ngày qua<
>Vẫn còn mảnh gương con giữ lại<
>Để dành soi nỗi nhớ phôi pha<
>Chào mưa chiều lang thang quên lối<
>Con sáo buồn đứng trú gốc me<
>Mơ áo trắng ngày xưa quay lại<
>Chắp cánh bay qua phố ngàn hoa<
>Chào mưa, chào mưa, chào mưa bay<
>Qua sông bịn rịn nào ai hay<
>Em về một nửa mưa bên ấy<
>Buồn tôi chợt nắng phía bên này.",lục bát,https://isach.info/poem.php?poem=chao_mua__muong_man,Mường Mán,hiện đại,
Chiều Đại Nội,"Chậm bước theo mưa chiều đại nội<
>Luồn qua cửa phủ ngắm thu phai<
>Đường xưa khoát áo rêu phong ngủ<
>Còn thức đâu đây những dấu hài?<
>Trầm mặc bên hồ bông sứ rụng<
>Mơ màng công chúa hát nam ai<
>Phím vỡ tơ chùng tình dẫu muộn<
>Tạ lòng nhau một thoáng hương bay",lục bát,https://isach.info/poem.php?poem=chieu_dai_noi__muong_man,Mường Mán,hiện đại,
Chợt Thấy,"Mười ngón pha phôi<
>Chợt thấy đôi khi lòng là sóng<
>Cuốn tim bay theo bước chân người<
>Ngã bảy ngã ba",bảy chữ,https://isach.info/poem.php?poem=chot_thay__muong_man,Mường Mán,hiện đại,
Con Gái,"Con gái là chúa ngây thơ<
>Đã tròn mười bảy cứ vờ mười ba<
>Đã bảo rất ghét người ta<
>Đôi con mắt cứ thật thà đong đưa<
>Đang nắng sớm bỗng mưa trưa<
>Bao nhiêu thời tiết chẳng vừa màu pha<
>Để vẽ lúc tươi như hoa<
>Khi hờn như bão giông và vân vân<
>Con gái tứ thơ bâng khuâng<
>Khiến con trai bước lạc vần chiêm bao<
>Thoáng gặp, muối ngỡ ngọt ngào<
>Điệu đàng gừng vội trốn vào lời ca<
>Con gái khác với quê nhà<
>Sao xa cứ nhớ như là... tha hương",lục bát,https://isach.info/poem.php?poem=con_gai__muong_man,Mường Mán,hiện đại,
Đi Qua Trăm Đỉnh Mưa Rào,"Ngày nắng nhớ đêm sương ngùi<
>Xuống biển nhớ núi lên đồi nhớ khe<
>Dầm mưa thu nhớ đêm hè<
>Ở đồng nhớ cõi đi về phố đông<
>Loay hoay hạt bụi sắc không<
>Trở lòng nghe hổng giữa lòng bao la<
>Quẩn quanh trong cõi người ta<
>Đôi khi trơ trấc như là cội cây<
>Đôi khi thoắt vơi thoắt đầy<
>Phần người phần thú bầy hầy khó phân<
>Ôm vai Lan, nhớ môi Vân<
>Ăn đường thấy mặn, cắn gừng thấy chua<
>Ngỡ thắng rồi bỗng thấy thua<
>Cái tôi sấp ngửa cho vừa cuộc chơi<
>Cái tâm vốn chẳng lắm lời<
>Đôi khi chống dập đỡ vùi suýt tan<
>Đi qua mặt đất ngổn ngang<
>Một ta mờ mịt giữa ngàn múa may<
>Cảm ơn em đã cho vay<
>Chút tình muối mặn để ngày nhớ ơn<
>Để đêm ngát mộng bình thường<
>Trái tim cỏ úa hóa vườn chiêm bao<
>Đi qua trăm đỉnh mưa rào<
>Ơn em ngọn nắng ngọt ngào khuya nay",lục bát,https://isach.info/poem.php?poem=di_qua_tram_dinh_mua_rao__muong_man,Mường Mán,hiện đại,
Đồng Khánh Ngày Xưa,"Răng mờ cứ theo tui hoài rứa<
>Cái ông ni có dị chưa tề<
>Sáng chiều trưa hai buổi đi về<
>Đưa với đón làm răng không biết<
>Oâi đôi mắt sao mà tha thiét<
>Đừng nhìn làm ngượng bước chân tui<
>Lá thơ tình ông gởi làm chi<
>Thầy mạ biết rầy la tui chết<
>Oâng tán tỉnh làm chi không biết<
>Tui như ma qủy dưới âm ty<
>Nói hoài lời hoa mỹ làm chi<
>Tui còn nhỏ chuyện tình răng biết được<
>Tội tui lắm cách cho vài bước<
>Đừng đi gần hai bóng chung đôi<
>Xa xa cho kẻo bạn tui cười<
>Mai vào lớp cả trường dị nghị<
>Thôi được rồi đưa lá thơ đây<
>Mai tan trường đợi ở gốc cây<
>Tui sẽ tới trả lời cho biết.",lục bát,https://isach.info/poem.php?poem=dong_khanh_ngay_xua__muong_man,Mường Mán,hiện đại,
Hát Trên Núi,"Tay đan tay chiều muộn rồi<
>Nhạc trôi dưới phố nắng ngùi trên cây<
>Mắt đan mắt cay nồng cay<
>Sương giảng lũng thấp nhớ đầy lên vai<
>Môi đan môi nụ hôn dài<
>Rẩy run đôi cánh hoa mai chợt vàng<
>Đồi lang thang núi lang thang<
>Dắt nhau về thủa hồng hoang hai người<
>Tóc đan tóc bời rối bời<
>Trăng trôi qua phố mây rời rã mây<
>Ngủ đi thôi ,ngọn cỏ may<
>Tim anh hãy tựa những ngày còn xanh<
>Ngủ đi thôi con chim oanh<
>Giữ ngoan tiếng hát dỗ dành mai sau<
>Núi cắt rốn , đồi chôn nhau<
>Đi đâu cũng nhớ quay đầu về non",lục bát,https://isach.info/poem.php?poem=hat_tren_nui__muong_man,Mường Mán,hiện đại,
Hôm Qua,"Con bướm bay lạc vào thơ<
>Câu lục mãi bận nằm mơ sông dài<
>Câu bát đang bận học bài ,<
>Tóc mai so ngắn so dài với gương<
>Môi bận ngậm nụ cười hường<
>Đôi mắt bận nhớ con đường lá me<
>Chỉ có mỗi mình em nghe ,<
>Gió thu nương cánh bướm về hôm qua<
>Rủ rê theo cả người ta ,<
>Bâng khuâng trước ngõ hỏi hoa mượn lời<
>Hương bận cùng trăng rong chơi<
>Hoa làm thinh ngậm môi người làm thinh.",lục bát,https://isach.info/poem.php?poem=hom_qua__muong_man,Mường Mán,hiện đại,
