title,content,genre,url,author,period,specific_genre
Ánh Trăng,"Hồi nhỏ sống với đồng<
>với sông rồi với bể<
>hồi chiến tranh ở rừng<
>vầng trăng thành tri kỉ<
>Trần trụi với thiên nhiên<
>hồn nhiên như cây cỏ<
>ngỡ không bao giờ quên<
>cái vầng trăng tình nghĩa.<
>Từ hồi về thành phố<
>quen ánh điện cửa gương<
>vầng trăng đi qua ngõ<
>như người dưng qua đường.<
>Thình lình đèn điện tắt<
>phòng buyn-đinh tối om<
>vội bật tung cửa sổ<
>đột ngột vầng trăng tròn.<
>Ngửa mặt lên nhìn mặt<
>có cái gì rưng rưng<
>như là đồng là bể<
>như là sông là rừng<
>Trăng cứ tròn vành vạnh<
>kể chi người vô tình<
>ánh trăng im phăng phắc<
>đủ cho ta giật mình.",thơ tự do,https://isach.info/poem.php?poem=anh_trang__nguyen_duy,Nguyễn Duy,hiện đại,
Chạnh Lòng 1,"Giọt rơi hơi bị trong veo<
>Mắt đi hơi bị vòng vèo lôi thôi<
>Chân mây hơi bị cuối trời<
>Em hơi bị đẹp anh hơi bị nhàu",lục bát,https://isach.info/poem.php?poem=chanh_long_1__nguyen_duy,Nguyễn Duy,hiện đại,
Chạnh Lòng 2,"Lơ ngơ hơi bị ấm đầu<
>Mù mờ hơi bị ngu lâu tàn đời<
>Thần kinh hơi bị rối bời<
>Người hơi bị ngợm ta hơi bị người",lục bát,https://isach.info/poem.php?poem=chanh_long_2__nguyen_duy,Nguyễn Duy,hiện đại,
Chút Thu Vàng,"Se se một chút lạnh lùng<
>Mình sang với bạn, sang cùng thu sang<
>Bạn đi như sợ lỡ làng<
>Mùa thu đi trước lá vàng theo sau<
>Buồn vui đâu cũng giống nhau<
>Lẻ loi kim tước chân cầu ngủ mơ<
>Vàng long lanh chóp nhà thờ<
>Cánh chim ngoan đạo lửng lơ ngang trời<
>Rừng phong đã chớm thu rồi<
>Vàng rơi trên mái tóc người đi qua<
>Ruột gan hoang vắng miền xa<
>Hiu hiu ngọn gió nhớ nhà lạnh tê<
>Mải ham hố chén u mê<
>Hư vô chặn mất lối về như chơi<
>Mátxcơva, 9.1985 / Đường xa, 1989",lục bát,https://isach.info/poem.php?poem=chut_thu_vang__nguyen_duy,Nguyễn Duy,hiện đại,
Có Một Buổi Chiều Nào,"Rồi ngày mai trong một giấc mơ nào<
>Em có gặp lại những gì đã mất<
>Trường lớp lạ ngày nào ta biết mặt<
>Bạn bè đông tan học rủ nhau về<
>Những tên người vô cớ gọi trong mê<
>Sáng thức dậy thấy lòng vui rộn rã<
>Những bài thơ chuyền tay nhau vội vã<
>Bỗng ngày nào anh chợt nhận ra em<
>Một tên người xa lạ tự nhiên quen<
>Từ lúc ấy lòng anh như trẻ mãi<
>Và lòng em cũng vô cùng thơ dại<
>Ta yêu nhau không một lí do nào<
>Khắp đất trời mới mẻ lạ lùng sao<
>Thế giới đẹp như trang hoàng trở lại<
>Những chiếc lá rụng trong chiều lộng lẫy<
>Cũng nghiêng mình thủ thỉ lúc ta qua<
>Và một điều huyền bí được sinh ra.<
>Như tất cả, hẳn là em cũng có<
>Những ngăn kéo của lòng mình nho nhỏ<
>Ngăn giấu ô mai, ngăn giấu vui buồn<
>Và ngăn nào cất giữ những nụ hôn<
>Ngăn nào nữa cất những lời hứa hẹn<
>Dẫu lời hứa không bao giờ đúng hẹn<
>Những chuyến tàu lỡ bến đã từ lâu<
>Giữa những mặt người thấp thoáng qua mau<
>Em có thấy bóng ai đang sững lại<
>Ấy là anh của một thời trẻ dại.<
>Rồi ngày mai trong một giấc mơ nào<
>Em có gặp lại những gì đã mất<
>Những thanh kẹo nguyên màu trong kí ức<
>Vẫn chưa bong lớp giấy cuối cùng<
>Một bầu trời lặng lẽ đến bao dung<
>Tiếng chân bước nôn nao ngoài cửa lớp<
>Trong ánh mắt bao niềm vui choáng ngợp<
>Mỗi ngày qua như một chuyến đi dài<
>Tiếng cuộc đời giục giã ở bên tai.<
>Kỉ niệm cũ xếp đầy trong trí nhớ<
>Như nét mực thấm qua từng trang vở<
>Bàn tay em hờ hững lật qua dần<
>Có lúc nào em dừng lại, bâng khuâng<
>Như bóng nắng ngoài kia chưa nỡ tắt<
>Mặt trời xuống sợ ngày vui sẽ hết.<
>Rồi ngày mai một buổi chiều nào<
>Trên con đường bóng tối phủ từ lâu<
>Em mệt mỏi giữa dòng đời khắc nghiệt<
>Những lúc ấy có bao giờ em biết<
>Những tháng ngày tươi đẹp đã trôi qua<
>Có một phần lầm lỗi của đôi ta?",bảy chữ,https://isach.info/poem.php?poem=co_mot_buoi_chieu_nao__nguyen_duy,Nguyễn Duy,hiện đại,
Đi,"Gió đi ù ù ngang họng súng thần công<
>Tiếng chuông chùa đi thủng thỉnh trong không<
>Áo em trắng đi từ xa vắng lại<
>Thời gian đi xám mặt đỉnh đồng",bảy chữ,https://isach.info/poem.php?poem=di__nguyen_duy,Nguyễn Duy,hiện đại,
Đò Lèn,"Thuở nhỏ tôi ra Cống Na câu cá<
>Níu váy bà đi chợ Bình Lâm<
>Bắt chim sẻ ở vành tai tượng Phật<
>Và đôi khi ăn trộm nhãn chùa Trần<
>Thuở nhỏ tôi lên chơi đền cây Thị<
>Chân đất đi đêm xem lễ Đền Sòng.<
>Mùi huệ trắng quyện khói trầm thơm lắm<
>Điệu hát văn lảo đảo bóng cô đồng.<
>Tôi đâu biết bà tôi cơ cực thế<
>Bà mò cua, xúc tép ở đồng Quan<
>Bà đi gánh chè xanh Ba Trại<
>Quán cháo, Đồng Giao thập thững những đêm hàn<
>Tôi trong suốt giữa đôi bờ hư thực<
>Giữa bà tôi và tiên phật thánh thần<
>Cái năm đói củ giong riềng luộc sượng.<
>Cứ nghe thơm mùi huệ trắng, hương trầm<
>Bom Mỹ giội nhà bà tôi bay mất<
>Đền Sòng bay, bay tuốt cả chùa chiền<
>Thánh với Phật rủ nhau đi đâu hết<
>Bà tôi đi bán trứng ở ga Lèn<
>Tôi đi lính, lâu không về quê ngoại<
>Dòng sông xưa vẫn bên lở bên bồi<
>Khi tôi biết thương bà thì đã muộn<
>Bà chỉ còn là một nấm cỏ thôi!",bảy chữ,https://isach.info/poem.php?poem=do_len__nguyen_duy,Nguyễn Duy,hiện đại,
Được Yêu Như Thể Ca Dao,"Bao giờ cho tới ngày xưa<
>Yêu như các cụ cho vừa lòng ta<
>Cái thời chưa nhiễm SIDA<
>Yêu lăn yêu lóc la đà đã chưa<
>Được yêu như các cụ xưa<
>Cũng trăng cũng gió cũng mây mưa ào ào<
>Được yêu như thể ca dao<
>Đủ phờ phạc đất đủ lao đao trời<
>Tây Tàu cũng thế thì thôi<
>Y chang cay đắng ngọt bùi khổ đau<
>Không trầu mà cũng chẳng cau<
>Làm sao cho thắm môi nhau thì làm.",lục bát,https://isach.info/poem.php?poem=duoc_yeu_nhu_the_ca_dao__nguyen_duy,Nguyễn Duy,hiện đại,
Giấc Mộng Trắng,"Rừng xanh chết trắng một thời<
>Cây giơ xương trắng lên trời mà ghê<
>Ve kêu trắng xác ngày hè<
>Lau Khe Sanh trắng xuống khe Đầu Mầu<
>Đi từ trắng rợn cờ lau<
>Xuôi miền cát trắng vẫn màu trắng thôi<
>Tuổi hai mươi trắng răng cười<
>Trắng con đường Chín… bạn tôi không về<
>Nghe trăng trắng khúc nhạc ve<
>Mênh mông trắng xóa bốn bề hoa lau<
>Cồn Tiên áo trắng qua cầu<
>Bạn tôi nằm dưới trắng phau Đông Hà[1]",lục bát,https://isach.info/poem.php?poem=giac_mong_trang__nguyen_duy,Nguyễn Duy,hiện đại,
Gửi Về Lam Sơn,"Em thanh xuân như ngày xưa của anh<
>Duới sân trường có một viên sỏi xanh rất nhỏ<
>Anh cất dấu tuổi trẻ mình ở đó<
>Có khi nào em xới cỏ vườn trường<
>Mảnh ốc xà cừ lóng lánh ánh lửa<
>Anh cất dấu tuổi trẻ mình ở đó<
>Em còn đi ngang dòng Nông Giang<
>Hòn đá tảng kê làm bậc rửa chân<
>Anh cất dấu tuổi trẻ mình ở đó<
>Cái hố tránh bom anh đào trước nhà Dòng<
>Ẩn nấp cùng anh có một người bạn nữa<
>Anh cất dấu tuổi trẻ mình ở đó<
>… Tuổi trẻ anh áo nâu, chân đất<
>Bữa cháo, bữa khoai, đi cày và đi học<
>Bụng cồn cào con chữ chạy xiêu xiêu<
>Đâu rồi… lũ bạn trai trời đánh thánh vật<
>Ông Dậu lao công quang quác la<
>Nhất quỉ nhì ma, thứ ba học trò!…<
>Đâu rồi… lớp học đêm le lói đèn dầu<
>Tiếng phản lực xẹt ngang bài thơ cổ<
>Những câu thơ đầu tiên lặng lẽ gửi loài người<
>Đâu rồi… phút chia li không ai tiễn đưa<
>Trường sơ tán vào Đông Văn, Đông Phú<
>Lũ anh đi mỗi đứa một chiến trường<
>Đâu rồi… đứa xanh cỏ, đứa đỏ ngực<
>Đứa thành lãnh đạo, đứa về làm thuê<
>Còn anh nghễnh ngãng làm nghề mộng du<
>Chiến tranh đi qua – thời trai anh đi qua<
>Những ngả đường đạn bom mịt mù thăm thẳm lắm<
>Về lại trường xưa tìm lại chút ngày xưa<
>Sẽ còn mãi những gì không thể mất<
>Em vô tư đâu có thấy anh nhìn<
>Kỷ niệm anh chìm lấp dưới chân em<
>Em có bắt được thì cho anh xin<
>Anh ngắm lại chứ không sao lấy lại<
>Mảnh vụn thời gian chắp nối đời người<
>Thế nào em cũng lặp lại anh thôi<
>Phán xử buồn vui từng mẩu quá khứ<
>Em thanh xuân như ngày xưa của anh ơi…",bảy chữ,https://isach.info/poem.php?poem=gui_ve_lam_son__nguyen_duy,Nguyễn Duy,hiện đại,
