title,content,genre,url,author,period,specific_genre
Ba Đứa Mình,"Cho em bài thơ tình ko đứt đoạn<
>Viết trong đêm những giọt quỳnh nồng uống hạt trăng rơi<
>Viết cho em trong hương sớm hoa lài<
>Trong nắng chiều: ngo ngoe con bọ ngựa<
>Em với cuộc đời:<
>Như đôi bóng sinh đôi<
>Trong gương nhỏ mỗi ngày!<
>Và cả ba đứa mình<
>Em, anh và cuộc sống<
>Trong một vòng tay nóng bỏng<
>Ôi! ba giọt nắng vàng<
>Trên mái tóc thời gian<
>Em, anh và cuộc sống.",thơ tự do,https://isach.info/poem.php?poem=ba_dua_minh__luu_trong_lu,Lưu Trọng Lư,hiện đại,
Bâng Khuâng,"Ta còn thấy bóng kẻ thơ ngây,<
>Xe chồn gối mỏi trở về đây,<
>Trên đường hiu quạnh khách đau mỏi,<
>Chán nản hung hăng nện gót giày;<
>Ngàn liễu xanh xanh con cò trắng,<
>Lạnh lẽo xa vời ủ rũ bay.<
>Ta còn thấy bóng kẻ thơ ngây,<
>Rẽ lau vạch suối tới am mây,<
>Nắng trần chan chát, lòng trần héo,<
>Mịt mù dặm cát một chòm cây,<
>Dừng lại đây bóng im cửa Phật,<
>Dừng lại trong làn khói biếc bay,<
>Dừng lại đây là nơi hiu quạnh,<
>Là nơi nghe thấy tiếng cỏ cây,<
>Là nơi quên những mùi trần sự,<
>Là nơi quên những nỗi chua cay.<
>Nghe thấy tiếng ngọt ngào cõi Phật,<
>Rũ bụi trần, chàng dừng lại ngay<
>Trước Phật đài, chàng lâm râm nguyện<
>""Tình xưa theo gửi, nước, trời, mây!""<
>Một hôm thiền định dưới gốc mai<
>Bỗng thấy lòng vơi chốc lại đầy,<
>Thẫn thờ tay lần tràng chuỗi hạt<
>Mà như lần những hạt chua cay...<
>Vì vừa nghe tiếng chuông chùa nện<
>Lạnh lùng từng tiếng não bên tai,<
>Lạnh lùng như người trong cung Quảng,<
>Bâng khuâng chợt nhớ cảnh trần ai.",lục bát,https://isach.info/poem.php?poem=bang_khuang__luu_trong_lu,Lưu Trọng Lư,hiện đại,
Chải Lại Đời Anh,"Cái màu nhiệm vô biên<
>Qua bàn tay em mỗi ngày hiển hiện<
>Đàn đã qua bao cung gió chuyển<
>Còn vọng vang tiếng nhấn tơ đầu<
>Sáng nay, em nghĩ gì, nghĩ gì anh biết<
>Khi giữa giờ bão tố hoa vẫn toả một mùi hương<
>Và đêm nay, bàn tay em ở đâu, ở đâu anh biết<
>Khi anh đang ngồi lặng, trước ngọn đèn chong<
>Em là ánh trăng khuya.<
>Vẫn là của anh mặt trời mỗi sáng<
>Có những thu lá vàng tơi tả<
>Em chải lại đời anh<
>Em kéo từng nút khăn, em đơm từng khuy áo<
>Mà với trăng sao, em đi trọn khúc ân tình.",thơ tự do,https://isach.info/poem.php?poem=chai_lai_doi_anh__luu_trong_lu,Lưu Trọng Lư,hiện đại,
Chiếc Cáng Điều,"Tặng X.D và H.C<
>Lững thững sườn non chiếc cáng điều:<
>Ngàn thông còn đắm mộng thân yêu<
>Lỏng buông mái tóc sau riềm võng:<
>Tiếng ngọc mùi hương, lẫn gió chiều.<
>Những anh phu cáng đo từng bước,<
>Tỉ tê cùng kể chuyện hoang đường,<
>Vén riềm thiếu nữ tưng bừng ngắm<
>Truông núi: muôn chim gọi rộn ràng<
>Yểu điệu, vừa trông, dáng thướt tha<
>Văn nhân không ngớt chén quan hà,<
>Lưng đèo, ngôi quán quên thân phận<
>Chiều ấy, cùng mơ vẽ thế gian.",lục bát,https://isach.info/poem.php?poem=chiec_cang_dieu__luu_trong_lu,Lưu Trọng Lư,hiện đại,
Chị Em,"Em bước vào đây<
>Gió hôm nay lạnh,<
>Chị đốt than lên,<
>Để em ngồi cạnh.<
>Mai chị lấy chồng<
>Ở mãi Giang Đông<
>Dưới làn mây trắng<
>Cách mấy con sông.<
>Chăn lụa, gối bông<
>Chị mang theo chồng,<
>Mai phòng chị lạnh<
>Đốt giùm nén hương.<
>Chồng chị là ai<
>Chị nào có biết!<
>Đợi đến ngày mai<
>Nhìn qua kẽ liếp.<
>Sao em thổn thức<
>Buồn nỗi gì em?<
>Nay em khóc chị<
>Mai ai khóc em?<
>Em đưa củi vào<
>Lửa hồng thêm đượm,<
>Rót chén rượu đào<
>Cho lòng thêm thắm.<
>Uống thêm chén nữa<
>Mừng buổi chia li<
>Tiễn ngày vui hết<
>Tiễn thời xuân đi.",thơ tự do,https://isach.info/poem.php?poem=chi_em__luu_trong_lu,Lưu Trọng Lư,hiện đại,
Còn Chi Nữa,"Tặng ba nhà thi sĩ trẻ tuổi...<
>Giờ đây hoa hoang dại<
>Bên sông rụng tơi bời<
>Đã qua rồi cơn mộng,<
>Đừng vỗ nữa, tình ơi!<
>Lòng anh đã rời rụng<
>Trên sông ngày tàn rơi.<
>Tình anh đà xế bóng,<
>Còn chi nữa, em ơi?<
>Còn đâu ánh trăng vàng<
>Mơ trên làn tóc rối?<
>Chân nâng trên đường sỏi,<
>Sương lá đổ rộn ràng.<
>Trăng nội vẫn mơ màng<
>Trên những vòng tóc rối?<
>Đêm ấy xuân vừa sang<
>Em vừa hai mươi tuổi<
>Còn đâu những giờ nhung lụa:<
>Mộng trùm trên bông<
>Tình ấp trong gối<
>Rượu tân hôn không uống cũng say nồng?<
>Còn đâu mùi cỏ lạ<
>Ướp trong mớ tóc mây?<
>Một chút tình thơ ngây<
>Không còn trên đôi má.",thơ tự do,https://isach.info/poem.php?poem=con_chi_nua__luu_trong_lu,Lưu Trọng Lư,hiện đại,
Đã Khua Rồi,"Hoa lan quên nở trên giàn,<
>Nhớ ai em để tiếng đàn ngừng đưa?<
>Tiếc gì em, nửa đường tơ!<
>Cho hoa quên nở, trăng mờ quạnh soi....<
>Chờ em đêm đã khuya rồi<
>Rộn ràng lá đổ, vàng rơi đầy thềm",lục bát,https://isach.info/poem.php?poem=da_khua_roi__luu_trong_lu,Lưu Trọng Lư,hiện đại,
Đan Áo,"Tặng người thiếu nữ khi mùa đông mới về, vội vàng đan áo rét<
>Ngày tháng em đan chiếc áo len,<
>Hững hờ để lạnh với tình duyên.<
>Mùa đông đến tự hôm nào nhỉ?<
>Lá rụng bay đầy dưới mái hiên.<
>Gió thổi hôm nay lá rụng nhiều,<
>Để về mang ủ lòng anh lạnh,<
>Cho khoảng đêm trường đỡ quạnh hiu.",lục bát,https://isach.info/poem.php?poem=dan_ao__luu_trong_lu,Lưu Trọng Lư,hiện đại,
Điệu Hát Lẳng Lơ,"Lắng nghe tiếng hát chị đò đưa,<
>Trong ánh trăng vời vợi...<
>Tiếng hát lẳng lơ đưa,<
>Làm xao động những làn da mát rợi.<
>Tiếng hát lẳng lơ<
>Một đoàn gái tơ<
>Nằm mơ trên bờ cỏ nõn.<
>Một đoàn nai tung tăng đùa giỡn<
>Theo điệu hát giòn ở cạnh sườn non...<
>Ai nghe tiếng hát chị đò đưa<
>Mà không cảm thương người quả phụ<
>Nằm ấp bóng trăng thưa Luồn qua song cửa sổ!",bảy chữ,https://isach.info/poem.php?poem=dieu_hat_lang_lo__luu_trong_lu,Lưu Trọng Lư,hiện đại,
Điêu Huyền,"Những điệu huyền bay, lạc khắp thôn,<
>Từng nhà, đây đó hẹn nhau buồn,<
>Có cô dâu mới nhìn sông nước<
>Sực nhớ quê nhà giọt lệ tuôn.",lục bát,https://isach.info/poem.php?poem=dieu_huyen__luu_trong_lu,Lưu Trọng Lư,hiện đại,
Đi Giữa Vườn Nhân,"Đi giữa vườn nhân dạ ngẩn ngơ<
>Vì thương người lắm, mới say thơ<
>Phên thưa đã có bàn tay đỡ<
>Đêm lạnh, phăng lần những mối tơ<
>Đẹp lắm! Trên đời những vấn vương<
>Chao ôi! Thiên lí một con đường<
>Đi trong trời đất từ duyên ấy<
>Sớm tối không rời một chữ thương<
>Len giữa vườn mai chạm nắng người<
>Trời hơi lành lạnh ấm bàn tay<
>Muốn hôn tất cả hoa cùng nụ<
>Tưởng gió ngàn xa thoảng tới đây.",lục bát,https://isach.info/poem.php?poem=di_giua_vuon_nhan__luu_trong_lu,Lưu Trọng Lư,hiện đại,
Giữa Mùa Gió Thổi,"Hỡi em khăn đỏ bao nhiêu tuổi<
>Rằng em vừa đúng tuổi lên mười.<
>Hỏi ông tóc bạc bao nhiêu tuổi<
>Rằng: lão trời cho đúng tám mươi.<
>Em nói: Gió mùa xuân thổi áo đẹp rũ lên đường.",lục bát,https://isach.info/poem.php?poem=giua_mua_gio_thoi__luu_trong_lu,Lưu Trọng Lư,hiện đại,
Hôm Qua,"Hôm qua bạn ạ! Ta chiêm bao:<
>Gò ngựa bên sông, dưới gốc đào<
>Sớm ấy, đông qua đào chín ửng<
>Ta trèo vin hái trên cành cao.<
>Đàng xa bỗng thấy đò em lại<
>Sông lặng em bơi nhẹ mái chèo.<
>Lộng lẫy trong màu xiêm áo biếc<
>Như nàng tiên nữ động Quỳnh Diêu<
>Em ca theo điệu người sơn nữ<
>Cắt cỏ bên đồi, giọng líu lo<
>Vùn vụt gió lên: tà áo nhẩy<
>Sóng xô, vỗ nhẹ dưới khoang đò.<
>Thấy ta ngừng hát, em cười lả<
>Ta thưởng vất em một quả đào<
>Ta ngỏ nhờ em đưa quá bến<
>Em cười, ta vội xuống cây mau.<
>Than ôi! ngoảnh lại, biến đâu rồi!<
>Còn vẳng bên đồi giọng hát thôi.<
>Sao chẳng em ôi! Chầm chậm lại<
>Cho duyên tình ấy gửi đôi lời...<
>Giật mình ta thấy bồ hôi lạnh:<
>Mộng đẹp bên chăn đã biến rồi!<
>Muốn gọi tên nàng nhưng ái ngại<
>Ngoài thềm lác đác bóng hoa rơi.<
>Nàng còn lưu lại chút hương xa<
>Tạ lòng, ta tặng mấy vần thơ<
>Thơ ta cũng giống tình nàng vậy<
>Mộng, mộng mà thôi! Mộng hão hờ.",lục bát,https://isach.info/poem.php?poem=hom_qua__luu_trong_lu,Lưu Trọng Lư,hiện đại,
