content,title,url,genre,period,specific_genre,author
"Gởi cho Tứ Ly<
>Tôi là người bộ hành phiêu lãng<
>Đường trần gian xuôi ngược để vui chơi vui chơi<
>Tìm cảm giác hay trong tiếng khóc, câu cười,<
>Trong lúc gian lao, trong giờ sung sướng,<
>Khi phấn đấu cũng như hồi mơ tưởng.<
>Tôi yêu đời cùng với cảnh lầm than,<
>Cảnh thương tâm, ghê gớm, hay dịu dàng.<
>Cảnh rực rỡ, ái ân hay dữ đội.<
>Anh dù bảo: tính tình tôi thay đổi,<
>Không chuyên tâm, không chủ nghĩa: nhưng cần chi?<
>Tôi chỉ là một khách tình si<
>Ham vẻ Đẹp có muôn hình, muôn thể.<
>Mượn lấy bút nàng Ly Tao tôi vẽ,<
>Và mượn cây đàn ngàn phím, tôi ca<
>Vẻ đẹp u trầm, đắm đuối, hay ngây thơ,<
>Cũng như vẻ Đẹp cao siêu, hùng tráng<
>Của non nước, của thi văn, tư tưởng.<
>Dáng yêu kiều tha thướt khách giai nhân;<
>Ánh tưng bừng linh hoạt nắng trời xuân;<
>Vẻ sầu muộn âm thầm ngày mưa gió;<
>Cảnh vĩ đại, sóng nghiêng trời, thác ngàn đổ;<
>Nét mong manh, thấp thoáng cánh hoa bay;<
>Cảnh cơ hàn nơi nước đọng bùn lầy;<
>Thú sán lạn mơ hồ trong ảo mộng;<
>Chí hăng hái đua ganh đời náo động:<
>Tôi đều yêu, đều kiếm, đều say mê.<
>Tôi sẵn lòng đau vì tiếng ai bi,<
>Và tôi cảm khái bởi những lời hăng hái.<
>Tôi ngợi ca với tiếng lòng phấn khởi,<
>Tôi thở than cùng thiếu nữ bâng khuâng,<
>Tôi véo von theo tiếng sáo lưng chừng,<
>Tôi yên ủi với tiếng chuông huyền diệu,<
>Với Nàng Thơ, tôi có đàn muôn điệu;<
>Với Nàng Thơ, tôi có bút muôn mầu:<
>Tôi muốn làm nhà nghệ sĩ nhiệm mầu:<
>Lấy thanh sắc trần gian làm tài liệu.",Cây Đàn Muôn Điệu,https://isach.info/poem.php?poem=cay_dan_muon_dieu__the_lu,bảy chữ,hiện đại,,Thế Lữ
"Tặng Trần Bình Lộc<
>Tiếng pháo rắc trong thành phố vắng.<
>Mưa phùn rây, cùng ánh đèn yên lặng<
>Gội lên mặt đường đen, loáng và xa.<
>Hai dẫy nhà kín cửa đứng trơ trơ<
>Điềm nhiên, mặc kệ con người vơ vẩn.<
>Đó là một kẻ không nơi trú ẩn,<
>Bốn phương trời xuôi ngược bấy lâu nay,<
>Tối ba mươi theo bước tới nơi đây,<
>Giữa hoan lạc, riêng thấy mình trơ trọi.<
>Chàng ta ấn hai tay vào đáy túi,<
>Túi rỗng không, mà lòng cũng rỗng không<
>Lê gót mòn trên đá, ngửng đầu trông<
>Những ảo tượng vô hình cho kẻ khác.<
>Cơn gió thổi. Lá vàng rơi lác đác,<
>Cùng rơi theo loạt nước đọng trên cành.<
>Những cây khô đã chết cả mầu xanh.<
>Trong giây phút lạnh lùng tê tái ấy.<
>Người thiếu niên chợt vô tình ngó thấy,<
>Cửa nhà ai hé mở. Liếc nom vào:<
>Dưới ánh đèn lộng lẫy khóm hoa đào;<
>Đương say đắm quyện lấy màu hương khói:<
>Nét khảm tủ trè, chữ vàng câu đối,<
>Chậu xứ cây xanh, cốc ngọc thủy tiên.<
>Thoáng hiện ra một cảm giác bình yên,<
>Và đầm ấm êm đềm và đầy đủ.<
>Mưa vẫn gội. Xa xa tràng pháo nổ<
>Bỗng phá tan bề tịch mịch đêm khuya...<
>Ngoảnh mặt đi, thầm lặng bước chân đi:<
>Hỡi người bạn! Anh định về đâu đó?",Con Người Vơ Vẩn,https://isach.info/poem.php?poem=con_nguoi_vo_van__the_lu,bảy chữ,hiện đại,,Thế Lữ
"Đã biết bao phen những buổi chiều thu,<
>Ta bâng khuâng tìm cảnh mộng bên hồ,<
>Nhưng ta chỉ tiếc khi ngồi lặng ngắm<
>Đôi mắt cô em như say, như đắm,<
>Như buồn in hình ảnh giấc mơ xa.<
>Vườn trần gian, dù thâu góp cả muôn hoa,<
>Lấy một nét cười mừng chim với gió,<
>Cũng không thắm tươi, say sưa, rực rỡ<
>Bằng khi cô hé cặp môi xuân<
>Mà lả lơi cười cợt với đông quân.<
>Nhưng em ơi, vẻ xanh tươi trong trời đất<
>Tuy đến hạn u tàn, song chẳng mất:<
>Đông qua, lại thấy xuân sang,<
>Còn vẻ đẹp giai nhân, đắm đuối rỡ ràng,<
>Gồm những áng tinh hoa bao cảnh sắc,<
>Phải đâu cũng lâu bền như non nước?<
>Một ngày kia, em ngắm lại dung nhan,<
>Em sẽ cùng ta buồn trách thời gian,<
>Tiếc cảnh vui qua, tiếc mầu rực rỡ<
>Của xuân đời ngàn năm không về nữa<
>Vậy thì yêu đi, vui mãi, bạn lòng ơi!<
>Để khi ánh quang minh soi má hồng phai,<
>Thấy áng tóc điểm thưa mầu sương bạc,<
>Thấy nét thắm miệng hoa dần đã nhạt,<
>Nước hồ thu đôi mắt đã mờ;<
>Em vẫn còn giữ được tấm lòng xưa.<
>Vì, em ơi, khi nặng mang tình ái.<
>Thì xuân sắc nắng sương tuy dầu giãi,<
>Ngày xuân xanh khe khắt vô tình qua,<
>Nhưng lòng xuân muôn tuổi vẫn không già.",Đa Lượn,https://isach.info/poem.php?poem=da_luon__the_lu,bảy chữ,hiện đại,,Thế Lữ
"Ta vừa đắm trong giấc mơ ghê-tởm:<
>Vừa buông tay ôm ấp gái giang hồ.<
>Đầy xác thịt, đầy tâm hồn còm lợm<
>Vị chán chường tràn lấn thú cay chua.<
>Mặc tấm thân lõa lồ say mệt ngủ,<
>Ta ngồi, đăm nghe ngóng tiếng đêm sâu;<
>Trên mái ngói cả một trời mưa gió<
>Vẫn sụt sùi dai dẳng suốt canh thâu,<
>Suốt canh thâu, đồng hồ treo bức vách<
>Thong thả đưa, thong thả đếm từng giây,<
>Rành rọt điểm trong lòng ta tịch mịch<
>Trong lòng ta u tối gió mưa bay.<
>Ta ngồi đó; mắt van lơn tha thiết<
>Thầm kêu xin buồn nản tránh xa đi;<
>Gọi khiêu khích, chúi vào trong mải miết,<
>Để cho lòng tìm lại chút đê mê.<
>Nhưng đau đớn! Tâm hồn ngao ngán quá<
>Thú vui tàn. Mà giá ngắt như băng,<
>Trái tim mỏi, không buồn sôi nổi nữa.<
>Ngoài đêm khuya mưa gió vẫn không ngừng...",Đêm Mưa Gió,https://isach.info/poem.php?poem=dem_mua_gio__the_lu,bảy chữ,hiện đại,,Thế Lữ
"Nàng Thơ ơi! Nàng Thơ! - Ta buồn lắm!<
>Nắng gay gắt trên khóm sen không thắm;<
>Gió thờ ơ không động bóng tàn cây;<
>Dưới trời xanh, mây quá trắng không bay;<
>Hồ không sóng phơi mặt gương quá sáng;<
>Thời gian đứng: sắc hình trơ trẽn dáng,<
>Lòng ta không âu yếm, không vui tươi,<
>Không nhớ thương, không sôi nổi. - Than ôi!<
>Cũng không cả nỗi đắng cay tê tái:<
>Nàng Thơ ơi, tâm hồn ta trống trải.<
>Ta đứng đây, lơ láo, hững hờ trông<
>Cảnh vô duyên không gợn tiếng tơ lòng;<
>Ta đứng đây, thẫn thờ mơ bóng bạn,<
>Trông giờ khắc lặng mang niềm ngao ngán,<
>Ly Tao ơi, nương tử của lòng ta!<
>Nỡ lòng du, sơ lãng mối tình thơ?<
>Tìm đâu thấy những phút giây êm ái.<
>Những phút giây sáng lạn ánh thiêng liêng<
>Ta cùng ai để tâm hồn mê mải<
>Tung ngọc châu gieo những khúc thần tiên?<
>Đâu những buổi non sông cùng lặng lẽ<
>Đợi tay ta dìu dắt ngón tay ai.<
>Tạo nên bức tranh tuyệt trần hoàn mỹ<
>Lên không gian, thâu góp muôn màu tươi?<
>Vì bạn ơi! Những khúc đờn réo ngọc<
>Với bức tranh châu chuốt nét thanh cao<
>Là những bài thơ, nỗi tình cảm xúc<
>Của lòng ta và của bạn Ly Tao.<
>Nàng Thơ ơi! Nàng Thơ! - Ta buồn lắm!<
>Đem lại đây ánh hương hoa say đắm,<
>Đem lại đây làn sương gió mơ màng,<
>Đem lại đây, cùng với điệu du dương,<
>Những tiếng khóc than hay lời cảm khái<
>Để lòng ta thôi đừng khô héo mãi!<
>Để cho ta khi ngắm nắng, trông hoa.<
>Khi đứng bên hồ đón gió đưa qua,<
>Ta được thấy ánh lòng ta rung động,<
>Ta được thấy hồn thơ ta gợn sóng,<
>Thấy miệng cười bạn tiên tử yêu kiều<
>Và cùng ai chung giấc mộng cao siêu.",Giục Hồn Thơ,https://isach.info/poem.php?poem=giuc_hon_tho__the_lu,bảy chữ,hiện đại,,Thế Lữ
"Như hơi gió xuân qua...<
>Chàng bước vào, thản nhiên trông bốn phía:<
>Phòng vắng lặng. Cách trang hoàng ý nhị,<
>Đơn sơ, nhưng quý trọng, cao thanh.<
>Ánh sáng không nguồn, một sắc trong xanh<
>Lặng giải trên mặt ghế nhung, bình nước ngọc<
>Bốn lư trầm đường hoàng trong bốn góc,<
>Khói lam thong thả cao đưa:<
>Cảnh chập chờn như thực, như hư...<
>Văn Sinh đến bên bàn ngồi xuống ghế;<
>Cùng khói trầm, tâm hồn chàng êm nhẹ<
>Mơ màng xa tỉnh, gần say.<
>Chàng cố nghĩ xem mình ở đâu đây,<
>Chợt trông thấy bức tranh xuân nữ, xuân nữ,<
>Đang thổi sáo bên đôi hươu rỡn múa.<
>Văn Sinh mang máng nhớ dần ra,<
>Bức tranh kia, chàng như đã thấy qua,<
>Cùng với cảnh êm đềm nơi phòng vắng,<
>Cảnh mờ ảo như trong mộng tưởng.<
>Đang bâng khuâng, chàng bỗng thấy bên rèm,<
>Chúm chím cười mấy đóa thủy tiên,<
>Mấy nụ hoa non ngậm mầu kín đáo,<
>Nhường e ấp chưa muốn phô diện mạo.<
>Chậu hoa, mầu xứ xanh xanh<
>Chàng biết rằng trên có vẽ nàng Oanh,<
>Dưới bóng liễu thở than cùng Quân Thụy.<
>Chàng lại biết đúng nửa đêm hoa sẽ<
>Bảo nhau cùng tung cánh nở đều...<
>Tâm hồn chàng rong ruổi đang phiêu diêu<
>Trên thế giới, cõi u uyên, xa lắc:<
>Nơi chàng đã sống qua đâu kiếp trước.<
>Văn Sinh bỗng thấy nhẹ nhàng,<
>Chuông đồng hồ phòng bên cạnh dần buông<
>Mười hai tiếng, vẳng đưa xa luồng sóng<
>Lòng chàng cũng theo chuông thầm xuyến động.<
>Chàng lim dim đôi mắt trong rèm châu,<
>Mà (chính Văn-Sinh cũng không hiểu vì đâu)<
>Chàng tin chắc cánh hoa rung rinh sẽ cuốn.<
>Chuông rứt tiếng. Khói nao nao cuộn...<
>Một áng hương qua... Một tiếng thở dài<
>Của điệu tiên ca trong trẻo, tuyệt vời<
>Se sẽ nổi - Bức rèm châu biến.<
>Từ khung tối, một nàng kiều diễm<
>Nhẹ bước ra, tươi ánh bình minh.<
>Đôi mắt đen, đắm đuối long lanh<
>Như đôi ngọc huyền, xâu xa huyền bí.<
>Sinh đứng dậy. Giai nhân se sẽ<
>Nở cặp môi đằm thắm ánh đào<
>Và dừng gót du dương nàng nhẹ cúi chào.<
>Sinh đứng trước bóng kiều nga nhan sắc,<
>Trí bâng khuâng như người lạc bước<
>Giữa Bồng lai chốn huy lộng thần tiên.<
>Song giai nhân, chàng lại thấy quen quen<
>Như đã cùng nhau nhiều lần gặp gỡ.<
>Trên mình ngọc, màu áo xanh lá mạ<
>Uyển chuyển in theo nét uốn dịu dàng;<
>Rủ bên vai giải khăn lụa tươi vàng.<
>Buông lưu luyến trên đôi tay trắng muốt,<
>Nàng cất tiếng nhẹ nhàng, nghe dịu ngọt<
>Như tiếng đàn ân ái, nghe véo von<
>Như tiếng chim ca buổi sáng trên đầu non:<
>""Chàng vui gót nơi đâu, giờ mới tới?<
>Để chúng em những mong chờ mỏi đợi,<
>Đã tưởng đêm nay xuân đến một mình<
>Nhưng vui thay, xuân đến với Văn Sinh<
>Là xuân thắm. Em xin chào bạn ngọc""<
>Rồi lơi lả, nàng tiến lên, trong lúc<
>Tiếng đã im mà âm hưởng vẫn bên tai<
>Văng vẳng đưa nhạc điệu của Thiên Thai,<
>Văng vẳng reo ở trong lòng khách lạ<
>Nàng sẽ vẫy. Cửa phòng bên đã mở.<
>Một nữ tỳ lễ phép bưng ra<
>Một khay trà, chén ngọc thoảng mùi hoa,<
>Giai nhân mắt đưa tình, tay dâng nước.<
>Hương nước thoảng xông, lòng Sinh man mác<
>Mầu nước xanh, lóng lánh, trong ngần,<
>Thấp thoáng trông như thấy cả vườn xuân,<
>Với trăm khóm Thủy tiên trong lòng chén<
>Phút biến đi nhưng rồi phút hiện.<
>Văn Sinh nâng chén ngang môi,<
>Cả tâm hồn chàng khoan khoái, chơi vơi<
>Như bơi đắm đâu trong nguồn cực lạc.<
>Giai nhân nói: ""Đây chính là Hoa các<
>Bọn chúng em mười hai nữ hoa tiên<
>Cùng với chàng ân ái có tiền duyên,<
>Mỗi mùa xuân chẳng hay chàng có nhớ,<
>Chúng em lại cùng nhau ngỏ cửa<
>Đợi chàng đem xuân tới ta cùng vui...""<
>Rồi đưa tay, nàng mỉm miệng cười<
>Cất tiếng gọi: ""Tình quân ta đã tới,<
>Không ra đón, còn trang điểm mãi!""<
>Tiếng cầm ca réo rắt ở đâu đâu<
>Vẳng lại đưa ra. Rồi tự cửa rèm châu<
>Mười tiên nữ yêu kiều trong diễm-lệ<
>Áo xanh non, khăn lụa vàng, vui vẻ<
>Cùng đem theo hương nồng ngát bước vào.<
>Mười đóa hoa trên những cặp môi đào<
>Cùng tươi nở, biết bao tình ý thắm.<
>Văn-Sinh uống nước trà và ngắm dáng tiên nga,<
>Càng thấy lòng thêm chan chứa, say sưa,<
>Chàng đem nỗi nhớ thương ra thổ lộ,<
>Coi người tiên như bạn tình duyên cũ.<
>Lời chàng hoa mỹ như lời thơ<
>Và tiếng chàng êm ái như đờn ca.<
>Nhưng niềm vui sướng, chuyện ái ân đang lúc<
>Như suối reo bỗng nhiên ngừng khúc.<
>Một nàng hoảng hốt đứng lên:<
>""Thôi khuya rồi. Xin cho phép chúng em<
>Từ biệt chàng, để xuân sau tái ngộ.""<
>Rồi cả bọn tiên hoa cùng nức nở.<
>Chàng nghẹn ngào khôn nói biết bao lời.<
>Lệ phân ly lã chã tuôn rơi.<
>Tiếng đàn tiên, càng xa càng tha thiết,<
>Bầy tiên nữ còn ngại ngùng chưa nỡ biệt,<
>Văn-Sinh còn lưu giữ vạt khăn vàng...<
>Bỗng thoáng qua cơn gió. Khói trầm tan,<
>Hương trầm nhạt, nguồn sáng xanh bừng trắng.<
>Bầy tiên biến. Bốn bề vắng lặng,<
>Đồng hồ treo đâu đó, điểm lạnh lùng,<
>Bảo chàng hay mình vẫn ở thư phòng,<
>Ngồi trước khóm thủy tiên mà chính tay chàng tỉa<
>Sinh ơ thờ đưa tay lau mắt lệ,<
>Nhìn chậu hoa: trên mầu xứ xanh xanh,<
>Vẫn đậm đà nét vẽ Thôi Oanh Oanh<
>Cùng Quân Thụy vẫn chưa thôi tình tự.<
>Mười hai đóa thủy tiên đều đã nở,<
>Nhởn nhơ phô cánh trắng, nhị vàng.<
>Ánh hương đưa, còn nhắc lại phút mơ màng.",Hoa Thủy Tiên,https://isach.info/poem.php?poem=hoa_thuy_tien__the_lu,bảy chữ,hiện đại,,Thế Lữ
"Trên mặt hồ in mầu ngọc biếc,<
>Cô em đang chơi chiếc thuyền con,<
>Lẳng lơ như cái chuồn chuồn,<
>Rỡn đuôi trên nước chập chờn ghẹo hoa.<
>Chân gió nhẹ lướt qua làn sóng,<
>Nắng chiều xuân rung động trên cành,<
>Mấy hàng lau yếu nghiêng mình.<
>Cô em bỗng ngẩn ngơ tình vì đâu?<
>Đặt mái chèo, ngả đầu trên gối,<
>Trông mây chiều phơi phới trên kia...<
>Hỏi xem mây có duyên gì,<
>Mà con chim én đi về lửng lơ...?<
>Trên vừng trán ngây thơ, trong sáng,<
>Vẩn vơ qua một áng hương buồn.<
>Giây lâu cô vẫn như còn<
>Lâng lâng trông gửi tâm hồn lên cao.<
>Tiếng diều sáo nao nao trong vắt,<
>Trời quang mây, xanh ngắt mầu lơ.<
>Thuyền trôi, nước đẩy hững hờ.<
>Hàng cây lặng đứng trên bờ trông mong.<
>Ấy đăm đăm mơ mòng chi đó,<
>Hỡi cô em má đỏ hây hây?<
>Hỡi cô thiếu nữ trông mây<
>Thẩn thơ nhìn chiếc én bay lưng trời?<
>Khiến cho cảnh bồi hồi ngây ngất,<
>Tiếng sáo chưa nỡ dứt trên không,<
>Khiến cho hồ nước mịt mùng,<
>Ngày không muốn hết, ta không muốn về.",Hồi Xuân Và Thiếu Nữ,https://isach.info/poem.php?poem=hoi_xuan_va_thieu_nu__the_lu,lục bát,hiện đại,,Thế Lữ
"Tặng Nguyễn Tường Cẩm &lt;/div&gt;<
>Tiếng ve ran trong bóng cây râm mát;<
>Giọng chim khuyên ca ánh sáng mặt trời.<
>Gió nồng reo trên hồ sen rào rạt.<
>Mùa xuân còn, hết? Khách đa tình ơi!<
>Khách đa tình ơi! Mùa xuân đã hết.<
>Này nghe tiếng diều sáo dẫn mây đi,<
>Có phải chăng, đầy những lời tha thiết?<
>Lời tiếc xuân như hát khúc phân ly.<
>Ta rắp nâng lời chào ngày mới mẻ,<
>Vì Đông, Thu, hay Hạ cũng như Xuân;<
>Cũng có tình riêng với lòng thi sĩ.<
>Ta vui ca trông ngày tháng xoay vần.<
>Nhưng ta thấy ai kia đang tựa cửa,<
>Tiếc bóng chiều, đôi mắt dõi chân mây.<
>Ta cảm nỗi hoài xuân cùng thiếu nữ,<
>Cùng cô em đôi má đỏ hây hây.<
>Nên ngừng bút khoan vẽ mầu chói lói,<
>Của ngày hè muôn cảnh sắc tưng bừng,<
>Cất tiếng hát, trông cô em ta gọi:<
>Hỡi giai nhân! Nghe tiếng hát ta chăng?<
>Nghe tiếng ta trong bóng ve reo mát,<
>Trong lời chim, trong giọng sáo chơi vơi...<
>Hãy gắng quên nỗi bâng khuâng man mác,<
>Mà vui đi! Thiếu nữ đa tình ơi!",Khúc Ca Hoài Xuân,https://isach.info/poem.php?poem=khuc_ca_hoai_xuan__the_lu,bảy chữ,hiện đại,,Thế Lữ
"Ngày trước mỗi khi qua bên sông,<
>Văng vẳng đưa sang tiếng em hát,<
>Ta thôi ngắm trời xanh ánh mây hồng,<
>Ta quên dạo vườn hoa gió bay ngát.<
>Ngày nay, ta cũng qua bên sông,<
>Lắng tai, không thấy tiếng em hát,<
>Ta hỏi thăm: em đã đi lấy chồng;<
>Trời nặng, mây mờ, gió hương cũng nhạt.<
>Thổn thức ta ngồi ghé bên sông,<
>Giục tiếng lòng xưa ôn tiếng hát,<
>Muôn ánh lòng soi ấm khối mây lòng.<
>Muôn hương lòng đượm thơm làn gió mát.<
>Ta lòng thi sĩ ở bên sông<
>Tiếc cái vui qua cùng khúc hát:<
>Ngàn muôn năm vỗ nhịp một bên lòng,<
>Ca nhớ lại thanh hương xưa đã tắt.",Khúc Hát Bên Sông,https://isach.info/poem.php?poem=khuc_hat_ben_song__the_lu,bảy chữ,hiện đại,,Thế Lữ
"Rũ bụi mờ trắng áo,<
>Tôi ngoảnh trông lại quãng đường đời,<
>Sống với người ta chừng hăm sáu năm thôi,<
>Mà tôi thấy mình đã nhiều tuổi lắm.<
>Vì có lẽ bao nhiêu mùi cay đắng,<
>Bao nhiêu hồi gian truân<
>Tới bao nhiêu lớp chông gai trên bước phong trần<
>Tôi đã nếm, đã quen, đã trải,<
>Nỗi đau khổ, hỡi lòng ơi! Có phải<
>Đã khiến cho thời xuân thắm của ta<
>Mau đi tới buổi thu già?<
>Có phải chăng nỗi ưu tư quá sớm<
>Đã sớm in bao nét răn lên trán,<
>Đã khiến cho cả đến miệng ta cười<
>Cũng ngậm đầy những vể mỉa mai?<
>Ngày xưa, lòng còn dễ tin, trí còn bỡ ngỡ,<
>Mắt còn thấy toàn mầu rực rỡ,<
>Tôi dấn bước đầu trong cảnh trần gian.<
>Mang tâm tình người niên thiếu nồng nàn,<
>Tôi yêu đời. Nhưng bị người ghen ghét.<
>Yêu say mê, yêu đắm đuối cho giai nhân,<
>Nhưng lòng tôi chân thành, chỉ đằm thắm ái ân,<
>Tôi chỉ giầu riêng tình cảm,<
>Thứ tiền tài mà giai nhân không hám!<
>Mang vết thương, tôi đi tìm kẻ tâm giao,<
>Nhưng thân thế tôi là thân thế ba đào,<
>Không được lúc bình yên vui có bạn.<
>Rồi tủi phận, trơ vơ, chán nản,<
>Chẳng tin yêu, mà cũng chẳng thương ai<
>(Vì tình duyên, ân nghĩa ở đời,<
>Cho cả nỗi sầu tư đau xót nữa,<
>Cho đến cả chân tình, than ôi! tôi cũng sợ<
>Là những trò giả dối của người ta)<
>Tôi ngược suôi trên đường thế mịt mờ,<
>Giữa những đám chen chúc, dập dồn và náo động<
>Vẫn như bước trên cánh đồng xa rộng,<
>Bấy nay thui thủi một mình.<
>Nhưng trong khi phấn đấu đua tranh,<
>Lòng nhân thế gian ngoan mà lòng tôi ngờ vực,<
>Trong những lúc giang hồ cay cực,<
>Vừng cây xanh bỗng réo rắt tiếng chim ca,<
>Khiến cho người non nước động hồn thơ...<
>Tôi đứng lại, đưa tay lau mắt lệ<
>Mà vui ngắm cảnh tươi cười mới mẻ;<
>Tôi thực lòng hưởng phút say sưa.<
>Vì cảnh thiên nhiên không lừa dốii bao giờ.",Lời Mỉa Mai,https://isach.info/poem.php?poem=loi_mia_mai__the_lu,bảy chữ,hiện đại,,Thế Lữ
