title,content,genre,url,author,period,specific_genre
Bằng Lăng,"Khi xa cách anh, em mới hiểu mình<
>Xin anh hãy quên - đừng nhắc nhở<
>Góc phố nhỏ - hoa bằng lăng đã nở<
>Tím ngát một chiều nắng hạ vấn vương<
>Em và anh đã đi riêng đoạn đường<
>Lo lắng và hân hoan đổi khác.<
>Sắc bằng lăng cuối mùa bàng bạc<
>Tóc chúng mình cũng phai theo thời gian<
>Xin anh đừng trách em vội vàng<
>Buổi chiều ấy lỡ lần gặp gỡ<
>Mỗi mùa hạ lại đẩy mình cách xa hơn nữa<
>Em đã rẽ đường sang ngang.<
>Hoa bằng lăng sao tím lỡ làng<
>Nởû hết cả góc trời nhức nhốị<
>Cái thuở ban đầu bối rối<
>Dại dột vin màu hoa thủy chung<
>Đoạn đường ngắn đi chẳng tới cùng",bảy chữ,https://isach.info/poem.php?poem=bang_lang__bui_kim_anh,Bùi Kim Anh,hiện đại,
Bán Không Cho Gió,"Ta làm thơ để tặng mình<
>Có ai mang bán chữ tình đi chơi<
>Thắt lưng con cõn hỏi giời<
>Của vui cho hết còn lời nào đây<
>Bắc thang lên chín tầng mây<
>Chọn bồng bềnh sắc để may áo dài<
>Tìm người người đã của ai<
>Áo dài đành cởi vắt vai mà về<
>Tìm người lối cỏ chân đê<
>Mệt thôi nằm xuống mà ê ẩm mình<
>Câu thơ gỡ rối linh binh<
>Bán không cho gió rập rình thổi đi",lục bát,https://isach.info/poem.php?poem=ban_khong_cho_gio__bui_kim_anh,Bùi Kim Anh,hiện đại,
Cảm Xúc Đi Qua,"Em yêu anh bằng trái tim trẻ thơ<
>Ngoan ngoãn đến cùng ngơ ngác<
>Em yêu anh bằng trái tim người đàn bà tan nát<
>Mất mát nhiều dè dặt vuốt ve<
>Em tự minh thiêu đốt dưới hè<
>Tự tê tái khi thu se sắt<
>Và khi anh dời xa<
>Và khi anh không còn yêu anh nữa<
>Trái tim em vỡ oà",bảy chữ,https://isach.info/poem.php?poem=cam_xuc_di_qua__bui_kim_anh,Bùi Kim Anh,hiện đại,
Cho Anh Và Cho Em,"Câu thơ em viết cho anh<
>Còn ba chữ nữa mới thành lời yêu<
>Phai sương nhạt nắng đã nhiều<
>Nắm tay vẫn lọt bóng chiều vào đêm<
>Câu thơ em viết cho em<
>Cởi ra xa xót vò thêm nát nhàu<
>Buôn tay qua nhịp cơ cầu<
>Tuột sầu nỗi nhớ một câu không vần",lục bát,https://isach.info/poem.php?poem=cho_anh_va_cho_em__bui_kim_anh,Bùi Kim Anh,hiện đại,
Cho Mình,"Tôi lặng im và xin đừng hỏi<
>Người quanh tôi đã nói quá nhiều<
>Những tiếng chạm nhau ắp cả một chiều<
>Tôi mải ngắm những làn môi biến dạng<
>Nghe trong thanh âm lẫn tiếng vô hồn<
>Thảng thốt oán hờn hay yêu thương<
>Tôi bận lấp khoảng không giả dối<
>Bứt khỏi đầu từng sợi còng queo<
>Trang ngày tính toan<
>Trang đêm thẫm màu<
>Tôi lặng im cho thơ thức dậy<
>Câu chữ vặn mình bứt khỏi cơn mê<
>Gió từ đâu man mát thổi về",bảy chữ,https://isach.info/poem.php?poem=cho_minh__bui_kim_anh,Bùi Kim Anh,hiện đại,
Dan Díu,"Ta chỉ có bạn là mình<
>Hằng đêm dan díu chuyện tình với nhau<
>Lời môi trao đã nát nhàu<
>Nuốt trong hơi thở một câu vụng về<
>Chỉ mình như buổi chiều quê<
>Cánh đồng thưa bóng cò về rặng tre<
>Lá đa phe phẩy gió hè<
>Ngả lòng mình với tay tre giấc nồng<
>Với mình phơi cả ước mong<
>Với mình tê mối bòng bong giãi bày<
>Trụi trần ẩn bóng đêm dày<
>Tỉnh say một tấm thân gày chỏng chơ<
>Chỉ mình trao chọn câu thơ<
>Bóc ra trắng nuột cơn mơ một mình",lục bát,https://isach.info/poem.php?poem=dan_diu__bui_kim_anh,Bùi Kim Anh,hiện đại,
Đi Từ Mùa Đông,"Người đàn bà chùm khăn<
>Đi từ mùa đông<
>Đi những ngày dài cây số<
>Chở xuân trên chiếc xe đạp cũ<
>Cho Tết đến gần<
>Người đàn bà cắt tỉa sắc xuân<
>Những vạt vườn cộc cằn gốc lá<
>Đem bán cho thiên hạ<
>Nôn nao từng dãy phố phường<
>Ai cũng muốn mua kiểu xuân riêng mình<
>Một người đàn bà<
>Chở xuân đi trong giá rét",bảy chữ,https://isach.info/poem.php?poem=di_tu_mua_dong__bui_kim_anh,Bùi Kim Anh,hiện đại,
Đợi Trăng,"Biển ở mãi nơi xa<
>Sông đêm ngày mải mốt<
>Con thuyền không buộc chặt<
>Trôi theo dòng mênh mang<
>Mây cứ mãi lang thang<
>Gió một đời theo đuổi<
>Trăng trở giấc mơ màng<
>Chẳng bao giờ biết vội<
>Cái gần ở thật gần<
>Vơ một lòng tay chật<
>Giấc mơ ở xa nhất<
>Đêm thả màn đợi trăng",thơ tự do,https://isach.info/poem.php?poem=doi_trang__bui_kim_anh,Bùi Kim Anh,hiện đại,
Duyên Xuân,"Cho em trở lại bên anh<
>Nhẹ nhàng thôi gió len cành đẩy đưa<
>Cho em trở lại ngày xưa<
>Được yêu anh giữa giấc trưa ngọt ngào<
>Bây giờ chỉ nỗi ước ao<
>Để ve vuốt cứ cồn cào tấm thương<
>Bây giờ cách mấy đoạn đường<
>Mưa ngăn lối gió lạc phương ngại ngần<
>Biết là lại thêm mùa xuân<
>Biết là anh lại thêm phần nhớ em<
>Chợ hoa năm họp một một phiên<
>Hai chúng mình chỉ có duyên đợi chờ.",lục bát,https://isach.info/poem.php?poem=duyen_xuan__bui_kim_anh,Bùi Kim Anh,hiện đại,
Em Và Anh,"Em và anh gần với nhau bởi những bất hạnh<
>Tai ương kéo đến suốt cuộc đời<
>Giá ta bỏ nhau lúc trẻ để nạn kiếp xé đôi<
>Những số mệnh bắt cùng gánh chịu<
>Phải trời hay người cứ đoạ đày<
>Cho một chút đổ đầy oan nghiệt<
>Và lịnh trình xui trời xếp đặt<
>Tính vòng năm đặt ác điểm dừng<
>Hạnh phúc ít oi lạc giữa nợ trần<
>Kiếp trước là ai vay mà phải trả<
>Kiếp trước phải ta gây tai hoạ<
>Xiết mãi vòng đời trầm luân<
>Sống bao năm để đến chốn cùng<
>Nạn kiếp hôm nay biết ngày oan giải<
>Phải tại người người giơ tay cởi<
>Phải tại trời trời giáng phúc sinh",bảy chữ,https://isach.info/poem.php?poem=em_va_anh__bui_kim_anh,Bùi Kim Anh,hiện đại,
