content,title,url,genre,period,specific_genre,author
"Hôm nay chim yến vui ca<
>Ran ríu bên sườn núi trắng:<
>Xuân này có nắng gieo hoa,<
>Ta sẽ cùng ra biển lặng.<
>Hôm nay gió bảo cùng mây:<
>Rời xa những miền tuyết trắng,<
>Tôi từ biển vắng về đây<
>Mừng hội xuân này đẹp nắng.<
>Hôm nay cây quế trong rừng<
>Bỗng nhủ cùng làn suối bạc:<
>Xuân này tôi khoác áo nhung,<
>Mà bác vang lừng tiếng nhạc.<
>Hôm nay chim nhạn sang sông<
>Tìm sợi rong vàng làm tổ,<
>Tôi đan những sợi thơ hồng<
>Nhờ chim gửi ngườif viễn phố.<
>Hôm nay hoa bướm hẹn thề,<
>Hương có bay về phương ấy?<
>Mưa phùn lả ngọn tường vi,<
>Mái tóc em còn suối chẩy?<
>Em là công chúa si mê<
>Ngủ giữa ngàn hoa lửa cháy.<
>Bao giờ lại trắng hoa lê,<
>Em tỉnh giấc mơ bừng dậy?",Âm Hưởng,https://isach.info/poem.php?poem=am_huong__dinh_hung,bảy chữ,hiện đại,,Đinh Hùng
"Đêm thân ái có muôn hoa hồng nở,<
>Em tới đây tình tự một đôi lời.<
>Hồn phong hương trầm tuổi mộng hai mươi,<
>Ta nói khẽ đủ hai lòng nghe rõ.<
>Tình chẳng xa xôi mà lời giăng gió<
>Đến làm chi thêm nhạt giấc mơ này?<
>Nói đi em, từng ý nhỏ mà say,<
>Từng rạo rực cánh lòng hoa đang mở.<
>Từng xao động vô cùng trong nhịp thở,<
>Từng mê ly qua một thoáng môi cười.<
>Cả rạt rào thương nhớ đấy, em ơi!<
>Cả thao thức mạch đời trong tiếng nhẹ.<
>Ôi bát ngát trái tim hồng nhỏ bé<
>Nghe làm sao ân ái điệu rung trời?<
>Nói đi em, cho từng mảnh sao rơi,<
>Từng vũ trụ tắt dần trong lồng ngực.<
>Xin hãy để cả mình em thổn thức<
>Trên tay này mở sẵn đón thân hoa.<
>Gió ân cần trộn lẫn tóc hai ta,<
>Gió đằm thắm giúp đôi hồn phơ phất.<
>Anh say ngất tình em trong khóe mắt<
>Say hương thầm trên mái tóc tơ nhung.<
>Cặp môi em, xuân thắm nét hoa rừng,<
>Anh mê uống nhụy thơm tràn vị ngọt.<
>Nói đi em, lời tự tình thánh thót,<
>Hẹn ngàn năm trong một phút êm đềm.<
>Lời tự tình, em hãy nói đi em,<
>Lời tình tự cũng là lời bỡ ngỡ.<
>Đêm thân ái có muôn hoa hồng nở,<
>Phấn hương bay phơi phới báo duyên lành.<
>Thơ ân tình, anh chuốt lụa mong manh.",Ân Tình Dạ Khúc,https://isach.info/poem.php?poem=an_tinh_da_khuc__dinh_hung,bảy chữ,hiện đại,,Đinh Hùng
"Bài thơ hạnh ngộ đã trao tay,<
>Ôi mộng nào hơn giấc mộng này?<
>Mùi phấn em thơm mùi hạ cũ,<
>Nửa như hoài vọng, nửa như say.<
>Em đến như mây, chẳng đợi kỳ,<
>Hương ngàn gió núi động hàng mi.<
>Tâm tư khép mở đôi tà áo,<
>Hò hẹn lâu rồi - Em nói đi.<
>Em muốn đôi ta mộng chốn nào?<
>Ước nguyền đã có gác trăng sao.<
>Còn lối bâng khuâng: ngõ trúc đào.<
>Em chẳng tìm đâu cũng sẵn thơ.<
>Nắng trong hoa, với gió bên hồ,<
>Dành riêng em đấy. Khi tình tự,<
>Ta sẽ đi về những cảnh xưa.<
>Rồi buổi ưu sầu em với tôi<
>Nhìn nhau cũng đủ lãng quên đời.<
>Vai kề một mái thơ phong nguyệt,<
>Hạnh phúc xa xa mỉm miệng cười.",Bài Ca Hạnh Ngộ,https://isach.info/poem.php?poem=bai_ca_hanh_ngo__dinh_hung,lục bát,hiện đại,,Đinh Hùng
"Lòng đã khác ta trở về Đô Thị,<
>Bỏ thiên nhiên huyền bí của ta xưa<
>Bóng ta đi trùm khắp lối hoang sơ,<
>Và chân bước nghe chuyển rung đồi suối.<
>Lá cỏ sắc vương đầy trên tóc rối,<
>Ta khoác vai manh áo đẫm hương rừng<
>Rồi ta đi, khí núi bốc trên lưng,<
>Mắt hung ác và hình dung cổ quái.<
>Trông thấy ta, cả cõi đời kinh hãi,<
>Dòng sông con nép cạnh núi biên thùy.<
>Đường châu thành quằn quại dưới chân đi,<
>Xao động hết loài cỏ hoa đồng nội.<
>Người và vật nhìn ta không dám nói,<
>Chân lảng xa, từng cặp mắt e dè.<
>Ta ngẩn ngơ nhìn theo bóng ngựa xe,<
>Nhìn theo mãi đến khi đời lánh cả.<
>Và ta thấy hiện nguyên lòng sơn dã:<
>Cảnh sắc này bỗng nhuộm máu tà dương.<
>Ta xót thương, ta căm giận, hung cuồng,<
>Ta gầm thét, rung mấy trời thế sự.<
>Rồi dữ tợn, ta vùng đi khắp xứ,<
>Nắm hai vai người tục khách qua đường.<
>Lòng lạ lùng tìm ảnh với tìm hương.<
>Nhưng lẫn lộn chỉ thấy màu xiêm áo.<
>Trán thì phẳng -- ôi đâu là kiêu ngạo?<
>Đâu hồn nhiên trên nét vẽ râu mày?<
>Ta ghì người tắt thở ở trong tay,<
>Miệng quát hỏi: có phải ngươi là bạn?<
>Ôi ngơ ngác một lũ người vong bản,<
>Mất tinh thần từ những thuở xa xôi!<
>Ta về đây lạ hết các ngươi rồi,<
>Lạ tình cảm, lạ đời chung, cách sống.<
>Trong bỡ ngỡ, duy lòng còn chút mộng,<
>Ta đi tìm người thiếu nữ ngày xưa.<
>Nàng không mong, ta đi đến không ngờ,<
>Giây phút ấy thực mắt nhìn tận mắt.<
>Ta cười mỉm, bỗng thấy nàng che mặt,<
>Ta giơ tay, nàng khiếp sợ lùi xa,<
>Ta điên rồ, đau đớn, xót xa.<
>Trong cô độc, thấy tình thương cũng mất.<
>Ôm Nhan Sắc với hai bàn tay sắt,<
>Ta nhìn ai -- ôi khoé mắt ta nhìn!<
>Em có là ma, là quỉ, là tiên?<
>Em có mấy linh hồn, bao nhiêu mộng?<
>Em còn trái tim nào đang xúc động?<
>Em có gì, trong xác thịt như hoa?<
>Lạc thiên nhiên đến cả bọn đàn bà,<
>Với những vẻ dung nhan kiều diễm nhất.<
>Ta lảo đảo vùng đứng lên cười ngất,<
>Ghì chặt nàng cho chết giữa mê ly.<
>Rồi dày xéo lên sông núi đô kỳ,<
>Bên thành quách ta ra tay tàn phá.<
>Giữa hoang loạn của lâu đài, đình tạ,<
>Ta thản nhiên, đi trở lại núi rừng.<
>Một mặt trời đẫm máu xuống sau lưng.",Bài Ca Man Rợ,https://isach.info/poem.php?poem=bai_ca_man_ro__dinh_hung,bảy chữ,hiện đại,,Đinh Hùng
"Hôm nay có phải là thu?<
>Mây năm xưa đã phiêu du trở về.<
>Cảm vì em bước chân đi,<
>Nước nghiêng mặt ngọc lưu ly phớt buồn.<
>Ai về xa mãi cô thôn,<
>Một mình trông khói hoàng hôn nhớ nhà?<
>Ngày em mới bước chân ra,<
>Tuy rằng cách mặt, lòng ta chưa sầu.<
>Nắng trôi vàng chẩy về đâu?<
>Hôm nay mới thực bắt đầu vào thu.<
>Chiều xanh trắng bóng mây xưa,<
>Mây năm xưa đã phiêu du trở về.<
>Rung lòng dưới bước em đi,<
>Lá vàng lại gợi phân ly mất rồi!<
>Trời hồng, chắc má em tươi,<
>Nước trong, chắc miệng em cười thêm xinh.<
>Em đi hoài cảm một mình.<
>Hai lòng riêng để mối tình cô đơn.<
>Hôm nay tưởng mắt em buồn:<
>Đã trông thấp thoáng ngọn cồn, bóng sương.<
>Lạnh lùng chăng, gió tha hương?<
>Em về bên ấy, ai thương em cùng?",Bài Hát Mùa Thu,https://isach.info/poem.php?poem=bai_hat_mua_thu__dinh_hung,lục bát,hiện đại,,Đinh Hùng
"Anh trở lại con đường lên núi biếc,<
>Thương mây bay từ đó vẫn cô đơn.<
>Những bông hoa còn có nửa linh hồn.<
>Những lá cỏ nghiêng vai tìm mộng ảo.<
>Ôi nắng cũ nhạt mùi hương dã thảo!<
>Lạnh màu riêu, tảng đá nhớ chân đi.<
>Những cánh chim từ quá khứ bay về,<
>Tà áo mỏng chập chờn phai sắc bướm.<
>Bài thơ nhỏ hôm xưa hồng nắng sớm,<
>Trêm môi em, gió núi đã gieo vần.<
>Mùa hạ nào thơm mái tóc hoài xuân?<
>Hơi phấn thoảng còn ướp say hình bóng.<
>Giấc em ngủ, thơ anh về báo mộng,<
>Nhắn sao khuya soi lén nụ hôn đầu.<
>Ôi sườn non, mây lụa quấn vai nhau!<
>Mỗi bậc đá nâng cao từng ước vọng.<
>Em chuyển bước, trùng dương nào cuộn sóng<
>Dưới bàn chân? - Hồi hộp biển cây xanh.<
>Hương phất phơ chùm hoa mộng đầu cành,<
>Gò má thẹn một màu hồng hợp cẩn.<
>Hãy dừng lại hỡi mùa hoa hồng phấn!<
>Mấy hoàng hôn, mái tóc đã sang thu?<
>Chĩu hàng mi, lá úa rụng tình cờ,<
>Tờ thư lạnh, gió sương bay dòng chữ.<
>Thương tâm sự, mưa sa vành nón cũ,<
>Anh ngờ em mang cả núi non đi.<
>Hoa qua đầu, cánh bướm cũng vu quy,<
>Nhòa nắng xế, nụ cười mây khói tỏa.<
>Ai trao gửi lời thề trên xác lá,<
>Để vầng trăng tìm mãi dấu chân xưa?<
>Ngôi sao buồn lên đỉnh núi bơ vơ,<
>Cành trinh nữ, thu xanh màu tóc lạ.<
>Lời ước hẹn dư âm truyền vách đá,<
>Em vội đi, hờn giận tiếng non cao.<
>Em đi rồi! Then khóa cả chiêm bao,<
>Gầy vóc mộng, gói tròn manh áo nhớ.<
>Nhắc làm chi? Ôi! nhắc làm chi nữa?<
>Em đi rồi, mưa gió suốt trang thơ.<
>Mây lìa ngàn, e lệ cánh chim thu,<
>Con bướm ép thoát hồn mơ giấc ngủ.<
>Anh trở gót, hương đưa về núi cũ,<
>Theo mây bay, tìm mãi hướng trăng thề.<
>Nhắc làm chi? Còn nhắc nữa làm chi...!",Cánh Chim Dĩ Vãng,https://isach.info/poem.php?poem=canh_chim_di_vang__dinh_hung,bảy chữ,hiện đại,,Đinh Hùng
"Khi anh chết, các em về đây nhé,<
>Vị chút hương tình lưu luyến với nhau xưa.<
>Anh muốn thấy các em cùng nhỏ lệ<
>Tay cầm hoa, xõa tóc đứng bên mồ.<
>Em lả lướt, Em là Buồn cố kết,<
>Tự ngày anh ra sống kiếp trần ai.<
>Em khóc cho anh mối hận tình dài,<
>Em nói cho anh tấm lòng cô lữ.<
>Và em nữa, ôi Sầu Hoài Thương Nữ!<
>Anh thường mê tiếng hát của Em xưa.<
>Những ngày vui, bóng mộng mất không ngờ,<
>Em thân ái vẫn cùng anh tưởng nhớ.<
>Anh quên đấy: còn người em duyên số.<
>Em đã về chưa nhỉ hỡi Đau Thương!<
>Nhớ cùng Em đối bóng mấy canh trường,<
>Tự đêm ấy cầm tay nhau không nói...<
>Anh tưởng niệm các Em về một buổi,<
>Ở bên mồ, cỏ úa sắc chiều rơi.<
>Ngược Sông Mê, bàng bạc nẻo luân hồi,<
>Sầu rủ tóc, ngậm ngùi in khóe mắt.<
>Anh đã thấy dáng em buồn cuối mặt,<
>Anh cảm lòng vì lệ của Thương Đau.<
>Các Em sang vĩnh biệt tấm thân sầu...<
>Các Em khóc, các Em buồn lắm nhỉ?<
>Phải xa anh, từ đây đường nhân thế,<
>Các Em đi, phiêu bạt giữa thời gian.<
>Và từ đây trong khe núi, bên ngàn,<
>Các Em dạo, làm những hồn oan khổ.<
>Anh bơ vơ lạc trên đường thiên cổ.<
>Lạnh tâm tư, mờ tỏ ánh tinh cầu.<
>Mất anh rồi, các Em sẽ về đâu?",Cung Đàn Tưởng Niệm,https://isach.info/poem.php?poem=cung_dan_tuong_niem__dinh_hung,bảy chữ,hiện đại,,Đinh Hùng
"Khi tóc mùa xuân dài trước cửa,<
>Khi nắng chiêm bao khẽ chớp hàng mi,<
>Khi những con thuyền chở mộng ra đi,<
>Giấc mộng phiêu lưu như bầy hải điểu,<
>Kỷ niệm trở về, nắm tay nhau hiền dịu,<
>Ngón tay thơm vàng phấn bướm đa tình,<
>Anh sẽ tìm em như tìm một hành tinh,<
>Mặc trái đất sắp tan vào mộng ảo.<
>Trên đường ta đi,<
>Những đóa hoa nở mặt trời xích đạo,<
>Những làn hương mang giông tố bình sa,<
>Những sắc cầu vồng nghiêng cánh chim sa,<
>Và dĩ vãng ngủ trong hồ cẩm thạch<
>Của đôi mắt sáng màu trăng mặc khách,<
>Thời gian qua trên một nét mi dài.<
>Núi mùa thu buồn gợn sóng đôi vai,<
>Dòng sông lạ trôi sâu vào tâm sự.<
>Chúng ta đến nghe nỗi sầu tinh tú:<
>Những ngôi sao buồn suốt một chu kỳ,<
>Những đám tinh vân sắp sửa chia ly,<
>Và sao rụng biếc đôi tay cầu nguyện.<
>Ôi cặp mắt sáng trăng xưa hò hẹn,<
>Có nghìn năm quá khứ tiễn nhau đi.<
>Anh vịn tay số kiếp dẫn em về,<
>Nhìn lửa cháy những lâu đài mặt biển.<
>Phơi phới thuyền ta vượt bến,<
>Từ đêm hồng thủy ra đi.<
>Lòng ta dao cắt",Đường Vào Tình Sử,https://isach.info/poem.php?poem=duong_vao_tinh_su__dinh_hung,bảy chữ,hiện đại,,Đinh Hùng
"Một độ tôi ngồi thương khóc hoa<
>Cửa chiều hiu hắt nắng xuân tà.<
>Nhớ người năm ngoái, năm xưa mãi,<
>Nhớ nụ cười xuân thấp thoáng qua.<
>Lòng gửi sầu theo mây gió bay,<
>Trông thời gian, để bóng hao gầy.<
>Trải bao đêm biếc tàn sao lệ,<
>Trời kết duyên đào: Em tới đây.<
>Tôi thả chim xanh lượn trước nhà,<
>Điểm trang lòng, đợi ái tình qua.<
>Em đi, mắt có thơ mùa hạ,<
>Má phấn hồng in bóng phượng hoa.<
>Tôi mất trời xanh của tuổi thơ,<
>Nên yêu em cũng bởi tình cờ<
>Gặp mùa hoa cũ trên đôi má,<
>Trong mắt em nhìn gặp bóng xưa.<
>Tôi ngẩn ngơ từng buổi tịch liêu,<
>Con ve hoài cổ thở than nhiều.<
>Điệu trường sầu vọng lên cao vút,<
>Đời sắp về xưa: Em hãy yêu.<
>Em yêu tôi và ta yêu nhau<
>Tôi lại say như buổi hạ đầu.<
>Cánh phượng hồng cùng tơ nguyệt bạch<
>Xin em ghi giữ thuở tôi sầu.",Duyên Phương Hoa,https://isach.info/poem.php?poem=duyen_phuong_hoa__dinh_hung,lục bát,hiện đại,,Đinh Hùng
"Trong im lặng, tôi rùng mình nín thở,<
>Cầm tay em, nâng từng ngón tay hoa.<
>Thoáng nét sương, nụ cười in khuôn ngọc,<
>Em bâng khuâng hé nửa cặp môi hồng,<
>Mắt nhắm nghiền, và sóng ngực rung rung,<
>Hơi thở ấm não nùng hương phấn dại.<
>Mặt giáp mặt để hai lòng tê tái,<
>Tôi điên rồ uống hết vị hoài nghi<
>Trên môi em - Hai dòng lệ đầm đìa,<
>Hai ngực ép tới vô cùng đau đớn.<
>Tôi e ngại từ nét mi sầu gợn,<
>Tôi xót thương từ sợi tóc thơm nồng.<
>Em lả người như một cánh hoa rung,<
>Tôi khăng khít - ôi cõi đời tiêu tán!<
>Khi tỉnh lại, trông thấy trời sáng lạn,<
>Con đường đi bừng nở ánh muôn hồng.<
>Em tuyệt trần đã mở lối thiên cung,<
>Tôi sửng sốt hái nụ tình phong nhụy.<
>Từ buổi ấy, mê một làn hương quý,<
>Tôi ra đi, chưa biết sẽ về đâu?<
>Thấy quanh đây toàn xác thịt âu sầu,<
>Toàn những dáng hoa phai buồn ủ rũ.<
>Ôi hương sắc một thân hình nương tử!<
>Cặp mắt thu và đôi má mùa xuân.<
>Ôi áng thiên hương một buổi yêu gần!",Giáp Mặt Phù Dung,https://isach.info/poem.php?poem=giap_mat_phu_dung__dinh_hung,bảy chữ,hiện đại,,Đinh Hùng
