title,content,genre,url,author,period,specific_genre
Bông Hoa Đỏ,"""Xuân xưa chưa theo chồng<
>Hồn như vuông lụa nhỏ<
>Anh đến từ phương xa<
>Đặt vào bông hoa đỏ.<
>Em gói hoa vào lòng<
>Sợ hương bay theo gió<
>Ngờ đâu hoa có gai<
>Rạch hồn vuông lụa nhỏ.<
>Như xuân không trở lại<
>Anh đến rồi anh đi<
>Để mặc em ngơ ngẩn<
>Nhìn vết thương dậy thì.<
>Hạ về em nức nở<
>Thu sang gió ngập phòng<
>Gấp hồn như gấp lụa<
>Mùa đông em sang sông.<
>Tháng năm tàn như mộng<
>Chảy một giòng sóng đời<
>Anh trở về đòi lại<
>Bông hoa anh bỏ rơi.<
>Anh ơi hoa đã héo<
>Vết thương xưa đã lành<
>Vuông lụa chồng em giữ<
>Không còn gì cho anh...""",thơ tự do,https://isach.info/poem.php?poem=bdong_hoa_do__tran_mong_tu,Trần Mộng Tú,hiện đại,
Cả Một Giòng Sông Đứng Lại Chờ,"Tôi xa người nắng buồn trên vai<
>Môi tôi còn mùi thuốc thơm mời<
>Người xa tôi một dòng sông trắng<
>Dẫy núi bên kia có ngậm ngùi?<
>Tôi xa người hàng cây bâng khuâng<
>Nước dâng lên chiều xuống muôn trùng<
>Người xa tôi có còn đứng ngóng<
>Một cánh chim bay ở cuối rừng<
>Tôi xa người như xa cơn mưa<
>Mái tóc tôi còn ướt đêm nay<
>Nhớ tôi người còn châm điếu thuốc?<
>Nhớ tôi người có đi trong mưa?<
>Người xa tôi gió cũng lặng thinh<
>Cho tôi rung nỗi nhớ quanh mình<
>Người đi như suối qua rừng vắng<
>Cả một dòng sông đứng lại chờ.",lục bát,https://isach.info/poem.php?poem=ca_mot_giong_song_dung_lai_cho__tran_mong_tu,Trần Mộng Tú,hiện đại,
Con Mèo Cô Đơn,"Con mèo nằm ngoài sân<
>Cô đơn đùa với nắng<
>Tôi bên trong cửa kính<
>Cô đơn ngắm con mèo<
>Cỏ màu xanh ngọc thạch<
>Chiếc lưng trắng quay tròn<
>Nắng lung linh từng giọt<
>Mèo xoay quanh nỗi buồn<
>Tôi nhìn tôi trên kính<
>Chiếc bóng mờ vết loang<
>Cửa hôn nhân khép chặt<
>Giam tôi rất nhẹ nhàng<
>Mèo có góc sân nhỏ<
>Tôi có khung kính mờ<
>Hai ta cùng bé nhỏ<
>Niềm cô đơn vô bờ<
>Mèo ơi phơi trong nắng<
>Khô hộ tôi nỗi buồn<
>Quê xưa, người tình cũ<
>Vẫn ướt sũng trong hồn.",thơ tự do,https://isach.info/poem.php?poem=con_meo_co_don__tran_mong_tu,Trần Mộng Tú,hiện đại,
Đến,"Em đến đó nhưng em không ở lại<
>Em ra về có thêm một trái tim<
>Bàn tay nhỏ cầm trái tim luống tuổi<
>Em ngỡ em đang cầm một mặt trời<
>Mặt trời theo em vào trong giấc ngủ<
>Sưởi ấm cho em suốt cả một đêm<
>Em không đắp chăn mà sao không lạnh<
>Mặt trời nằm ngoan cạnh trái tim em<
>Em đến đó nhưng em không ở lại<
>Anh tặng cho em những mảnh linh hồn<
>Vai em nhỏ mảnh hồn anh sáng qúa<
>Em ngỡ em đang gánh một vầng trăng<
>Vầng trăng sáng đan sợi vàng sợi bạc<
>Em mê đi như ở giữa chiêm bao<
>Trái tim em hoang mang trong lồng ngực<
>Nhưng thân em thì lấp lánh đầy sao<
>Em đến đó nhưng em không ở lại<
>Những câu thơ tình cho nhân gian đọc<
>Mặt trời mặt trăng có thật hay không?",bảy chữ,https://isach.info/poem.php?poem=den__tran_mong_tu,Trần Mộng Tú,hiện đại,
Giấu,"Tóc bạc anh em giấu vào trong gối<
>Để đêm đêm em không ngủ một mình<
>Trái tim anh em giấu vào trong ngực<
>Để cùng em thức dạy trước bình minh<
>Đôi mắt anh em giấu vào trong mắt<
>Lệ riêng em trong suốt mắt hai ta<
>Môi của anh em giấu vào trong miệng<
>Ngậm hương thơm của một mối tình xa<
>Bàn tay anh em giấu vào trong áo<
>Ngực rất hiền nở vội một đóa hoa<
>Bàn chân anh em giấu vào giày nhỏ<
>Anh sẽ đi cùng em đi thật là xa<
>Khi trở về dẫu tuổi gầy sương tuyết<
>Bốn bàn chân sẽ làm ấm nền nhà<
>Hơi thở anh em giấu vào hơi thở<
>Đời sống chia nhau từng sợi mong manh<
>Mình hà cho nhau một linh hồn mới<
>Chúa sẽ kêu lên... thôi thế cũng đành.",bảy chữ,https://isach.info/poem.php?poem=giau__tran_mong_tu,Trần Mộng Tú,hiện đại,
Kiếp Sau,"Đêm qua em nằm mơ<
>Mẹ đem em gả chồng<
>Cho một chàng thi sĩ<
>Số chàng rất long đong<
>Hai vợ chồng làm thơ<
>Trong một gian lều cỏ<
>Mái dột mái cứ dột<
>Làm thơ vẫn làm thơ<
>Thơ chàng dán trên vách<
>Thơ em che trời mưa<
>Một đàn con tám đứa<
>Lớn lên chỉ mê thơ<
>Ngoài vườn đầy hoa nở<
>Trong lòng ngập mộng mơ<
>Cửa lều thường không khép<
>Nên Xuân đến bốn mùa<
>Mặc người đời mua bán<
>Mặc cuộc đời hơn thua<
>Cả nhà làm thi sĩ<
>Nên nghèo xác nghèo xơ<
>Em cầu cùng thượng đế<
>Kiếp sau có lấy chồng<
>Xin lấy chàng thi sĩ<
>Dầu biết chàng tay không...",thơ tự do,https://isach.info/poem.php?poem=kiep_sau__tran_mong_tu,Trần Mộng Tú,hiện đại,
Lòng Nào Như Suối Cạn,"Ngày xưa trong quán nhỏ<
>Đời không có mùa đông<
>Trên môi cà phê ngọt<
>Trong mắt giọt tình nồng<
>Hôm nay trong quán lạ<
>Hai đứa ngồi nhìn nhau<
>Trên môi cà phê đắng<
>Trong mắt giọt tình sầu<
>Một năm trời lận đận<
>Đời ngọt những vết thương<
>Một năm trời bôi bác<
>Đời vui những tấn tuồng<
>Anh bây giờ đã khác<
>Trán đà thêm nếp nhăn<
>Em bây giờ đà khác<
>Má đà phai sắc hồng<
>Mắt nào không lệ chảy<
>Môi nào thơm hương hoa<
>Lòng nào như suối cạn<
>Tình nào đã chia xa?<
>Một năm trời xứ lạ<
>Không còn gì cho nhau<
>Giọt tình cuồng trong mắt<
>Cũng tan theo nỗi sầu...",thơ tự do,https://isach.info/poem.php?poem=long_nao_nhu_suoi_can__tran_mong_tu,Trần Mộng Tú,hiện đại,
Mở,"Hãy mở cho em những cánh cửa<
>Từng gian im lặng của hai ta<
>Căn nhà nhỏ sao mênh mông qúa<
>Bóng tối mang trái tim đi xa<
>Có một chỗ nào cho em nghỉ<
>Vuốt duỗi thời gian của đợi mong<
>Có một chỗ nào em ngồi xuông<
>Chải lại đường ngôi như nhánh sông<
>Từng gian từng gian im lìm đóng<
>Tuổi xanh em đổi thẫm màu rêu<
>Những cánh cửa mòn theo năm tháng<
>Tình hai ta như nhà cửa khép<
>Như tranh tĩnh vật treo trên tường<
>Ngàn năm tranh không lên tiếng nói<
>Mở hộ em từng cánh cửa buồn<
>Khi anh về gõ lên cánh cửa<
>Tường chắc đã nghiêng mái nát rồi<
>Em vẫn chờ anh sau cánh cửa<
>Dọn sẵn cho anh một chỗ ngồi...",lục bát,https://isach.info/poem.php?poem=mo__tran_mong_tu,Trần Mộng Tú,hiện đại,
Mưa Seatle,"Đêm qua trở gối nghe mưa<
>Tình như chăn hẹp không vừa ấm tôi<
>Kéo hoài vẫn hụt một nơi<
>Tôi co phận mỏng buông rơi đóa sầu<
>Sáng nay ra phố gội đầu<
>Giọt mưa sợi tóc ôm nhau khóc òa<
>Cong tay hứng hạt mưa sa<
>Mưa đau mắt lưới xóa nhòa chỉ tay<
>Tình ơi không ghé về đây<
>Sầu tôi trăm nhánh tóc gầy rẽ vai<
>Tôi đi dưới mưa nguyên ngày<
>Dỗ hồn lá mục trách cây vô tình.",lục bát,https://isach.info/poem.php?poem=mua_seatle__tran_mong_tu,Trần Mộng Tú,hiện đại,
Quà Tặng Trong Chiến Tranh,"Em tặng anh hoa hồng<
>Chôn trong lòng huyệt mới<
>Em tặng anh áo cưới<
>Phủ trên nấm mộ xanh<
>Anh tặng em bội tinh<
>Kèm với ngôi sao bạc<
>Chiếc hoa mai màu vàng<
>Chưa đeo còn sáng bóng<
>Em tặng anh tuổi ngọc<
>Của những ngày yêu nhau<
>Đã chết ngay từ lúc<
>Em nhận được tin sầu<
>Anh tặng em mùi máu<
>Trên áo trận sa trường<
>Máu anh và máu địch<
>Xin em cùng xót thương<
>Em tặng anh mây vương<
>Mắt em ngày tháng hạ<
>Em tặng anh đông giá<
>Giữa tuổi xuân cuộc đời<
>Anh tặng môi không cười<
>Anh tặng tay không nắm<
>Anh tặng mắt không nhìn<
>Một hình hài bất động<
>Anh muôn vàn tạ lỗi<
>Xin hẹn em kiếp sau<
>Mảnh đạn này em giữ<
>Làm di vật tìm nhau.",thơ tự do,https://isach.info/poem.php?poem=qua_tang_trong_chien_tranh__tran_mong_tu,Trần Mộng Tú,hiện đại,
