title,content,genre,url,author,period,specific_genre
Anh Đến Với Em Là Lẽ Tất Nhiên,"Anh đến với em là lẽ tất nhiên<
>Như con sông trở về với biển<
>Như qua mùa đông mùa xuân lại đến<
>Như sau cơn mưa là lúc mặt trời lên<
>Anh đến với em là lẽ tất nhiên<
>Như cái hoa đến ngày kết quả<
>Như con chim buổi chiều quay về tổ<
>Như máu trong người trở lại tim<
>Anh đến với em là lẽ tất nhiên<
>Như cây kim địa bàn quay về hướng bắc<
>Cuộc đời anh hướng đến cuộc đời em<
>Anh đến với em là lẽ tất nhiên.",bảy chữ,https://isach.info/poem.php?poem=anh_den_voi_em_la_le_tat_nhien__te_hanh,Tế Hanh,hiện đại,
Ao Ước,"Anh là kẻ say mê nhưng nhút nhát;<
>Không hiểu giùm em lại nỡ cho anh<
>Là không yêu, là một kẻ vô tình.<
>Anh tức quá, đem lòng ao ước lệ;<
>Nếu em chết: chắc là anh có thể<
>Tỏ mối tình lặng lẽ qúa sâu thâm:<
>Anh đến nơi em nghỉ giấc ngàn năm<
>Ngồi điên dại sầu như cây liễu rủ.<
>Anh không uống, anh không ăn, không ngủ,<
>Anh khóc than, than khóc đến bao giờ<
>Nước mắt anh lầy lội cả nấm mồ<
>Nhỏ từng giọt xuống thân em lạnh lẽo.<
>Rồi anh chết, anh chết sầu, chết héo;<
>Linh hồn anh thất thểu dõi hồn em.<
>Và ở đâu kia, ở cõi đời đêm<
>Chắc em chẳng nghi ngờ tình anh nữa...",bảy chữ,https://isach.info/poem.php?poem=ao_uoc__te_hanh,Tế Hanh,hiện đại,
Bài Thơ Tình Ở Hàng Châu,"Anh xa em càng nhớ thêm em<
>Trăng Tây Hồ vời vợi thâu đêm<
>Trời Hàng Châu bốn bề êm ái<
>Mùa thu đã đi qua còn gửi lại<
>Một ít vàng trong nắng trong cây<
>Một ít buồn trong gió trong mây<
>Một ít vui trên môi người thiếu nữ…<
>Ðường Tô Ðông Pha làm phú<
>Ðường Bạch Cư Dị đề thơ<
>Hồn người xưa vương vấn tự bao giờ<
>Còn thao thức trên cành đào ngọn liễu<
>Phong cảnh đẹp nhưng lòng anh thấy thiếu<
>Bức tranh kia anh muốn điểm thêm màu<
>Có hai ta cùng tựa bên cầu<
>Cho mặt nước Tây Hồ trong sáng nữa<
>Lá phong đỏ như mối tình đượm lửa<
>Hoa cúc vàng như nỗi nhớ day dưa<
>Làn nước qua ánh mắt ai đưa<
>Cơn gió đến bàn tay em vẫy<
>Chúng mình đã yêu nhau từ độ ấy<
>Có núi sông và có trăng sao<
>Có giận hờn và có chiêm bao<
>Cay đắng ngọt bùi cuộc đời kháng chiến<
>Nói sao hết em ơi bao kỉ niệm…<
>Những ngày buồn nghĩ đến thấy vui vui<
>Những ngày vui sao lại thấy bùi ngùi<
>Anh không muốn hỏi nhiều quá khứ<
>Ngày đẹp nhất là ngày rồi gặp gỡ<
>Rời Tây Hồ trăng xuống Bắc Cao Phong<
>Chỉ mình anh với im lặng trong phòng<
>Anh ngước nhìn bức thêu trên vách:<
>Hai bóng người đi<
>Một hàng tùng bách<
>Bàn tay nào đã dệt nỗi lòng anh?<
>Tiếng mùa xuân đem sóng vỗ bên mình<
>Vơ vẩn tình chăn<
>Chập chờn mộng gối<
>Anh mơ thấy Hàng Châu thành Hà Nội<
>Nước Tây Hồ bỗng hóa nước Hồ Tây<
>Hai chúng mình cùng bước dưới hàng cây.",bảy chữ,https://isach.info/poem.php?poem=bai_tho_tinh_o_hang_chau__te_hanh,Tế Hanh,hiện đại,
Cảm Thông,"Nằm trong cỏ một chiều man mác<
>Nghe gió xuân thổi quạt hồn cây<
>Thái bình xanh ngắt từng mây<
>Lá phơi sắc biếc, đời gây mộng đào<
>Chiều trầm mặc, dáng chiều lặng lẽ<
>Dãy bàng cao đượm vẻ đoan trang<
>Thân nghiêm đứng thẳng làm tàn<
>Hồn vui ngự giữa nhịp nhàng bao la<
>Này khăng khít da ta, da đất<
>Mạch cảm thông ngây ngất tâm can<
>Giác quan mở rộng dặm ngàn<
>Nghe như cỏ mọc bàng hoàng khắp thân<
>Giọng suối ngân trong tay sôi nổi<
>Trong chân mê bối rối dặm đường<
>Ngạt ngào đôi mắt đưa hương<
>Bông hoa đất nở giữa vườn lòng tươi<
>Giờ thanh thoát. Đất ơi! có biết?<
>Ta không buồn tử biệt, sinh ly<
>Tao phùng ấy buổi ra đi<
>Đến khi ta chết là khi trở về.",lục bát,https://isach.info/poem.php?poem=cam_thong__te_hanh,Tế Hanh,hiện đại,
Cánh Đồng Bao La,"Cánh đồng bao la<
>Giãi ra xa xa<
>Hàng tre tha thướt,<
>Lòng ta thướt tha.<
>Phất phơ trong gió<
>Hương vị thơm tho<
>Của buổi hẹn hò;<
>Em ơi! có rõ...<
>Em trông đám dậu<
>Cao hơn đám lúa<
>Như anh cao hơn<
>Em nửa cái đầu.<
>Đường đi thì nhỏ<
>Bờ cỏ thì xanh<
>Trời cao thì thanh;<
>Em ơi! có rõ...<
>Anh mang trong lòng<
>Cả một cánh đồng<
>Anh nghe nặng nề<
>Bao mối tình quê...<
>Đồng quê ngát tình:<
>Lòng anh ngát xanh:<
>Kìa đôi chim hót<
>Em ơi! yêu anh...",thơ tự do,https://isach.info/poem.php?poem=canh_dong_bao_la__te_hanh,Tế Hanh,hiện đại,
Chiếc Rổ May,"Thuở bé nhiều hôm tôi bỏ chơi,<
>Cảm thương đứng ngó mẹ tôi ngồi<
>Và bên chiếc rổ mùi thơm cũ<
>Như tấm lòng thơm của mẹ tôi.<
>Lơ thơ chỉ rối sợi con con<
>Những cái kim hư, hột nút mòn<
>Tiện tặn để dành trong lọ nhỏ:<
>Vải lành gói ghém mấy khoanh tròn.<
>Lặng lẽ bàn tay lặng lẽ đưa<
>Đắp từng miếng vá ấm con thơ:<
>Những mong đời mẹ, đời con mãi<
>Gần gũi nhau cùng mối chỉ thưa...<
>Mẹ ơi! chiếc áo con đã rách.<
>Con biết làm sao trở lại nhà<
>Để mẹ vá giùm? Con thấy lạnh<
>Gió lùa nỗi nhớ thấm vào da.",lục bát,https://isach.info/poem.php?poem=chiec_ro_may__te_hanh,Tế Hanh,hiện đại,
Chiêm Bao,"Tỉnh mộng rồi sao? Có lẽ nào<
>Ân tình ngắn ngủi thế chiêm bao?<
>Tay không trơ trọi tìm tay ngọc<
>Môi lạnh mân mê vị má đào.<
>Lẩn bóng nương hình gặp gỡ em,<
>Mến yêu ảo ảnh cũng êm đềm.<
>Nhưng thôi lỡ dở cơn yêu mến!<
>Mộng có về đâu với những đêm.<
>Rồi vẫn cô đơn, vẫn tủi sầu.<
>Nỗi niềm ai có biết cho đâu?<
>Cơn mơ mai mỉa thêm cơn tỉnh<
>Quạnh quẽ thâu canh gối dãi dầu.",lục bát,https://isach.info/poem.php?poem=chiem_bao__te_hanh,Tế Hanh,hiện đại,
Chứa Chất,"Mùa thu đã đến... cả người tôi<
>Hoảng hốt như thu đã hết rồi;<
>Lo lắng giờ thay cho ngóng đợi:<
>Thu làm tôi cực quá đi thôi!<
>Mắt mở to luôn, chứa chứa nhiều<
>Những hình ẻo lả, sắc xiêu xiêu:<
>Tai thêm linh thính lo thâu góp<
>Những điệu ly sầu, tiếng tịch liêu.<
>Lồng ngực phồng to ráng hít vào;<
>Phổi ghì không khí đến nôn nao,<
>Da tê xúc động niềm thương nhớ;<
>Màu động hương thu sắc bớt đào.<
>Đi mãi ngoài không chẳng ở nhà,<
>Đầu trần áo mỏng để lòi da:<
>Hơi thu mơn trớn như hơi thịt;<
>Tôi dựa vào thu dịu lắm mà!",lục bát,https://isach.info/poem.php?poem=chua_chat__te_hanh,Tế Hanh,hiện đại,
Chùa,"In rõ rệt chân trời quá khứ,<
>Chùa không thôi tình tự thuở xa xăm<
>Tuổi thơ tôi là cả một đêm rằm<
>Trăng tỏ rạng sáng chầu quanh đức Phật<
>Hồn thanh thoát chưa hề vương vật chất<
>Đồng vọng xa cùng nhịp tiếng chuông bay<
>Này hai cây bạch lạp ánh hai tay<
>Đôi mắt chói này rung trong ngọn nến<
>Niềm tin cẩn tượng hình nên trái chín<
>Phút tâm thành ngào ngạt tỏa hương hoa<
>Ôi buổi lớn khôn! Ơi buổi xa nhà<
>Tôi đâu biết cách xa chùa đến thế!<
>Gió lãng mạn thổi qua buồn thế hệ<
>Sóng thị thành tan rã cả lòng tin<
>Thuyết hoài nghi mờ xóa những kinh nguyền<
>Buồn số kiếp đưa về cơn gió lạnh<
>Bước chán nản trên những đường hiu quạnh<
>Chiều hôm nay tôi chạnh nhớ chùa xa<
>Tiếng chuông kêu như mẹ gọi chan hòa<
>Tôi ôm ngực tưởng chừng tim sắp vỡ<
>Bóng đêm xuống bao trùm trong tín mộ<
>Đường sương ơi! Người chạy đến thời xưa?<
>Dắt ta đi trở lại viếng thăm chùa.",bảy chữ,https://isach.info/poem.php?poem=chua__te_hanh,Tế Hanh,hiện đại,
Chủ Nhật,"Buồn làm sao cho ngày chủ nhật<
>Của người học trò vơ vẩn hay yêu!<
>Những ngày kia vui vẻ hơn nhiều<
>Ngồi chăm chỉ lắng nghe lời thầy giảng,<
>Hay vui đùa, chuyện trò cùng chúng bạn,<
>Trí bình yên thư thái biết bao nhiêu<
>Và nhất là được trông thấy người yêu,<
>Người thiếu nữ xinh như tờ giấy trắng.<
>Lần đi học là một lần đo đắn:<
>Đi làm sao cho gặp được giữa đường<
>Cô nữ học sinh tha thiết đến trường,<
>Tay đỡ nón và tay cầm sách vở.<
>Ngày chủ nhật là một ngày mong nhớ<
>Ở trong nhà không ngớt ngoái trông ra<
>Hy vọng người yêu mến bước ngang qua:<
>Gặp gỡ mãi cũng gây tình lưu luyến.<
>Chờ đã mệt mà người không thấy đến<
>- Có bao giờ người nghĩ đến ta đâu!<
>Thì giờ đêm qua... nắng xế ngang đầu.<
>Lòng rưng rức, người bần thần, bực bội<
>Quần với áo đã mấy lần thay đổi;<
>Quyển sách nào đem đọc cũng buồn tênh.<
>Tâm thần ta như có vẻ bấp bênh<
>Như chán chê, như rã rời, ngao ngán;<
>Ta tưng tức, ta giận hờn các bạn<
>Sao mải vui không đến với ta chơi;<
>Ta trách nhầm những kẻ ở xa xôi<
>Sao hững hờ không thư từ chi cả!<
>Quanh quẩn mãi... Trông ra ngày sắp ngả,<
>Lần cuối cùng, nhất định bước ra đường,<
>Đi bơ vơ, lòng thấm thía ngùi thương<
>Đường quen quá chán chường như tắc lối!<
>Ta quay lưng lủi thủi trở về nhà<
>Không hiểu sao thấy tiếc một ngày qua.",bảy chữ,https://isach.info/poem.php?poem=chu_nhat__te_hanh,Tế Hanh,hiện đại,
