title,content,genre,url,author,period,specific_genre
Âm Nhạc,"Hàn Mặc Tử<
>Tập thơ Hàn Mặc Tử:<
>Tinh hơn đồng trinh<
>Hừng qua hừng đông<
>Em mình nghe không<
>Im chưa nên đông<
>Say chưa ra lòng<
>Đều ngâm giấm cả.<
>Màu nào sắp rã<
>Vồng nào sắp cao<
>Ánh nào tương giao<
>Muôn thương đều lắng<
>Nhấn nào khăn khắn<
>Nhịp nào âu lo<
>Em hãy cầu cho.<
>Tinh hơn đồng trinh<
>Hừng quá hừng đông<
>Em mình nghe không?<
>Nhạc vàng tỏ rõ<
>Như sao trên trời<
>Đem nguyền ra phơi<
>Đem phần ra phơi<
>Ân tình tri ngộ<
>Trước đời trăng lên.<
>Em hãy làm duyên<
>Em cứ y nguyên<
>Đàn rơ tơ riết<
>Cả lòng đam mê.<
>In hình tưởng nhớ<
>Như tuồng ai ra<
>Như tuồng lân la<
>Đâu đây quyến luyến<
>Đố Nàng gần xa.<
>Màu không thấy ửng<
>Mùi qua linh thiêng<
>Những cốt cách tiên<
>Thảy đều cảm biết<
>Khi lòng xin thương<
>Lên gần đài Trăng<
>Hương ráng sức hương<
>Bừng bừng cao trăng.<
>Dâng lên quá trí<
>Quá giải Hàn Giang<
>Đố Nàng nói sao.<
>Trong nụ cười nao<
>Trong búp hoa nào<
>Có gì phôi thai.<
>Sao vấn vương hoài<
>Sao đầm hơi thở<
>Hương đầm hơi nhớ<
>Hương đầm hơi quen<
>Đố Nàng hay em.<
>(Thượng Thanh Khí)",thơ tự do,https://isach.info/poem.php?poem=am_nhac__han_mac_tu,Hàn Mặc Tử,hiện đại,
Âm Thầm,"Hàn Mặc Tử<
>Tập thơ Hàn Mặc Tử:<
>Từ gió xuân đi, gió hạ về<
>Anh thường gửi gắm mối tình quê<
>Bên em mỗi lúc trên đường cái<
>Hóng mát cho lòng được thoả thuê!<
>Em có ngờ đâu trong những đêm<
>Trăng ngà giãi bóng mặt hồ êm<
>Anh đi thơ thẩn như ngây dại<
>Hứng lấy hương nồng trong áo em<
>Bên khóm thuỳ dương em thướt tha<
>Bên này bờ liểu anh trông qua<
>Say mơ vướng phải mùa hương ướp<
>Yêu cái môi hường chẳng nói ra<
>Độ ấy xuân về em lớn lên<
>Thấy anh em đã biết làm duyên<
>Yêu dấu lòng anh ôm hận riêng.",lục bát,https://isach.info/poem.php?poem=am_tham__han_mac_tu,Hàn Mặc Tử,hiện đại,
Anh Ðiên,"Hàn Mặc Tử<
>Tập thơ Hàn Mặc Tử:<
>Anh nằm ngoài sự thực<
>Em ngồi trong chiêm bao<
>Cách nhau xa biết mấy<
>Nhớ thương quá thì sao?<
>Anh nuốt phứt hàng chữ<
>Anh cắn vỡ lời thõ<
>Anh cắn cắn cắn cắn<
>Hõi thở ðứt làm tý!",thơ tự do,https://isach.info/poem.php?poem=anh_ien__han_mac_tu,Hàn Mặc Tử,hiện đại,
Ave Maria,"Cách sử dụng QR Code<
>Chuỗi tìm kiếm quá ngắn<
>Hàn Mặc Tử<
>Tập thơ Hàn Mặc Tử:<
>Như song lộc triều nguyên: ơn phước cả,<
>Dâng cao dâng thần nhạc sáng hơn trăng.<
>Thơm tho bay cho đến cõi Thiên đàng<
>Huyền diệu biến thành muôn kinh trọng thể.<
>Và Tổng lãnh Thiên thần quỳ lạy Mẹ<
>Tung-hô câu đường hạ ngớp châu sa.<
>Hương xông lên lời ca ngợi sum hòa:<
>Trí miêu duệ của muôn vì rất thánh.<
>Maria! Linh hồn tôi ớn lạnh,<
>Run như run thần tử thấy long nhan,<
>Run như run hơi thở chạm tơ vàng...<
>Nhưng lòng vẫn thấm nhuần ơn trìu mến.<
>Lạy Bà là Đấng tinh tuyền thánh vẹn<
>Giàu nhânđdức, giàu muôn hộc từ bi,<
>Cho tôi dâng lời cảm tạ phò nguy<
>Cơn lâm lụy vừa trải qua dưới thế.<
>Tôi cảm động rưng rưng hai dòng lệ:<
>Dòng thao thao như bất tuyệt của nguồn thơ.<
>Bút tôi reo như châu ngọc đền vua,<
>Trí tôi hớp bao nhiêu là khí vị...<
>Và trong miệng ngậm câu ca huyền bí,<
>Và trong tay nắm một vạn hào quang...<
>Tôi no rồi ơn võ lộ hòa chan.<
>Tấu lạy Bà, Bà rất nhiều phép lạ,<
>Ngọc Như Ý vô tri còn biết cả,<
>Huống chi tôi là Thánh thể kết tinh<
>Tôi ưa nhìn Bắc đẩu rạng bình minh,<
>Chiếu cùng hết khắp ba ngàn thế giới...<
>Sáng nhiều quá cho thanh âm vời vợi,<
>Thơm dường bao cho miệng lưỡi khong khen.<
>Hỡi Sứ thần Thiên Chúa Gabriel,<
>Khi người xuống truyền tin cho Thánh nữ,<
>Người có nghe xôn xao muôn tinh tú,<
>Người có nghe náo động cả muôn trời?<
>Người có nghe thơ mầu nhiệm ra đời<
>Để ca tụng, - bằng hương hoa sáng láng,<
>Bằng tràng hạt, bằng Sao Mai chiếu rạng,<
>Một đêm xuân là rất đỗi anh linh?<
>Đây rồi! Đây rồi! Chuỗi ngọc vàng kinh.<
>Thơ cầu nguyện là thơ quân tử ý,<
>Trượng phu lời là Tông đồ triết lý,<
>Là Nguồn Trăng yêu mến Nữ Đồng Trinh<
>Là Nguồn Đau chầu lụy Nữ Đồng Trinh.<
>Cho tôi thắp hai hàng cây bạch lạp,<
>Khói nghiêm trang sẽ dân lên tràn ngập<
>Cả Hàn giang và màu sắc thiên không,<
>Lút trí khôn và ám ảnh hương lòng<
>Cho sốt sắng, cho đê mê nguyền ước...<
>Tấu lạy Bà, lạy Bà đầy ơn phước,<
>Cho tình tôi nguyên vẹn tợ trăng rằm,<
>Thơ trong trắng như một khối băng tâm,<
>Luôn luôn reo trong hồn, trong mạch máu,<
>Cho vỡ lở cả muôn ngàn tinh đẩu,<
>Cho đê mê âm nhạc và thanh hương,<
>Chim hay tên ngọc, đá biết tuổi vàng,<
>Lòng vua chúa cũng như lòng lê thứ<
>Sẽ ngây ngất bởi chưng thơ đầy ứ<
>Nguồn thiêng liêng yêu chung Mẹ Sầu Bi<
>Phượng Trì! Phượng Trì! Phượng Trì! Phượng Trì!<
>Thơ tôi bay suốt một đời chưa thấu,<
>Hồn tôi bay đến bao giờ mới đậu<
>Trên triều thiên ngời chói vạn hào quang?",bảy chữ,https://isach.info/poem.php?poem=ave_maria__han_mac_tu,Hàn Mặc Tử,hiện đại,
Bắt Chước,"Hàn Mặc Tử<
>Để cho hoa gió thì thào<
>Để cho mây nước nôn nao<
>Quên câu thương nhớ rồi sao<
>Em ơi thế nghĩa là sao<
>Khi hương thơm kề lỗ miệng<
>Khi tình mới chạm vào nhau?<
>Em ơi thế nghĩa là sao?<
>Trăng đang nằm trên sóng cỏ<
>Cỏ đùa trăng đến bên ao<
>Trăng lại đẫm mình xuống nước<
>Trăng nước đều lặng nhìn nhau...<
>Đôi ta bắt chước thì sao?",bảy chữ,https://isach.info/poem.php?poem=bat_chuoc__han_mac_tu,Hàn Mặc Tử,hiện đại,
Bến Hàng Giang,"Cách sử dụng QR Code<
>Chuỗi tìm kiếm quá ngắn<
>Bến Hàng Giang<
>Hàn Mặc Tử<
>Tập thơ Hàn Mặc Tử:<
>Này đây lời ngọc song song<
>Xin dâng muôn sóng tơ đồng vơi vơi<
>Xin dâng này máu đang tươi<
>Này đây nước mắt giọng cười theo nhau<
>Mới hay phong vị nhiệm màu<
>Môi chưa nhấp cạn, mạch sầu đã tuôn<
>Ớ Địch ơi, lệ có nguồn<
>Hãy chia bớt nửa nỗi buồn sang tôi<
>Hôm nay trời lững lơ trời<
>Dòng sông ánh sáng sẽ trôi hoa vàng<
>Tôi ngồi ở bến Hàng Giang<
>Khóc thôi mây nước bàng hoàng suốt đêm.",bảy chữ,https://isach.info/poem.php?poem=ben_hang_giang__han_mac_tu,Hàn Mặc Tử,hiện đại,
Bến Hàn Giang,"Cách sử dụng QR Code<
>Chuỗi tìm kiếm quá ngắn<
>Bến Hàn Giang<
>Hàn Mặc Tử<
>Tập thơ Hàn Mặc Tử:<
>Này ðây lời ngọc song song<
>Xin dâng muôn sóng tõ ðồng või või<
>Xin dâng này máu ðang týõi<
>Này ðây nýớc mắt giọng cýời theo nhau<
>Mới hay phong vị nhiệm màu<
>Môi chýa nhấp cạn, mạch sầu ðã tuôn<
>Ớ Ðịch õi, lệ có nguồn<
>Hãy chia bớt nửa nỗi buồn sang tôi<
>Hôm nay trời lững lõ trời<
>Dòng sông ánh sáng sẽ trôi hoa vàng<
>Tôi ngồi ở bến Hàng Giang<
>Khóc thôi mây nýớc bàng hoàng suốt ðêm",bảy chữ,https://isach.info/poem.php?poem=ben_han_giang__han_mac_tu,Hàn Mặc Tử,hiện đại,
Bẽn Lẽn,"Hàn Mặc Tử<
>Tập thơ Hàn Mặc Tử:<
>Trăng nằm sóng soải trên cành liễu<
>Đợi gió đông về để lả lơi<
>Hoa lá ngây tình không muốn động<
>Lòng em hồi hộp, chị Hằng ơi.<
>Trong khóm vi vu rào rạt mãi<
>Tiếng lòng ai nói? Sao im đi?<
>Ô kìa, bóng nguyệt trần truồng tắm<
>Lộ cái khuôn vàng dưới đáy khe.<
>Vô tình để gió hôn lên má<
>Bẽn lẻn làm sao lúc nửa đêm<
>Em sợ lang quân em biết được<
>Nghi ngờ tới cái tiết trinh em.",lục bát,https://isach.info/poem.php?poem=ben_len__han_mac_tu,Hàn Mặc Tử,hiện đại,
Biển Hồn Ta,"Cách sử dụng QR Code<
>Chuỗi tìm kiếm quá ngắn<
>Biển Hồn Ta<
>Hàn Mặc Tử<
>Tập thơ Hàn Mặc Tử:<
>Máu tim ta tuôn ra làm bể cả<
>Mà sóng lòng rồn rập như mây trôi<
>Sóng lòng ta tràn lan ngoài xứ lạ<
>Dâng cao lên, cao tột tới trên trời.<
>Ôi ta đã mửa ra từng búng huyết<
>Khi say sưa với lượn sóng triền miên<
>Khi nhận lấy trong thâm tâm cay nghiệt<
>Giọng hờn đau trăm vạn nỗi niềm riêng.<
>Ta muốn níu hồn ai đương hiển hiện<
>Trong lòng và đang tắm máu sông ta<
>Ta muốn vớt ai ra ngoài sóng điện<
>Để nhìn xem sắc mặt với làn da.<
>Ôi ngông cuồng! Ôi rồ dại, rồ dại!<
>Ta đi thuyền trên mặt nước lòng ta<
>Ôi ngông cuồng, ôi rồ dại, rồ dại<
>Ta cắm thuyền chính giữa vũng hồn ta.",bảy chữ,https://isach.info/poem.php?poem=bien_hon_ta__han_mac_tu,Hàn Mặc Tử,hiện đại,
Buồn Ở Đây,"Cách sử dụng QR Code<
>Chuỗi tìm kiếm quá ngắn<
>Buồn Ở Đây<
>Hàn Mặc Tử<
>Tập thơ Hàn Mặc Tử:<
>Rao rao gió thổi phương xa lại<
>Buồn đâu say ngấm áo xuân ai<
>Lay bay lời hát, ơ buồn lạ<
>E buồn trong mộng có đêm nay.<
>Nắng sao như nắng đời xưa ấy<
>Nắng vàng con mắt thấy duyên đâu<
>Muốn gởi thương về người cổ độ<
>Mà sao tình chẳng nói cho đau.<
>Chiều xưa khúc nhạc nóng ran lên<
>Không có ai đi để lỗi thuyền<
>Nguồn thơ ứa mãi hai hàng lệ<
>Tờ giấy hoa tiên cũng ướt mèm.<
>(Thượng Thanh Khí)",lục bát,https://isach.info/poem.php?poem=buon_o_day__han_mac_tu,Hàn Mặc Tử,hiện đại,
