content,title,url,genre,period,specific_genre,author
"Chiều qua bến cỏ<
>Dòng sông tuổi thơ<
>Đường xưa lối cũ<
>Một thời mộng mơ<
>Lâu rồi một thuở<
>Đi học sang đò<
>Lục bình nở rộ<
>Tím dòng sông mơ<
>Chiều qua bến cỏ<
>Nhớ mấy cho vừa<
>Em, tôi còn nhỏ<
>Đội nắng dầm mưa<
>Dòng sông còn đó<
>Vắng bóng đò xưa<
>Thiếu làn tóc xỏa<
>Người về ngẩn ngơ<
>Chiều qua bến cỏ<
>Sóng nhấp nhô bờ<
>Nắng mang nổi nhớ<
>Mây chiều bơ vơ<
>Lục bình vẫn nở<
>Tím cả đôi bờ<
>Xa xa dáng nhỏ<
>Ngỡ người năm xưa!",Bến Cỏ,https://isach.info/poem.php?poem=ben_co__bach_loan,thơ tự do,hiện đại,,Bạch Loan
"Chiều nay sầu rụng mãi trong tôi<
>Tuyết trắng thôi giăng, nắng ngập đồi<
>Gió lặng trời yên, chim một bóng<
>Chân mây ngàn dặm cố hương ơi!<
>Hiu hắt hoàng hôn ánh nhật tà<
>Thẫn thờ lặng lẽ bóng chiều sa<
>Ngày qua vội quá, tôi ngồi lặng<
>Ngắm áng mây trời bay thật xa...",Bóng Chiều Sa,https://isach.info/poem.php?poem=bong_chieu_sa__bach_loan,lục bát,hiện đại,,Bạch Loan
"Lâu lắm tình tôi đã ngủ say<
>Em đến trao chi giấc mộng này?<
>Tình bỗng bâng khuâng ngày hạ cũ<
>Của thời áo trắng, tóc mây bay<
>Em đến tình cờ tựa giấc mơ<
>Lời em nửa thật nửa trăng thơ<
>Êm như gió mới về trong nắng<
>Trên lối đi xưa thuở học trò<
>Ta đã hẹn nhau tự thuở nào?<
>Đôi lòng phơi phới lúc bên nhau<
>Nụ xuân vừa chớm trên cành biếc<
>Ta dìu nhau đến cõi chiêm bao!<
>Mỗi tối em về trong ý thơ<
>Tôi ngồi ngơ ngẩn giữa đêm khuya<
>Bài thơ dang dở buồn như lệ<
>Tôi sợ tình kia sớm nhạt nhoà",Buồn Như Lệ,https://isach.info/poem.php?poem=buon_nhu_le__bach_loan,lục bát,hiện đại,,Bạch Loan
"Sáo trúc êm đềm dệt tiếng tơ<
>Sông xanh dào dạt nhấp nhô bờ<
>Đò trôi lờ lững, đò không hẹn<
>Khách dạo lang thang, khách chẳng chờ<
>Tâm sự lao xao vờn sóng nước<
>Hương tình bát ngát đượm vần thơ<
>Chiều lên quạnh quẽ lòng hiu hắt<
>Tim tím hoàng hôn, tím mộng mơ",Chiều Tím Bên Sông,https://isach.info/poem.php?poem=chieu_tim_ben_song__bach_loan,lục bát,hiện đại,,Bạch Loan
"Em chợt đến như cuộc tình mười sáu<
>Mắt thu buồn tóc ngắn nhớ thương ai<
>Mối ưu tư còn đọng nét mi dài<
>Nỗi hoài vọng bơ vơ trên vầng trán<
>Em đến đây như nắng chiều bảng lảng<
>Mang thơ buồn trải khắp lối ta đi<
>Những đêm khuya lặng lẽ bước chân về<
>Cùng sánh bước phiêu du vùng tuổi mộng<
>Em về đây cho trùng khơi dậy sóng<
>Nửa đời buồn ta ngỡ tuổi mười lăm<
>Những chiều về mắt dõi bóng xa xăm<
>Cánh nhạn lẻ chập chờn bên núi biếc<
>Em về đây gọi cuộc tình tha thiết<
>Em lặng nhìn cho vỡ ngọc lưu ly<
>Em bước đi, ôi vóc liễu kiêu kỳ!<
>Em cất tiếng cho thơ buồn vọng lại!<
>Em mỉm cười cho lòng ta mê dại<
>Em thẫn thờ trăng gió ngẩn ngơ đi<
>Em bâng khuâng cho hạ thắm quay về<
>Em mơ mộng cho hoa lòng rực nở<
>Em từ đâu? Hỡi người tình muôn thuở<
>Khung trời xưa hay dĩ vãng nào buồn?<
>Sao tóc em hờn giận buổi hoàng hôn,<
>Để vọng lại những lời kinh sám hối!<
>Em xa xôi... xa cả tầm tay với<
>Em về đây nhưng cách trở muôn trùng!<
>Cuộc tình buồn như ảo ảnh mông lung<
>Mà hiện thực vẫn còn đây rất đẹp<
>Em với ta lạc loài trong số kiếp<
>Nên gặp nhau trăng gió ngẩn ngơ sầu<
>Xin thời gian đừng vội vã qua mau<
>Để ta thấy xuân tình trong mắt biếc<
>Nếu nghìn sau còn gặp trong số kiếp<
>Sẽ dặn lòng thương chỉ một mình em!",Chỉ Một Mình Em,https://isach.info/poem.php?poem=chi_mot_minh_em__bach_loan,bảy chữ,hiện đại,,Bạch Loan
"Ta trở lại quê hương chiều gió cát<
>Vùng điạ linh nhân kiệt một thuở nào<
>Ta dõi mắt tìm đồng xanh núi biếc<
>Chỉ thấy đời ôm hận đứng xanh xao!<
>Ta đứng lặng với nổi sầu tuyệt diệt<
>Đời nhìn nhau qua ánh mắt nghẹn ngào<
>Trên lối cũ sâu vết hằn oan nghiệt<
>Đời nhọc nhằn trong cõi sống thương đau!<
>Trong tiếng gió giọng ai buồn da diết<
>Lời uất hờn từ phế phủ tiêu hao<
>Ta cúi xuống xót thương đời khánh kiệt<
>Người hỡi người, hờn tủi đã dâng cao!",Cõi Thương Đau,https://isach.info/poem.php?poem=coi_thuong_dau__bach_loan,bảy chữ,hiện đại,,Bạch Loan
"(viết thay cho một người)<
>Anh trở lại công viên ngày tháng cũ.<
>Tượng đá gầy còn đó đứng ngẩn ngơ;<
>Cội thông già nay vắng bóng ai chờ.<
>Bờ liễu rũ tương tư buồn cúi mặt;<
>Khung trời thẳm, mây bay về giăng mắc.<
>Con phố buồn, ái ngại bóng hoàng hôn.<
>Em đi rồi, con phố thấy buồn hơn!<
>Sỏi đá lạnh xót xa đời vô định!<
>Dòng sông trắng, con đò xưa bịn rịn<
>Chở ân tình xa bến buổi chiều mưa.<
>Nơi bến cũ âm thầm bước chân thưa,<
>Con chim sẻ lạc bầy chao cánh mỏng.<
>Em ở đâu? Hỡi người yêu bé bỏng!<
>Chốn xa kia có nhớ mảnh trăng thề?<
>Trăng hao gầy từ dạo đó em đi,<
>Mây thôi chở ái ân về bản phố.<
>Chiều công viên giờ mây giăng lá đổ.<
>Xác thu vàng hoài vọng tiết xuân xưa:<
>Gió ân cần ru khóm liễu đong đưa,<
>Làn tóc xõa, thơ bay ngàn sắc bướm.<
>Ôi đẹp thay, buổi ân tình mới chớm!<
>Bước em đi xao động cả mây trời.<
>Hoa ân tình rực nở ở bờ môi,<
>Trong đáy mắt, long lanh ngàn tinh tú.<
>Tay đam mê, anh ôm tròn vũ trụ,<
>Nghe thơ reo hoan khúc tạ ơn đời.<
>Khối tình nồng muôn kiếp nguyện không phai;<
>Lời thệ ước vang truyền bên tượng đá.<
>Rồi một hôm, em đi không từ giã!<
>Thương tượng gầy từ đó đứng ngẩn ngơ.<
>Thơ anh buồn chất ngất đỉnh bơ vơ.<
>Bờ liễu đứng tủi hờn buông tóc rũ;<
>Những cột đèn trắng đêm dài không ngủ,<
>Đợi người về thao thức suốt canh thâu.<
>Em về đâu? Em hỡi! đã về đâu?<
>Có hoài vọng công viên ngày tháng cũ?<
>Hàng me buồn choàng vai nhau lá rũ.<
>Vắng em rồi, vũ trụ cũng tiêu hao!<
>Ôi còn đâu! Ngày tháng cũ còn đâu!",Công Viên Ngày Tháng Cũ,https://isach.info/poem.php?poem=cong_vien_ngay_thang_cu__bach_loan,bảy chữ,hiện đại,,Bạch Loan
"Nửa đoạn đường trần tôi gặp em<
>Trời đang mưa chớp bỗng êm đềm<
>Đời nghe rạo rực ngàn xao động<
>Vũ trụ tưng bừng hoa nở đêm<
>Em đến từ đâu những cảnh xưa?<
>Tâm tình sâu thẳm suốt trang thơ<
>Mùa thu em gởi vào trang chử<
>Tôi bỗng lạc loài trong cõi mơ<
>Dòng chữ long lanh ánh nguyệt buồn<
>Lời thơ dào dạt nỗi niềm thương<
>Em đi tóc ngắn tôi ngồi lặng<
>Dĩ vãng hiện về cõi viễn phương<
>Buổi tối thẫn thờ với gió, trăng<
>Tên em tôi gọi rất âm thầm<
>Nụ cười che kín đôi dòng lệ<
>Em hỡi, đêm về lạnh gối chăn.<
>Nửa đời sương điểm mái đầu xanh<
>Dâu bể vùi sâu giấc mộng lành<
>Em đến êm như làn nắng mới<
>Xuân tình chớm nụ rất mong manh<
>Rồi đây trong những giấc hoa niên<
>Ta dẫn nhau đi bỏ xứ phiền<
>Trang điểm ân tình hồng cõi mộng<
>Đôi lòng phơi phới giấc mơ tiên<
>Năm ngón bàn tay toả dạ hương<
>Gặp em một tối thật hoang đường<
>Dìu nhau trên nẻo đường năm cũ<
>Tuổi mộng quay về. Em cũng thương!<
>Ánh mắt lặng buồn nét ca dao<
>Trăng tàn u uẩn giữa nghìn sao<
>Em đi nếp áo gầy như liễu<
>Tôi đứng vời trông, bỗng nghẹn ngào<
>Tôi sẽ đi về với cảnh xưa<
>Buồn như tuổi dại thuở hoang sơ<
>Phương xa tóc ngắn sầu cô quạnh<
>Em nhớ gì không? -- Đêm đã khuya!",Đêm Đã Khuya,https://isach.info/poem.php?poem=dem_da_khuya__bach_loan,lục bát,hiện đại,,Bạch Loan
"Em tóc xõa bay bay chiều gió cát<
>Buổi tàn xuân bấn loạn bước chân hoang<
>Đời vạn nẻo, đường em xa hun hút<
>Một lần đi để lại cả hoang tàn<
>Rồi biền biệt tháng năm dài phố lạ<
>Nẻo đi, về lối quạnh bước lang thang<
>Làn tóc cũ vẫn bay chiều gió lộng<
>Nghe trong hồn rơi rụng hạt sương tan<
>Buồn quay quắt tôi miệt mài phố cũ<
>Dạo con đường thuở ấy những chiều mưa<
>Rồi thao thức với cơn sầu thiên cổ<
>Nghe đêm về ray rứt giọt mưa thưa!<
>Bóng em khuất chân trời xa viễn xứ<
>Trên con đường phố lạ trắng mù sương<
>Ôi là nhớ những huy hoàng năm cũ<
>Đã điêu tàn trên ngọn sóng trùng dương!",Điêu Tàn,https://isach.info/poem.php?poem=dieu_tan__bach_loan,bảy chữ,hiện đại,,Bạch Loan
"Bấy lâu ta dạo vườn thơ bạn<
>Dập dìu, nhộn nhịp bóng thi nhân<
>Hồn nghe ngây ngất ngàn hương thắm<
>Ngỡ rằng tri ngộ phút vô ngần<
>Kỷ niệm chia nhau thời tuổi dại<
>Nào hay âm hưởng đã chia phân<
>Ai mơ một khoảng trời sao đỏ<
>Ta còn yêu lắm mảnh trăng vàng<
>Nghiêng ngã lạc vào giữa trận thơ<
>Ta yêu trăng lắm để ai ngờ<
>Hận còn đậm nét dòng thơ lạc<
>Như chừng sôi sục đến thiên thu!<
>Thương ai mơ bến bờ không tưởng<
>Quên hẳn màu trời cũ tang thương<
>Ngơ ngác trong đêm vô định hướng<
>Hay đã say mèm mộng đế vương?<
>Ta về ôn lại dòng kinh sử<
>Mài kiếm đêm trăng quyết đợi chờ<
>Đêm nay ta đốt dòng thơ đỏ<
>Ơi hỡi, hồn thiêng chứng giám cho!",Dòng Thư Cho Bạn,https://isach.info/poem.php?poem=dong_thu_cho_ban__bach_loan,lục bát,hiện đại,,Bạch Loan
